Time,long legs
2025-04-15,57
2025-04-16,52
2025-04-17,57
2025-04-18,63
2025-04-19,65
2025-04-20,76
2025-04-21,61
2025-04-22,58
2025-04-23,60
2025-04-24,55
2025-04-25,55
2025-04-26,66
2025-04-27,71
2025-04-28,57
2025-04-29,59
2025-04-30,57
2025-05-01,53
2025-05-02,53
2025-05-03,73
2025-05-04,79
2025-05-05,57
2025-05-06,55
2025-05-07,59
2025-05-08,57
2025-05-09,59
2025-05-10,76
2025-05-11,86
2025-05-12,67
2025-05-13,62
2025-05-14,57
2025-05-15,55
2025-05-16,59
2025-05-17,69
2025-05-18,76
2025-05-19,57
2025-05-20,58
2025-05-21,54
2025-05-22,61
2025-05-23,55
2025-05-24,66
2025-05-25,80
2025-05-26,83
2025-05-27,60
2025-05-28,55
2025-05-29,58
2025-05-30,57
2025-05-31,73
2025-06-01,76
2025-06-02,63
2025-06-03,64
2025-06-04,69
2025-06-05,63
2025-06-06,60
2025-06-07,71
2025-06-08,73
2025-06-09,60
2025-06-10,61
2025-06-11,59
2025-06-12,61
2025-06-13,60
2025-06-14,67
2025-06-15,85
2025-06-16,71
2025-06-17,68
2025-06-18,63
2025-06-19,65
2025-06-20,64
2025-06-21,85
2025-06-22,77
2025-06-23,62
2025-06-24,71
2025-06-25,69
2025-06-26,71
2025-06-27,67
2025-06-28,75
2025-06-29,81
2025-06-30,70
2025-07-01,58
2025-07-02,65
2025-07-03,68
2025-07-04,91
2025-07-05,91
2025-07-06,100
2025-07-07,63
2025-07-08,62
2025-07-09,65
2025-07-10,65
2025-07-11,70
2025-07-12,73
2025-07-13,82
2025-07-14,66
2025-07-15,64
2025-07-16,67
2025-07-17,68
2025-07-18,59
2025-07-19,73
2025-07-20,85
2025-07-21,72
2025-07-22,64
2025-07-23,60
2025-07-24,69
2025-07-25,65
2025-07-26,68
2025-07-27,82
2025-07-28,64
2025-07-29,77
2025-07-30,64
2025-07-31,64
2025-08-01,60
2025-08-02,76
2025-08-03,84
2025-08-04,63
2025-08-05,61
2025-08-06,60
2025-08-07,60
2025-08-08,66
2025-08-09,76
2025-08-10,83
2025-08-11,75
2025-08-12,68
2025-08-13,59
2025-08-14,67
2025-08-15,63
2025-08-16,80
2025-08-17,82
2025-08-18,67
2025-08-19,63
2025-08-20,60
2025-08-21,58
2025-08-22,57
2025-08-23,71
2025-08-24,78
2025-08-25,66
2025-08-26,62
2025-08-27,58
2025-08-28,65
2025-08-29,64
2025-08-30,73
2025-08-31,80
2025-09-01,91
2025-09-02,62
2025-09-03,58
2025-09-04,59
2025-09-05,57
2025-09-06,65
2025-09-07,74
2025-09-08,57
2025-09-09,60
2025-09-10,57
2025-09-11,58
2025-09-12,55
2025-09-13,72
2025-09-14,82
2025-09-15,57
2025-09-16,57
2025-09-17,61
2025-09-18,61
2025-09-19,60
2025-09-20,65
2025-09-21,76
2025-09-22,57
2025-09-23,64
2025-09-24,57
2025-09-25,56
2025-09-26,61
2025-09-27,74
2025-09-28,73
2025-09-29,64
2025-09-30,59
2025-10-01,58
2025-10-02,57
2025-10-03,58
2025-10-04,68
2025-10-05,73
2025-10-06,70
2025-10-07,62
2025-10-08,56
2025-10-09,58
2025-10-10,54
2025-10-11,67
2025-10-12,69
2025-10-13,64
2025-10-14,60
2025-10-15,62
2025-10-16,65
2025-10-17,58
2025-10-18,67
2025-10-19,80
2025-10-20,58
2025-10-21,63
2025-10-22,58
2025-10-23,59
2025-10-24,60
2025-10-25,70
2025-10-26,73
2025-10-27,64
2025-10-28,61
2025-10-29,57
2025-10-30,62
2025-10-31,58
2025-11-01,67
2025-11-02,67
2025-11-03,54
2025-11-04,55
2025-11-05,55
2025-11-06,53
2025-11-07,49
2025-11-08,63
2025-11-09,63
2025-11-10,58
2025-11-11,56
2025-11-12,50
2025-11-13,55
2025-11-14,51
2025-11-15,59
2025-11-16,67
2025-11-17,59
2025-11-18,49
2025-11-19,53
2025-11-20,52
2025-11-21,56
2025-11-22,56
2025-11-23,62
2025-11-24,59
2025-11-25,52
2025-11-26,58
2025-11-27,98
2025-11-28,48
2025-11-29,53
2025-11-30,64
2025-12-01,47
2025-12-02,48
2025-12-03,47
2025-12-04,52
2025-12-05,49
2025-12-06,55
2025-12-07,67
2025-12-08,54
2025-12-09,53
2025-12-10,51
2025-12-11,49
2025-12-12,46
2025-12-13,51
2025-12-14,50
2025-12-15,51
2025-12-16,47
2025-12-17,51
2025-12-18,49
2025-12-19,43
2025-12-20,54
2025-12-21,55
2025-12-22,48
2025-12-23,50
2025-12-24,74
2025-12-25,91
2025-12-26,59
2025-12-27,56
2025-12-28,57
2025-12-29,59
2025-12-30,54
2025-12-31,70
2026-01-01,79
2026-01-02,60
2026-01-03,63
2026-01-04,60
2026-01-05,47
2026-01-06,55
2026-01-07,56
2026-01-08,52
2026-01-09,53
