Time,long legs
2022-08-29,56
2022-08-30,60
2022-08-31,58
2022-09-01,60
2022-09-02,58
2022-09-03,73
2022-09-04,83
2022-09-05,81
2022-09-06,54
2022-09-07,59
2022-09-08,56
2022-09-09,53
2022-09-10,65
2022-09-11,70
2022-09-12,60
2022-09-13,53
2022-09-14,62
2022-09-15,55
2022-09-16,52
2022-09-17,67
2022-09-18,77
2022-09-19,61
2022-09-20,54
2022-09-21,55
2022-09-22,53
2022-09-23,53
2022-09-24,69
2022-09-25,79
2022-09-26,53
2022-09-27,56
2022-09-28,55
2022-09-29,56
2022-09-30,58
2022-10-01,63
2022-10-02,64
2022-10-03,51
2022-10-04,59
2022-10-05,54
2022-10-06,55
2022-10-07,54
2022-10-08,67
2022-10-09,74
2022-10-10,63
2022-10-11,52
2022-10-12,55
2022-10-13,55
2022-10-14,55
2022-10-15,71
2022-10-16,71
2022-10-17,58
2022-10-18,54
2022-10-19,51
2022-10-20,51
2022-10-21,53
2022-10-22,63
2022-10-23,68
2022-10-24,54
2022-10-25,50
2022-10-26,55
2022-10-27,51
2022-10-28,49
2022-10-29,56
2022-10-30,60
2022-10-31,49
2022-11-01,46
2022-11-02,48
2022-11-03,50
2022-11-04,49
2022-11-05,55
2022-11-06,62
2022-11-07,48
2022-11-08,44
2022-11-09,43
2022-11-10,43
2022-11-11,44
2022-11-12,49
2022-11-13,50
2022-11-14,41
2022-11-15,40
2022-11-16,42
2022-11-17,44
2022-11-18,44
2022-11-19,50
2022-11-20,49
2022-11-21,45
2022-11-22,45
2022-11-23,54
2022-11-24,100
2022-11-25,49
2022-11-26,49
2022-11-27,55
2022-11-28,40
2022-11-29,43
2022-11-30,42
2022-12-01,40
2022-12-02,37
2022-12-03,46
2022-12-04,51
2022-12-05,40
2022-12-06,39
2022-12-07,45
2022-12-08,45
2022-12-09,44
2022-12-10,46
2022-12-11,58
2022-12-12,46
2022-12-13,44
2022-12-14,49
2022-12-15,41
2022-12-16,44
2022-12-17,54
2022-12-18,53
2022-12-19,47
2022-12-20,49
2022-12-21,43
2022-12-22,46
2022-12-23,53
2022-12-24,59
2022-12-25,82
2022-12-26,51
2022-12-27,48
2022-12-28,49
2022-12-29,48
2022-12-30,47
2022-12-31,70
2023-01-01,83
2023-01-02,55
2023-01-03,46
2023-01-04,45
2023-01-05,44
2023-01-06,44
2023-01-07,53
2023-01-08,56
2023-01-09,46
2023-01-10,48
2023-01-11,47
2023-01-12,44
2023-01-13,37
2023-01-14,47
2023-01-15,54
2023-01-16,50
2023-01-17,43
2023-01-18,46
2023-01-19,43
2023-01-20,40
2023-01-21,51
2023-01-22,57
2023-01-23,46
2023-01-24,43
2023-01-25,41
2023-01-26,45
2023-01-27,45
2023-01-28,47
2023-01-29,54
2023-01-30,42
2023-01-31,46
2023-02-01,45
2023-02-02,44
2023-02-03,42
2023-02-04,45
2023-02-05,52
2023-02-06,44
2023-02-07,44
2023-02-08,44
2023-02-09,45
2023-02-10,43
2023-02-11,53
2023-02-12,63
2023-02-13,44
2023-02-14,54
2023-02-15,54
2023-02-16,45
2023-02-17,43
2023-02-18,51
2023-02-19,51
2023-02-20,50
2023-02-21,47
2023-02-22,43
2023-02-23,43
2023-02-24,43
2023-02-25,56
2023-02-26,60
2023-02-27,45
2023-02-28,44
2023-03-01,48
2023-03-02,43
2023-03-03,42
2023-03-04,59
2023-03-05,59
2023-03-06,46
2023-03-07,46
2023-03-08,50
2023-03-09,53
2023-03-10,47
2023-03-11,57
2023-03-12,65
2023-03-13,46
2023-03-14,52
2023-03-15,51
2023-03-16,45
2023-03-17,45
2023-03-18,52
2023-03-19,60
2023-03-20,46
2023-03-21,46
2023-03-22,47
2023-03-23,52
2023-03-24,53
2023-03-25,57
2023-03-26,66
2023-03-27,50
2023-03-28,51
2023-03-29,46
2023-03-30,50
2023-03-31,44
2023-04-01,50
2023-04-02,62
2023-04-03,48
2023-04-04,44
2023-04-05,48
2023-04-06,49
2023-04-07,48
2023-04-08,60
2023-04-09,63
2023-04-10,51
2023-04-11,52
2023-04-12,49
2023-04-13,51
2023-04-14,49
2023-04-15,61
2023-04-16,59
2023-04-17,49
2023-04-18,49
2023-04-19,48
2023-04-20,49
2023-04-21,50
2023-04-22,58
2023-04-23,63
2023-04-24,52
2023-04-25,53
2023-04-26,49
2023-04-27,50
2023-04-28,49
2023-04-29,59
2023-04-30,65
2023-05-01,51
2023-05-02,47
2023-05-03,50
2023-05-04,48
2023-05-05,48
2023-05-06,50
2023-05-07,66
2023-05-08,55
2023-05-09,57
2023-05-10,53
2023-05-11,54
2023-05-12,53
2023-05-13,63
2023-05-14,84
2023-05-15,60
2023-05-16,56
2023-05-17,54
2023-05-18,53
2023-05-19,52
2023-05-20,63
2023-05-21,67
2023-05-22,53
2023-05-23,52
2023-05-24,54
2023-05-25,54
