Time,long legs
2023-04-26,46
2023-04-27,47
2023-04-28,46
2023-04-29,56
2023-04-30,61
2023-05-01,48
2023-05-02,45
2023-05-03,47
2023-05-04,45
2023-05-05,45
2023-05-06,47
2023-05-07,63
2023-05-08,52
2023-05-09,54
2023-05-10,50
2023-05-11,51
2023-05-12,50
2023-05-13,60
2023-05-14,79
2023-05-15,57
2023-05-16,53
2023-05-17,51
2023-05-18,50
2023-05-19,49
2023-05-20,60
2023-05-21,63
2023-05-22,50
2023-05-23,49
2023-05-24,51
2023-05-25,51
2023-05-26,52
2023-05-27,62
2023-05-28,73
2023-05-29,77
2023-05-30,55
2023-05-31,54
2023-06-01,53
2023-06-02,52
2023-06-03,65
2023-06-04,68
2023-06-05,60
2023-06-06,52
2023-06-07,53
2023-06-08,53
2023-06-09,50
2023-06-10,65
2023-06-11,64
2023-06-12,54
2023-06-13,54
2023-06-14,56
2023-06-15,57
2023-06-16,57
2023-06-17,68
2023-06-18,90
2023-06-19,64
2023-06-20,61
2023-06-21,58
2023-06-22,53
2023-06-23,54
2023-06-24,61
2023-06-25,70
2023-06-26,56
2023-06-27,56
2023-06-28,57
2023-06-29,56
2023-06-30,57
2023-07-01,73
2023-07-02,79
2023-07-03,69
2023-07-04,81
2023-07-05,63
2023-07-06,55
2023-07-07,57
2023-07-08,80
2023-07-09,71
2023-07-10,58
2023-07-11,60
2023-07-12,57
2023-07-13,58
2023-07-14,56
2023-07-15,65
2023-07-16,70
2023-07-17,57
2023-07-18,59
2023-07-19,59
2023-07-20,58
2023-07-21,55
2023-07-22,65
2023-07-23,73
2023-07-24,57
2023-07-25,57
2023-07-26,55
2023-07-27,52
2023-07-28,56
2023-07-29,64
2023-07-30,69
2023-07-31,56
2023-08-01,57
2023-08-02,54
2023-08-03,53
2023-08-04,53
2023-08-05,65
2023-08-06,69
2023-08-07,56
2023-08-08,54
2023-08-09,55
2023-08-10,50
2023-08-11,56
2023-08-12,60
2023-08-13,70
2023-08-14,55
2023-08-15,54
2023-08-16,54
2023-08-17,51
2023-08-18,47
2023-08-19,64
2023-08-20,87
2023-08-21,51
2023-08-22,49
2023-08-23,52
2023-08-24,51
2023-08-25,48
2023-08-26,64
2023-08-27,66
2023-08-28,48
2023-08-29,47
2023-08-30,48
2023-08-31,46
2023-09-01,49
2023-09-02,62
2023-09-03,67
2023-09-04,73
2023-09-05,47
2023-09-06,51
2023-09-07,48
2023-09-08,50
2023-09-09,57
2023-09-10,59
2023-09-11,51
2023-09-12,47
2023-09-13,48
2023-09-14,49
2023-09-15,47
2023-09-16,50
2023-09-17,61
2023-09-18,46
2023-09-19,46
2023-09-20,49
2023-09-21,49
2023-09-22,48
2023-09-23,54
2023-09-24,61
2023-09-25,50
2023-09-26,45
2023-09-27,43
2023-09-28,47
2023-09-29,47
2023-09-30,53
2023-10-01,57
2023-10-02,50
2023-10-03,51
2023-10-04,51
2023-10-05,48
2023-10-06,49
2023-10-07,50
2023-10-08,51
2023-10-09,48
2023-10-10,44
2023-10-11,45
2023-10-12,48
2023-10-13,41
2023-10-14,50
2023-10-15,55
2023-10-16,49
2023-10-17,43
2023-10-18,48
2023-10-19,48
2023-10-20,45
2023-10-21,54
2023-10-22,58
2023-10-23,45
2023-10-24,46
2023-10-25,47
2023-10-26,45
2023-10-27,43
2023-10-28,46
2023-10-29,55
2023-10-30,40
2023-10-31,40
2023-11-01,42
2023-11-02,41
2023-11-03,45
2023-11-04,49
2023-11-05,51
2023-11-06,43
2023-11-07,42
2023-11-08,47
2023-11-09,39
2023-11-10,43
2023-11-11,46
2023-11-12,51
2023-11-13,43
2023-11-14,36
2023-11-15,41
2023-11-16,43
2023-11-17,44
2023-11-18,50
2023-11-19,56
2023-11-20,42
2023-11-21,42
2023-11-22,55
2023-11-23,100
2023-11-24,42
2023-11-25,43
2023-11-26,45
2023-11-27,38
2023-11-28,34
2023-11-29,41
2023-11-30,33
2023-12-01,34
2023-12-02,41
2023-12-03,48
2023-12-04,43
2023-12-05,40
2023-12-06,36
2023-12-07,37
2023-12-08,35
2023-12-09,42
2023-12-10,46
2023-12-11,40
2023-12-12,40
2023-12-13,40
2023-12-14,36
2023-12-15,39
2023-12-16,38
2023-12-17,50
2023-12-18,36
2023-12-19,37
2023-12-20,36
2023-12-21,41
2023-12-22,37
2023-12-23,46
2023-12-24,69
2023-12-25,79
2023-12-26,47
2023-12-27,40
2023-12-28,38
2023-12-29,37
2023-12-30,46
2023-12-31,78
2024-01-01,76
2024-01-02,42
2024-01-03,40
2024-01-04,39
2024-01-05,38
2024-01-06,53
2024-01-07,50
2024-01-08,38
2024-01-09,37
2024-01-10,38
2024-01-11,45
2024-01-12,37
2024-01-13,40
2024-01-14,47
2024-01-15,43
2024-01-16,39
2024-01-17,41
2024-01-18,38
2024-01-19,39
2024-01-20,48
