Time,games
2025-12-11,46
2025-12-12,56
2025-12-13,45
2025-12-14,54
2025-12-15,49
2025-12-16,48
2025-12-17,49
2025-12-18,57
2025-12-19,66
2025-12-20,52
2025-12-21,61
2025-12-22,44
2025-12-23,40
2025-12-24,45
2025-12-25,83
2025-12-26,57
2025-12-27,60
2025-12-28,64
2025-12-29,43
2025-12-30,38
2025-12-31,42
2026-01-01,53
2026-01-02,39
2026-01-03,51
2026-01-04,61
2026-01-05,41
2026-01-06,38
2026-01-07,38
2026-01-08,41
2026-01-09,50
2026-01-10,63
2026-01-11,91
2026-01-12,57
2026-01-13,49
2026-01-14,41
2026-01-15,44
2026-01-16,48
2026-01-17,67
2026-01-18,100
2026-01-19,49
2026-01-20,40
2026-01-21,40
2026-01-22,43
2026-01-23,48
2026-01-24,53
2026-01-25,80
2026-01-26,50
2026-01-27,36
2026-01-28,36
2026-01-29,39
2026-01-30,46
2026-01-31,37
2026-02-01,38
2026-02-02,36
2026-02-03,37
2026-02-04,42
2026-02-05,44
2026-02-06,44
2026-02-07,36
2026-02-08,36
2026-02-09,36
2026-02-10,41
2026-02-11,39
2026-02-12,38
2026-02-13,41
2026-02-14,31
2026-02-15,32
2026-02-16,32
2026-02-17,35
2026-02-18,35
2026-02-19,38
2026-02-20,43
2026-02-21,37
2026-02-22,36
2026-02-23,38
2026-02-24,37
2026-02-25,39
2026-02-26,40
2026-02-27,45
2026-02-28,32
2026-03-01,32
2026-03-02,38
2026-03-03,40
2026-03-04,40
2026-03-05,43
2026-03-06,46
2026-03-07,35
2026-03-08,34
2026-03-09,37
2026-03-10,37
2026-03-11,40
2026-03-12,41
2026-03-13,43
2026-03-14,34
2026-03-15,34
2026-03-16,37
2026-03-17,37
2026-03-18,38
2026-03-19,44
2026-03-20,49
2026-03-21,37
2026-03-22,37
2026-03-23,37
2026-03-24,38
2026-03-25,39
2026-03-26,45
2026-03-27,51
2026-03-28,44
2026-03-29,50
2026-03-30,42
2026-03-31,39
2026-04-01,38
2026-04-02,39
2026-04-03,34
2026-04-04,38
2026-04-05,36
2026-04-06,34
2026-04-07,35
2026-04-08,35
2026-04-09,38
2026-04-10,39
2026-04-11,32
2026-04-12,32
2026-04-13,35
2026-04-14,35
2026-04-15,38
2026-04-16,42
2026-04-17,46
2026-04-18,38
2026-04-19,39
2026-04-20,38
2026-04-21,42
2026-04-22,43
2026-04-23,44
2026-04-24,45
2026-04-25,38
2026-04-26,40
2026-04-27,40
2026-04-28,44
2026-04-29,43
2026-04-30,47
2026-05-01,47
2026-05-02,37
2026-05-03,40
2026-05-04,40
2026-05-05,42
2026-05-06,43
2026-05-07,47
2026-05-08,48
2026-05-09,38
2026-05-10,38
2026-05-11,41
2026-05-12,44
2026-05-13,45
2026-05-14,46
2026-05-15,48
2026-05-16,37
2026-05-17,36
2026-05-18,42
2026-05-19,44
2026-05-20,42
2026-05-21,43
2026-05-22,42
2026-05-23,39
2026-05-24,41
2026-05-25,38
2026-05-26,40
2026-05-27,39
2026-05-28,37
2026-05-29,40
2026-05-30,34
2026-05-31,36
