Time,spirit halloween
2023-12-22,2
2023-12-23,2
2023-12-24,2
2023-12-25,2
2023-12-26,1
2023-12-27,2
2023-12-28,2
2023-12-29,2
2023-12-30,2
2023-12-31,2
2024-01-01,2
2024-01-02,2
2024-01-03,2
2024-01-04,2
2024-01-05,2
2024-01-06,2
2024-01-07,2
2024-01-08,2
2024-01-09,2
2024-01-10,2
2024-01-11,1
2024-01-12,2
2024-01-13,2
2024-01-14,2
2024-01-15,1
2024-01-16,1
2024-01-17,2
2024-01-18,1
2024-01-19,2
2024-01-20,2
2024-01-21,2
2024-01-22,1
2024-01-23,1
2024-01-24,2
2024-01-25,2
2024-01-26,1
2024-01-27,2
2024-01-28,2
2024-01-29,1
2024-01-30,2
2024-01-31,1
2024-02-01,1
2024-02-02,1
2024-02-03,2
2024-02-04,2
2024-02-05,1
2024-02-06,1
2024-02-07,2
2024-02-08,1
2024-02-09,1
2024-02-10,2
2024-02-11,2
2024-02-12,1
2024-02-13,1
2024-02-14,1
2024-02-15,1
2024-02-16,1
2024-02-17,2
2024-02-18,2
2024-02-19,1
2024-02-20,1
2024-02-21,1
2024-02-22,1
2024-02-23,1
2024-02-24,2
2024-02-25,2
2024-02-26,1
2024-02-27,1
2024-02-28,2
2024-02-29,1
2024-03-01,1
2024-03-02,2
2024-03-03,2
2024-03-04,1
2024-03-05,1
2024-03-06,1
2024-03-07,1
2024-03-08,1
2024-03-09,1
2024-03-10,2
2024-03-11,1
2024-03-12,1
2024-03-13,1
2024-03-14,1
2024-03-15,1
2024-03-16,1
2024-03-17,1
2024-03-18,1
2024-03-19,1
2024-03-20,1
2024-03-21,1
2024-03-22,1
2024-03-23,2
2024-03-24,2
2024-03-25,1
2024-03-26,1
2024-03-27,2
2024-03-28,1
2024-03-29,2
2024-03-30,2
2024-03-31,2
2024-04-01,2
2024-04-02,1
2024-04-03,1
2024-04-04,1
2024-04-05,2
2024-04-06,2
2024-04-07,2
2024-04-08,2
2024-04-09,1
2024-04-10,2
2024-04-11,1
2024-04-12,2
2024-04-13,2
2024-04-14,1
2024-04-15,1
2024-04-16,1
2024-04-17,1
2024-04-18,2
2024-04-19,1
2024-04-20,2
2024-04-21,2
2024-04-22,2
2024-04-23,2
2024-04-24,2
2024-04-25,2
2024-04-26,2
2024-04-27,3
2024-04-28,3
2024-04-29,2
2024-04-30,2
2024-05-01,2
2024-05-02,2
2024-05-03,2
2024-05-04,2
2024-05-05,3
2024-05-06,2
2024-05-07,1
2024-05-08,2
2024-05-09,2
2024-05-10,1
2024-05-11,2
2024-05-12,2
2024-05-13,1
2024-05-14,2
2024-05-15,2
2024-05-16,1
2024-05-17,1
2024-05-18,2
2024-05-19,2
2024-05-20,2
2024-05-21,2
2024-05-22,2
2024-05-23,2
2024-05-24,2
2024-05-25,2
2024-05-26,2
2024-05-27,2
2024-05-28,2
2024-05-29,2
2024-05-30,2
2024-05-31,2
2024-06-01,2
2024-06-02,3
2024-06-03,2
2024-06-04,3
2024-06-05,3
2024-06-06,2
2024-06-07,3
2024-06-08,4
2024-06-09,3
2024-06-10,3
2024-06-11,2
2024-06-12,2
2024-06-13,3
2024-06-14,3
2024-06-15,3
2024-06-16,3
2024-06-17,2
2024-06-18,2
2024-06-19,2
2024-06-20,4
2024-06-21,5
2024-06-22,4
2024-06-23,5
2024-06-24,4
2024-06-25,3
2024-06-26,4
2024-06-27,4
2024-06-28,5
2024-06-29,4
2024-06-30,5
2024-07-01,5
2024-07-02,5
2024-07-03,4
2024-07-04,5
2024-07-05,4
2024-07-06,5
2024-07-07,6
2024-07-08,6
2024-07-09,6
2024-07-10,7
2024-07-11,7
2024-07-12,7
2024-07-13,6
2024-07-14,7
2024-07-15,7
2024-07-16,7
2024-07-17,8
2024-07-18,11
2024-07-19,11
2024-07-20,12
2024-07-21,13
2024-07-22,10
2024-07-23,11
2024-07-24,11
2024-07-25,12
2024-07-26,13
2024-07-27,15
2024-07-28,15
2024-07-29,15
2024-07-30,14
2024-07-31,19
2024-08-01,39
2024-08-02,49
2024-08-03,64
2024-08-04,64
2024-08-05,49
2024-08-06,45
2024-08-07,45
2024-08-08,45
2024-08-09,48
2024-08-10,64
2024-08-11,64
2024-08-12,44
2024-08-13,44
2024-08-14,39
2024-08-15,44
2024-08-16,45
2024-08-17,67
2024-08-18,63
2024-08-19,44
2024-08-20,42
2024-08-21,41
2024-08-22,43
2024-08-23,50
2024-08-24,75
2024-08-25,71
2024-08-26,41
2024-08-27,39
2024-08-28,40
2024-08-29,40
2024-08-30,52
2024-08-31,73
2024-09-01,83
2024-09-02,79
2024-09-03,49
2024-09-04,45
2024-09-05,43
2024-09-06,50
2024-09-07,86
2024-09-08,84
2024-09-09,52
2024-09-10,46
2024-09-11,50
2024-09-12,49
2024-09-13,58
2024-09-14,100
2024-09-15,89
2024-09-16,51
