Time,gold price today
2023-04-26,70
2023-04-27,55
2023-04-28,57
2023-04-29,42
2023-04-30,33
2023-05-01,58
2023-05-02,64
2023-05-03,69
2023-05-04,80
2023-05-05,75
2023-05-06,51
2023-05-07,35
2023-05-08,65
2023-05-09,56
2023-05-10,60
2023-05-11,64
2023-05-12,64
2023-05-13,42
2023-05-14,33
2023-05-15,51
2023-05-16,59
2023-05-17,57
2023-05-18,58
2023-05-19,58
2023-05-20,42
2023-05-21,40
2023-05-22,55
2023-05-23,55
2023-05-24,58
2023-05-25,53
2023-05-26,54
2023-05-27,41
2023-05-28,32
2023-05-29,40
2023-05-30,50
2023-05-31,52
2023-06-01,52
2023-06-02,56
2023-06-03,35
2023-06-04,35
2023-06-05,49
2023-06-06,51
2023-06-07,45
2023-06-08,51
2023-06-09,48
2023-06-10,38
2023-06-11,25
2023-06-12,51
2023-06-13,51
2023-06-14,49
2023-06-15,47
2023-06-16,44
2023-06-17,34
2023-06-18,25
2023-06-19,39
2023-06-20,47
2023-06-21,44
2023-06-22,47
2023-06-23,51
2023-06-24,32
2023-06-25,27
2023-06-26,45
2023-06-27,46
2023-06-28,44
2023-06-29,45
2023-06-30,46
2023-07-01,33
2023-07-02,27
2023-07-03,39
2023-07-04,33
2023-07-05,44
2023-07-06,45
2023-07-07,47
2023-07-08,35
2023-07-09,25
2023-07-10,39
2023-07-11,44
2023-07-12,41
2023-07-13,47
2023-07-14,42
2023-07-15,34
2023-07-16,25
2023-07-17,42
2023-07-18,44
2023-07-19,51
2023-07-20,43
2023-07-21,42
2023-07-22,29
2023-07-23,28
2023-07-24,41
2023-07-25,47
2023-07-26,42
2023-07-27,43
2023-07-28,45
2023-07-29,31
2023-07-30,23
2023-07-31,45
2023-08-01,40
2023-08-02,43
2023-08-03,50
2023-08-04,46
2023-08-05,33
2023-08-06,28
2023-08-07,43
2023-08-08,48
2023-08-09,46
2023-08-10,45
2023-08-11,48
2023-08-12,29
2023-08-13,24
2023-08-14,43
2023-08-15,44
2023-08-16,49
2023-08-17,48
2023-08-18,47
2023-08-19,28
2023-08-20,29
2023-08-21,45
2023-08-22,45
2023-08-23,50
2023-08-24,46
2023-08-25,46
2023-08-26,31
2023-08-27,27
2023-08-28,38
2023-08-29,43
2023-08-30,43
2023-08-31,40
2023-09-01,42
2023-09-02,29
2023-09-03,21
2023-09-04,30
2023-09-05,36
2023-09-06,39
2023-09-07,44
2023-09-08,39
2023-09-09,28
2023-09-10,25
2023-09-11,37
2023-09-12,38
2023-09-13,40
2023-09-14,39
2023-09-15,40
2023-09-16,28
2023-09-17,22
2023-09-18,39
2023-09-19,38
2023-09-20,37
2023-09-21,41
2023-09-22,41
2023-09-23,34
2023-09-24,24
2023-09-25,43
2023-09-26,44
2023-09-27,50
2023-09-28,64
2023-09-29,58
2023-09-30,44
2023-10-01,32
2023-10-02,55
2023-10-03,63
2023-10-04,63
2023-10-05,58
2023-10-06,56
2023-10-07,44
2023-10-08,33
2023-10-09,62
2023-10-10,56
2023-10-11,54
2023-10-12,55
2023-10-13,59
2023-10-14,41
2023-10-15,35
2023-10-16,56
2023-10-17,49
2023-10-18,56
2023-10-19,56
2023-10-20,62
2023-10-21,43
2023-10-22,34
2023-10-23,57
2023-10-24,57
2023-10-25,55
2023-10-26,59
2023-10-27,61
2023-10-28,47
2023-10-29,34
2023-10-30,61
2023-10-31,59
2023-11-01,58
2023-11-02,55
2023-11-03,54
2023-11-04,42
2023-11-05,32
2023-11-06,50
2023-11-07,54
2023-11-08,51
2023-11-09,55
2023-11-10,67
2023-11-11,47
2023-11-12,32
2023-11-13,48
2023-11-14,51
2023-11-15,50
2023-11-16,54
2023-11-17,48
2023-11-18,33
2023-11-19,31
2023-11-20,44
2023-11-21,55
2023-11-22,53
2023-11-23,42
2023-11-24,48
2023-11-25,37
2023-11-26,32
2023-11-27,55
2023-11-28,63
2023-11-29,75
2023-11-30,64
2023-12-01,76
2023-12-02,60
2023-12-03,45
2023-12-04,100
2023-12-05,90
2023-12-06,77
2023-12-07,62
2023-12-08,66
2023-12-09,51
2023-12-10,42
2023-12-11,66
2023-12-12,60
2023-12-13,65
2023-12-14,67
2023-12-15,64
2023-12-16,56
2023-12-17,43
2023-12-18,59
2023-12-19,69
2023-12-20,67
2023-12-21,63
2023-12-22,69
2023-12-23,50
2023-12-24,37
2023-12-25,38
2023-12-26,68
2023-12-27,74
2023-12-28,77
2023-12-29,75
2023-12-30,49
2023-12-31,39
2024-01-01,38
2024-01-02,67
2024-01-03,62
2024-01-04,62
2024-01-05,59
2024-01-06,45
2024-01-07,34
2024-01-08,50
2024-01-09,56
2024-01-10,54
2024-01-11,57
2024-01-12,56
2024-01-13,39
2024-01-14,31
2024-01-15,43
2024-01-16,50
2024-01-17,57
2024-01-18,54
2024-01-19,55
2024-01-20,40
