Time,the masters
2023-04-26,40
2023-04-27,40
2023-04-28,39
2023-04-29,41
2023-04-30,47
2023-05-01,42
2023-05-02,40
2023-05-03,44
2023-05-04,43
2023-05-05,40
2023-05-06,57
2023-05-07,44
2023-05-08,48
2023-05-09,51
2023-05-10,51
2023-05-11,50
2023-05-12,49
2023-05-13,50
2023-05-14,53
2023-05-15,58
2023-05-16,51
2023-05-17,52
2023-05-18,62
2023-05-19,57
2023-05-20,56
2023-05-21,75
2023-05-22,51
2023-05-23,49
2023-05-24,56
2023-05-25,52
2023-05-26,40
2023-05-27,44
2023-05-28,36
2023-05-29,52
2023-05-30,41
2023-05-31,39
2023-06-01,56
2023-06-02,50
2023-06-03,44
2023-06-04,44
2023-06-05,40
2023-06-06,44
2023-06-07,43
2023-06-08,35
2023-06-09,34
2023-06-10,36
2023-06-11,41
2023-06-12,38
2023-06-13,41
2023-06-14,41
2023-06-15,44
2023-06-16,45
2023-06-17,49
2023-06-18,56
2023-06-19,55
2023-06-20,41
2023-06-21,36
2023-06-22,34
2023-06-23,34
2023-06-24,36
2023-06-25,43
2023-06-26,35
2023-06-27,39
2023-06-28,36
2023-06-29,37
2023-06-30,36
2023-07-01,38
2023-07-02,43
2023-07-03,37
2023-07-04,40
2023-07-05,40
2023-07-06,41
2023-07-07,44
2023-07-08,41
2023-07-09,46
2023-07-10,43
2023-07-11,42
2023-07-12,42
2023-07-13,41
2023-07-14,44
2023-07-15,45
2023-07-16,44
2023-07-17,46
2023-07-18,45
2023-07-19,48
2023-07-20,49
2023-07-21,46
2023-07-22,50
2023-07-23,56
2023-07-24,53
2023-07-25,52
2023-07-26,42
2023-07-27,41
2023-07-28,40
2023-07-29,46
2023-07-30,43
2023-07-31,40
2023-08-01,44
2023-08-02,39
2023-08-03,41
2023-08-04,42
2023-08-05,40
2023-08-06,44
2023-08-07,42
2023-08-08,38
2023-08-09,44
2023-08-10,46
2023-08-11,57
2023-08-12,41
2023-08-13,49
2023-08-14,42
2023-08-15,45
2023-08-16,49
2023-08-17,47
2023-08-18,43
2023-08-19,46
2023-08-20,41
2023-08-21,39
2023-08-22,38
2023-08-23,45
2023-08-24,41
2023-08-25,38
2023-08-26,37
2023-08-27,46
2023-08-28,37
2023-08-29,42
2023-08-30,40
2023-08-31,40
2023-09-01,37
2023-09-02,37
2023-09-03,40
2023-09-04,38
2023-09-05,37
2023-09-06,39
2023-09-07,40
2023-09-08,33
2023-09-09,36
2023-09-10,41
2023-09-11,39
2023-09-12,39
2023-09-13,40
2023-09-14,40
2023-09-15,36
2023-09-16,32
2023-09-17,41
2023-09-18,43
2023-09-19,44
2023-09-20,44
2023-09-21,40
2023-09-22,37
2023-09-23,38
2023-09-24,38
2023-09-25,40
2023-09-26,44
2023-09-27,39
2023-09-28,45
2023-09-29,36
2023-09-30,43
2023-10-01,38
2023-10-02,37
2023-10-03,41
2023-10-04,40
2023-10-05,51
2023-10-06,100
2023-10-07,61
2023-10-08,44
2023-10-09,46
2023-10-10,46
2023-10-11,46
2023-10-12,46
2023-10-13,38
2023-10-14,39
2023-10-15,37
2023-10-16,41
2023-10-17,41
2023-10-18,40
2023-10-19,43
2023-10-20,46
2023-10-21,39
2023-10-22,34
2023-10-23,39
2023-10-24,42
2023-10-25,36
2023-10-26,35
2023-10-27,36
2023-10-28,30
2023-10-29,36
2023-10-30,42
2023-10-31,43
2023-11-01,40
2023-11-02,42
2023-11-03,39
2023-11-04,41
2023-11-05,39
2023-11-06,41
2023-11-07,38
2023-11-08,35
2023-11-09,59
2023-11-10,62
2023-11-11,53
2023-11-12,51
2023-11-13,49
2023-11-14,47
2023-11-15,47
2023-11-16,40
2023-11-17,39
2023-11-18,39
2023-11-19,36
2023-11-20,35
2023-11-21,36
2023-11-22,32
2023-11-23,32
2023-11-24,29
2023-11-25,36
2023-11-26,40
2023-11-27,38
2023-11-28,40
2023-11-29,38
2023-11-30,41
2023-12-01,37
2023-12-02,38
2023-12-03,33
2023-12-04,38
2023-12-05,36
2023-12-06,48
2023-12-07,57
2023-12-08,50
2023-12-09,47
2023-12-10,44
2023-12-11,40
2023-12-12,42
2023-12-13,42
2023-12-14,40
2023-12-15,40
2023-12-16,44
2023-12-17,46
2023-12-18,42
2023-12-19,41
2023-12-20,39
2023-12-21,38
2023-12-22,37
2023-12-23,36
2023-12-24,33
2023-12-25,34
2023-12-26,36
2023-12-27,39
2023-12-28,41
2023-12-29,40
2023-12-30,45
2023-12-31,44
2024-01-01,45
2024-01-02,55
2024-01-03,48
2024-01-04,47
2024-01-05,46
2024-01-06,51
2024-01-07,53
2024-01-08,53
2024-01-09,78
2024-01-10,54
2024-01-11,72
2024-01-12,79
2024-01-13,61
2024-01-14,83
2024-01-15,59
2024-01-16,65
2024-01-17,62
2024-01-18,74
2024-01-19,72
2024-01-20,86
