Time,bitcoin price
2022-08-29,42
2022-08-30,38
2022-08-31,36
2022-09-01,36
2022-09-02,35
2022-09-03,28
2022-09-04,29
2022-09-05,33
2022-09-06,39
2022-09-07,43
2022-09-08,36
2022-09-09,37
2022-09-10,31
2022-09-11,31
2022-09-12,39
2022-09-13,42
2022-09-14,38
2022-09-15,38
2022-09-16,39
2022-09-17,33
2022-09-18,30
2022-09-19,45
2022-09-20,42
2022-09-21,42
2022-09-22,42
2022-09-23,42
2022-09-24,34
2022-09-25,32
2022-09-26,36
2022-09-27,38
2022-09-28,37
2022-09-29,35
2022-09-30,36
2022-10-01,27
2022-10-02,28
2022-10-03,34
2022-10-04,31
2022-10-05,30
2022-10-06,29
2022-10-07,30
2022-10-08,24
2022-10-09,23
2022-10-10,32
2022-10-11,32
2022-10-12,30
2022-10-13,36
2022-10-14,31
2022-10-15,23
2022-10-16,23
2022-10-17,29
2022-10-18,28
2022-10-19,30
2022-10-20,26
2022-10-21,27
2022-10-22,21
2022-10-23,22
2022-10-24,27
2022-10-25,28
2022-10-26,31
2022-10-27,31
2022-10-28,27
2022-10-29,25
2022-10-30,23
2022-10-31,27
2022-11-01,25
2022-11-02,28
2022-11-03,27
2022-11-04,25
2022-11-05,23
2022-11-06,22
2022-11-07,27
2022-11-08,42
2022-11-09,88
2022-11-10,100
2022-11-11,85
2022-11-12,78
2022-11-13,69
2022-11-14,78
2022-11-15,62
2022-11-16,60
2022-11-17,59
2022-11-18,50
2022-11-19,39
2022-11-20,36
2022-11-21,59
2022-11-22,59
2022-11-23,50
2022-11-24,38
2022-11-25,37
2022-11-26,33
2022-11-27,31
2022-11-28,44
2022-11-29,39
2022-11-30,36
2022-12-01,39
2022-12-02,34
2022-12-03,29
2022-12-04,31
2022-12-05,35
2022-12-06,34
2022-12-07,33
2022-12-08,31
2022-12-09,30
2022-12-10,25
2022-12-11,26
2022-12-12,30
2022-12-13,40
2022-12-14,36
2022-12-15,35
2022-12-16,35
2022-12-17,31
2022-12-18,27
2022-12-19,35
2022-12-20,33
2022-12-21,32
2022-12-22,36
2022-12-23,29
2022-12-24,24
2022-12-25,24
2022-12-26,26
2022-12-27,36
2022-12-28,33
2022-12-29,32
2022-12-30,29
2022-12-31,24
2023-01-01,22
2023-01-02,26
2023-01-03,27
2023-01-04,28
2023-01-05,26
2023-01-06,27
2023-01-07,21
2023-01-08,21
2023-01-09,28
2023-01-10,29
2023-01-11,27
2023-01-12,35
2023-01-13,46
2023-01-14,43
2023-01-15,35
2023-01-16,39
2023-01-17,40
2023-01-18,35
2023-01-19,34
2023-01-20,37
2023-01-21,35
2023-01-22,36
2023-01-23,38
2023-01-24,36
2023-01-25,33
2023-01-26,34
2023-01-27,33
2023-01-28,27
2023-01-29,30
2023-01-30,35
2023-01-31,35
2023-02-01,32
2023-02-02,36
2023-02-03,32
2023-02-04,28
2023-02-05,28
2023-02-06,30
2023-02-07,33
2023-02-08,29
2023-02-09,28
2023-02-10,27
2023-02-11,24
2023-02-12,22
2023-02-13,25
2023-02-14,27
2023-02-15,32
2023-02-16,42
2023-02-17,35
2023-02-18,29
2023-02-19,28
2023-02-20,32
2023-02-21,35
2023-02-22,32
2023-02-23,32
2023-02-24,29
2023-02-25,24
2023-02-26,23
2023-02-27,28
2023-02-28,26
2023-03-01,26
2023-03-02,27
2023-03-03,31
2023-03-04,24
2023-03-05,22
2023-03-06,26
2023-03-07,26
2023-03-08,27
2023-03-09,32
2023-03-10,41
2023-03-11,37
2023-03-12,38
2023-03-13,65
2023-03-14,65
2023-03-15,45
2023-03-16,42
2023-03-17,48
2023-03-18,44
2023-03-19,53
2023-03-20,67
2023-03-21,52
2023-03-22,55
2023-03-23,53
2023-03-24,44
2023-03-25,38
2023-03-26,39
2023-03-27,39
2023-03-28,38
2023-03-29,42
2023-03-30,39
2023-03-31,39
2023-04-01,33
2023-04-02,35
2023-04-03,36
2023-04-04,38
2023-04-05,35
2023-04-06,34
2023-04-07,31
2023-04-08,29
2023-04-09,29
2023-04-10,40
2023-04-11,56
2023-04-12,47
2023-04-13,44
2023-04-14,40
2023-04-15,34
2023-04-16,32
2023-04-17,42
2023-04-18,36
2023-04-19,36
2023-04-20,33
2023-04-21,33
2023-04-22,31
2023-04-23,31
2023-04-24,34
2023-04-25,34
2023-04-26,38
2023-04-27,36
2023-04-28,33
2023-04-29,27
2023-04-30,30
2023-05-01,35
2023-05-02,33
2023-05-03,34
2023-05-04,36
2023-05-05,32
2023-05-06,29
2023-05-07,28
2023-05-08,37
2023-05-09,32
2023-05-10,32
2023-05-11,32
2023-05-12,33
2023-05-13,27
2023-05-14,27
2023-05-15,29
2023-05-16,33
2023-05-17,32
2023-05-18,28
2023-05-19,28
2023-05-20,23
2023-05-21,23
2023-05-22,28
2023-05-23,30
2023-05-24,29
2023-05-25,28
