Time,bitcoin price
2023-04-26,36
2023-04-27,33
2023-04-28,31
2023-04-29,25
2023-04-30,28
2023-05-01,33
2023-05-02,31
2023-05-03,31
2023-05-04,33
2023-05-05,30
2023-05-06,27
2023-05-07,26
2023-05-08,35
2023-05-09,30
2023-05-10,30
2023-05-11,30
2023-05-12,31
2023-05-13,25
2023-05-14,25
2023-05-15,27
2023-05-16,31
2023-05-17,30
2023-05-18,26
2023-05-19,26
2023-05-20,22
2023-05-21,21
2023-05-22,26
2023-05-23,28
2023-05-24,27
2023-05-25,26
2023-05-26,24
2023-05-27,20
2023-05-28,23
2023-05-29,26
2023-05-30,27
2023-05-31,25
2023-06-01,25
2023-06-02,24
2023-06-03,20
2023-06-04,21
2023-06-05,29
2023-06-06,33
2023-06-07,29
2023-06-08,25
2023-06-09,25
2023-06-10,27
2023-06-11,25
2023-06-12,28
2023-06-13,25
2023-06-14,25
2023-06-15,29
2023-06-16,26
2023-06-17,22
2023-06-18,21
2023-06-19,25
2023-06-20,30
2023-06-21,38
2023-06-22,35
2023-06-23,36
2023-06-24,29
2023-06-25,30
2023-06-26,32
2023-06-27,31
2023-06-28,29
2023-06-29,29
2023-06-30,32
2023-07-01,24
2023-07-02,24
2023-07-03,33
2023-07-04,29
2023-07-05,29
2023-07-06,29
2023-07-07,29
2023-07-08,23
2023-07-09,24
2023-07-10,29
2023-07-11,28
2023-07-12,27
2023-07-13,32
2023-07-14,33
2023-07-15,25
2023-07-16,24
2023-07-17,28
2023-07-18,28
2023-07-19,28
2023-07-20,27
2023-07-21,25
2023-07-22,19
2023-07-23,21
2023-07-24,28
2023-07-25,27
2023-07-26,25
2023-07-27,24
2023-07-28,23
2023-07-29,18
2023-07-30,17
2023-07-31,23
2023-08-01,24
2023-08-02,25
2023-08-03,24
2023-08-04,22
2023-08-05,18
2023-08-06,17
2023-08-07,23
2023-08-08,24
2023-08-09,24
2023-08-10,21
2023-08-11,21
2023-08-12,16
2023-08-13,16
2023-08-14,21
2023-08-15,21
2023-08-16,21
2023-08-17,29
2023-08-18,41
2023-08-19,28
2023-08-20,23
2023-08-21,30
2023-08-22,29
2023-08-23,27
2023-08-24,24
2023-08-25,24
2023-08-26,18
2023-08-27,19
2023-08-28,22
2023-08-29,31
2023-08-30,27
2023-08-31,25
2023-09-01,23
2023-09-02,18
2023-09-03,19
2023-09-04,19
2023-09-05,21
2023-09-06,20
2023-09-07,21
2023-09-08,20
2023-09-09,16
2023-09-10,15
2023-09-11,21
2023-09-12,23
2023-09-13,22
2023-09-14,21
2023-09-15,21
2023-09-16,17
2023-09-17,14
2023-09-18,21
2023-09-19,21
2023-09-20,21
2023-09-21,21
2023-09-22,19
2023-09-23,15
2023-09-24,15
2023-09-25,19
2023-09-26,20
2023-09-27,20
2023-09-28,19
2023-09-29,20
2023-09-30,16
2023-10-01,17
2023-10-02,25
2023-10-03,23
2023-10-04,22
2023-10-05,21
2023-10-06,20
2023-10-07,18
2023-10-08,17
2023-10-09,22
2023-10-10,21
2023-10-11,21
2023-10-12,20
2023-10-13,19
2023-10-14,16
2023-10-15,17
2023-10-16,27
2023-10-17,25
2023-10-18,23
2023-10-19,21
2023-10-20,28
2023-10-21,25
2023-10-22,24
2023-10-23,38
2023-10-24,71
2023-10-25,48
2023-10-26,39
2023-10-27,34
2023-10-28,29
2023-10-29,27
2023-10-30,33
2023-10-31,30
2023-11-01,33
2023-11-02,32
2023-11-03,30
2023-11-04,27
2023-11-05,28
2023-11-06,31
2023-11-07,30
2023-11-08,30
2023-11-09,41
2023-11-10,38
2023-11-11,34
2023-11-12,30
2023-11-13,32
2023-11-14,31
2023-11-15,33
2023-11-16,35
2023-11-17,29
2023-11-18,25
2023-11-19,25
2023-11-20,32
2023-11-21,33
2023-11-22,35
2023-11-23,29
2023-11-24,33
2023-11-25,28
2023-11-26,26
2023-11-27,29
2023-11-28,30
2023-11-29,31
2023-11-30,29
2023-12-01,32
2023-12-02,32
2023-12-03,34
2023-12-04,65
2023-12-05,65
2023-12-06,63
2023-12-07,41
2023-12-08,43
2023-12-09,37
2023-12-10,33
2023-12-11,45
2023-12-12,38
2023-12-13,38
2023-12-14,39
2023-12-15,34
2023-12-16,31
2023-12-17,29
2023-12-18,36
2023-12-19,38
2023-12-20,41
2023-12-21,37
2023-12-22,39
2023-12-23,33
2023-12-24,31
2023-12-25,33
2023-12-26,40
2023-12-27,36
2023-12-28,36
2023-12-29,37
2023-12-30,28
2023-12-31,28
2024-01-01,32
2024-01-02,51
2024-01-03,49
2024-01-04,43
2024-01-05,39
2024-01-06,35
2024-01-07,33
2024-01-08,47
2024-01-09,59
2024-01-10,82
2024-01-11,100
2024-01-12,70
2024-01-13,44
2024-01-14,37
2024-01-15,40
2024-01-16,39
2024-01-17,38
2024-01-18,37
2024-01-19,38
2024-01-20,30
