Time,stacey abrams
2025-04-15,24
2025-04-16,15
2025-04-17,17
2025-04-18,17
2025-04-19,15
2025-04-20,16
2025-04-21,15
2025-04-22,9
2025-04-23,10
2025-04-24,9
2025-04-25,24
2025-04-26,31
2025-04-27,12
2025-04-28,10
2025-04-29,10
2025-04-30,9
2025-05-01,10
2025-05-02,0
2025-05-03,11
2025-05-04,0
2025-05-05,19
2025-05-06,9
2025-05-07,0
2025-05-08,10
2025-05-09,11
2025-05-10,0
2025-05-11,10
2025-05-12,11
2025-05-13,0
2025-05-14,11
2025-05-15,0
2025-05-16,10
2025-05-17,0
2025-05-18,9
2025-05-19,0
2025-05-20,11
2025-05-21,0
2025-05-22,8
2025-05-23,8
2025-05-24,13
2025-05-25,0
2025-05-26,9
2025-05-27,16
2025-05-28,10
2025-05-29,8
2025-05-30,17
2025-05-31,12
2025-06-01,10
2025-06-02,0
2025-06-03,0
2025-06-04,0
2025-06-05,0
2025-06-06,15
2025-06-07,10
2025-06-08,11
2025-06-09,11
2025-06-10,10
2025-06-11,0
2025-06-12,0
2025-06-13,0
2025-06-14,9
2025-06-15,12
2025-06-16,12
2025-06-17,11
2025-06-18,9
2025-06-19,9
2025-06-20,8
2025-06-21,0
2025-06-22,0
2025-06-23,0
2025-06-24,0
2025-06-25,0
2025-06-26,8
2025-06-27,0
2025-06-28,8
2025-06-29,0
2025-06-30,0
2025-07-01,0
2025-07-02,10
2025-07-03,0
2025-07-04,11
2025-07-05,0
2025-07-06,0
2025-07-07,11
2025-07-08,75
2025-07-09,100
2025-07-10,45
2025-07-11,34
2025-07-12,16
2025-07-13,20
2025-07-14,46
2025-07-15,52
2025-07-16,52
2025-07-17,25
2025-07-18,20
2025-07-19,17
2025-07-20,21
2025-07-21,15
2025-07-22,8
2025-07-23,13
2025-07-24,17
2025-07-25,13
2025-07-26,10
2025-07-27,11
2025-07-28,9
2025-07-29,8
2025-07-30,17
2025-07-31,11
2025-08-01,12
2025-08-02,11
2025-08-03,0
2025-08-04,0
2025-08-05,11
2025-08-06,18
2025-08-07,0
2025-08-08,24
2025-08-09,17
2025-08-10,13
2025-08-11,8
2025-08-12,14
2025-08-13,10
2025-08-14,26
2025-08-15,11
2025-08-16,10
2025-08-17,11
2025-08-18,10
2025-08-19,12
2025-08-20,14
2025-08-21,11
2025-08-22,0
2025-08-23,15
2025-08-24,0
2025-08-25,10
2025-08-26,14
2025-08-27,10
2025-08-28,12
2025-08-29,14
2025-08-30,0
2025-08-31,11
2025-09-01,9
2025-09-02,0
2025-09-03,25
2025-09-04,98
2025-09-05,46
2025-09-06,51
2025-09-07,23
2025-09-08,15
2025-09-09,22
2025-09-10,21
2025-09-11,17
2025-09-12,0
2025-09-13,10
2025-09-14,0
2025-09-15,8
2025-09-16,13
2025-09-17,9
2025-09-18,11
2025-09-19,35
2025-09-20,22
2025-09-21,14
2025-09-22,19
2025-09-23,8
2025-09-24,15
2025-09-25,13
2025-09-26,10
2025-09-27,11
2025-09-28,12
2025-09-29,0
2025-09-30,12
2025-10-01,10
2025-10-02,0
2025-10-03,13
2025-10-04,12
2025-10-05,0
2025-10-06,0
2025-10-07,11
2025-10-08,12
2025-10-09,12
2025-10-10,8
2025-10-11,11
2025-10-12,12
2025-10-13,0
2025-10-14,8
2025-10-15,10
2025-10-16,12
2025-10-17,20
2025-10-18,13
2025-10-19,12
2025-10-20,8
2025-10-21,16
2025-10-22,9
2025-10-23,10
2025-10-24,13
2025-10-25,11
2025-10-26,11
2025-10-27,15
2025-10-28,0
2025-10-29,14
2025-10-30,7
2025-10-31,10
2025-11-01,11
2025-11-02,0
2025-11-03,8
2025-11-04,17
2025-11-05,24
2025-11-06,11
2025-11-07,13
2025-11-08,58
2025-11-09,24
2025-11-10,17
2025-11-11,10
2025-11-12,8
2025-11-13,10
2025-11-14,10
2025-11-15,0
2025-11-16,0
2025-11-17,10
2025-11-18,0
2025-11-19,11
2025-11-20,0
2025-11-21,0
2025-11-22,0
2025-11-23,9
2025-11-24,0
2025-11-25,9
2025-11-26,0
2025-11-27,0
2025-11-28,0
2025-11-29,0
2025-11-30,0
2025-12-01,0
2025-12-02,0
2025-12-03,9
2025-12-04,8
2025-12-05,0
2025-12-06,0
2025-12-07,9
2025-12-08,10
2025-12-09,13
2025-12-10,0
2025-12-11,11
2025-12-12,0
2025-12-13,0
2025-12-14,0
2025-12-15,0
2025-12-16,0
2025-12-17,0
2025-12-18,0
2025-12-19,0
2025-12-20,0
2025-12-21,0
2025-12-22,0
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,0
2025-12-27,10
2025-12-28,19
2025-12-29,14
2025-12-30,13
2025-12-31,8
2026-01-01,11
2026-01-02,0
2026-01-03,9
2026-01-04,0
2026-01-05,0
2026-01-06,9
2026-01-07,0
2026-01-08,13
2026-01-09,12
