Time,russia
2025-12-11,49
2025-12-12,48
2025-12-13,37
2025-12-14,36
2025-12-15,40
2025-12-16,41
2025-12-17,47
2025-12-18,45
2025-12-19,38
2025-12-20,36
2025-12-21,34
2025-12-22,35
2025-12-23,34
2025-12-24,36
2025-12-25,35
2025-12-26,35
2025-12-27,40
2025-12-28,38
2025-12-29,37
2025-12-30,37
2025-12-31,36
2026-01-01,34
2026-01-02,34
2026-01-03,74
2026-01-04,68
2026-01-05,56
2026-01-06,49
2026-01-07,65
2026-01-08,74
2026-01-09,69
2026-01-10,54
2026-01-11,46
2026-01-12,54
2026-01-13,53
2026-01-14,55
2026-01-15,59
2026-01-16,53
2026-01-17,43
2026-01-18,46
2026-01-19,61
2026-01-20,81
2026-01-21,100
2026-01-22,86
2026-01-23,76
2026-01-24,65
2026-01-25,59
2026-01-26,53
2026-01-27,50
2026-01-28,49
2026-01-29,54
2026-01-30,54
2026-01-31,46
2026-02-01,58
2026-02-02,54
2026-02-03,52
2026-02-04,60
2026-02-05,69
2026-02-06,70
2026-02-07,84
2026-02-08,76
2026-02-09,56
2026-02-10,64
2026-02-11,53
2026-02-12,54
2026-02-13,57
2026-02-14,51
2026-02-15,60
2026-02-16,60
2026-02-17,58
2026-02-18,55
2026-02-19,53
2026-02-20,57
2026-02-21,45
2026-02-22,69
2026-02-23,55
2026-02-24,50
2026-02-25,46
2026-02-26,49
2026-02-27,49
2026-02-28,63
2026-03-01,62
2026-03-02,85
2026-03-03,81
2026-03-04,71
2026-03-05,70
2026-03-06,75
2026-03-07,65
2026-03-08,52
2026-03-09,55
2026-03-10,53
2026-03-11,51
2026-03-12,48
2026-03-13,48
2026-03-14,41
2026-03-15,42
2026-03-16,49
2026-03-17,49
2026-03-18,46
2026-03-19,50
2026-03-20,50
2026-03-21,40
2026-03-22,43
2026-03-23,47
2026-03-24,39
2026-03-25,42
2026-03-26,42
2026-03-27,43
2026-03-28,38
2026-03-29,39
2026-03-30,40
2026-03-31,44
2026-04-01,48
2026-04-02,40
2026-04-03,40
2026-04-04,40
2026-04-05,34
2026-04-06,39
2026-04-07,52
2026-04-08,75
2026-04-09,54
2026-04-10,39
2026-04-11,34
2026-04-12,37
2026-04-13,39
2026-04-14,38
2026-04-15,35
2026-04-16,40
2026-04-17,57
2026-04-18,33
2026-04-19,33
2026-04-20,33
2026-04-21,34
2026-04-22,37
2026-04-23,37
2026-04-24,36
2026-04-25,34
2026-04-26,42
2026-04-27,37
2026-04-28,35
2026-04-29,36
2026-04-30,36
2026-05-01,34
2026-05-02,31
2026-05-03,36
2026-05-04,34
2026-05-05,41
2026-05-06,43
2026-05-07,40
2026-05-08,38
2026-05-09,37
2026-05-10,39
2026-05-11,40
2026-05-12,36
2026-05-13,37
2026-05-14,39
2026-05-15,32
2026-05-16,33
2026-05-17,33
2026-05-18,35
2026-05-19,40
2026-05-20,46
2026-05-21,36
2026-05-22,38
2026-05-23,43
2026-05-24,41
2026-05-25,38
2026-05-26,41
2026-05-27,40
2026-05-28,48
2026-05-29,47
2026-05-30,40
2026-05-31,55
