Time,pinterest
2023-12-22,73
2023-12-23,73
2023-12-24,73
2023-12-25,72
2023-12-26,75
2023-12-27,87
2023-12-28,86
2023-12-29,81
2023-12-30,73
2023-12-31,80
2024-01-01,75
2024-01-02,92
2024-01-03,94
2024-01-04,89
2024-01-05,87
2024-01-06,81
2024-01-07,81
2024-01-08,89
2024-01-09,96
2024-01-10,96
2024-01-11,95
2024-01-12,90
2024-01-13,79
2024-01-14,79
2024-01-15,83
2024-01-16,90
2024-01-17,100
2024-01-18,88
2024-01-19,90
2024-01-20,83
2024-01-21,80
2024-01-22,96
2024-01-23,90
2024-01-24,98
2024-01-25,94
2024-01-26,84
2024-01-27,71
2024-01-28,69
2024-01-29,87
2024-01-30,95
2024-01-31,92
2024-02-01,92
2024-02-02,90
2024-02-03,71
2024-02-04,79
2024-02-05,85
2024-02-06,94
2024-02-07,94
2024-02-08,91
2024-02-09,89
2024-02-10,72
2024-02-11,73
2024-02-12,83
2024-02-13,92
2024-02-14,87
2024-02-15,78
2024-02-16,79
2024-02-17,69
2024-02-18,78
2024-02-19,88
2024-02-20,89
2024-02-21,88
2024-02-22,81
2024-02-23,81
2024-02-24,68
2024-02-25,73
2024-02-26,80
2024-02-27,80
2024-02-28,84
2024-02-29,81
2024-03-01,79
2024-03-02,70
2024-03-03,71
2024-03-04,81
2024-03-05,86
2024-03-06,82
2024-03-07,80
2024-03-08,75
2024-03-09,67
2024-03-10,70
2024-03-11,77
2024-03-12,77
2024-03-13,77
2024-03-14,78
2024-03-15,77
2024-03-16,65
2024-03-17,67
2024-03-18,79
2024-03-19,84
2024-03-20,77
2024-03-21,79
2024-03-22,76
2024-03-23,60
2024-03-24,68
2024-03-25,75
2024-03-26,82
2024-03-27,80
2024-03-28,74
2024-03-29,71
2024-03-30,68
2024-03-31,63
2024-04-01,76
2024-04-02,77
2024-04-03,80
2024-04-04,70
2024-04-05,77
2024-04-06,65
2024-04-07,66
2024-04-08,70
2024-04-09,79
2024-04-10,82
2024-04-11,76
2024-04-12,78
2024-04-13,64
2024-04-14,66
2024-04-15,75
2024-04-16,84
2024-04-17,79
2024-04-18,78
2024-04-19,74
2024-04-20,70
2024-04-21,75
2024-04-22,81
2024-04-23,78
2024-04-24,79
2024-04-25,79
2024-04-26,81
2024-04-27,68
2024-04-28,70
2024-04-29,75
2024-04-30,81
2024-05-01,80
2024-05-02,78
2024-05-03,75
2024-05-04,60
2024-05-05,73
2024-05-06,85
2024-05-07,81
2024-05-08,79
2024-05-09,80
2024-05-10,74
2024-05-11,64
2024-05-12,66
2024-05-13,80
2024-05-14,85
2024-05-15,80
2024-05-16,71
2024-05-17,73
2024-05-18,67
2024-05-19,66
2024-05-20,73
2024-05-21,78
2024-05-22,74
2024-05-23,74
2024-05-24,72
2024-05-25,65
2024-05-26,63
2024-05-27,66
2024-05-28,72
2024-05-29,76
2024-05-30,74
2024-05-31,70
2024-06-01,66
2024-06-02,66
2024-06-03,76
2024-06-04,75
2024-06-05,79
2024-06-06,68
2024-06-07,62
2024-06-08,63
2024-06-09,65
2024-06-10,80
2024-06-11,85
2024-06-12,82
2024-06-13,73
2024-06-14,68
2024-06-15,65
2024-06-16,66
2024-06-17,73
2024-06-18,72
2024-06-19,68
2024-06-20,63
2024-06-21,66
2024-06-22,62
2024-06-23,60
2024-06-24,73
2024-06-25,70
2024-06-26,67
2024-06-27,69
2024-06-28,63
2024-06-29,61
2024-06-30,62
2024-07-01,68
2024-07-02,71
2024-07-03,67
2024-07-04,62
2024-07-05,64
2024-07-06,66
2024-07-07,65
2024-07-08,68
2024-07-09,67
2024-07-10,73
2024-07-11,73
2024-07-12,67
2024-07-13,61
2024-07-14,61
2024-07-15,68
2024-07-16,74
2024-07-17,68
2024-07-18,69
2024-07-19,66
2024-07-20,64
2024-07-21,63
2024-07-22,71
2024-07-23,75
2024-07-24,72
2024-07-25,74
2024-07-26,65
2024-07-27,62
2024-07-28,67
2024-07-29,69
2024-07-30,72
2024-07-31,70
2024-08-01,71
2024-08-02,69
2024-08-03,66
2024-08-04,65
2024-08-05,72
2024-08-06,77
2024-08-07,77
2024-08-08,74
2024-08-09,70
2024-08-10,68
2024-08-11,75
2024-08-12,79
2024-08-13,82
2024-08-14,80
2024-08-15,81
2024-08-16,78
2024-08-17,67
2024-08-18,73
2024-08-19,86
2024-08-20,86
2024-08-21,87
2024-08-22,80
2024-08-23,82
2024-08-24,69
2024-08-25,77
2024-08-26,90
2024-08-27,93
2024-08-28,91
2024-08-29,87
2024-08-30,81
2024-08-31,62
2024-09-01,71
2024-09-02,78
2024-09-03,86
2024-09-04,91
2024-09-05,91
2024-09-06,82
2024-09-07,70
2024-09-08,72
2024-09-09,89
2024-09-10,89
2024-09-11,88
2024-09-12,88
2024-09-13,82
2024-09-14,69
2024-09-15,73
2024-09-16,91
