Time,pinterest
2022-08-29,90
2022-08-30,93
2022-08-31,98
2022-09-01,95
2022-09-02,82
2022-09-03,77
2022-09-04,75
2022-09-05,90
2022-09-06,88
2022-09-07,88
2022-09-08,82
2022-09-09,88
2022-09-10,71
2022-09-11,80
2022-09-12,97
2022-09-13,91
2022-09-14,93
2022-09-15,100
2022-09-16,89
2022-09-17,78
2022-09-18,82
2022-09-19,93
2022-09-20,95
2022-09-21,91
2022-09-22,92
2022-09-23,86
2022-09-24,78
2022-09-25,81
2022-09-26,93
2022-09-27,93
2022-09-28,92
2022-09-29,89
2022-09-30,90
2022-10-01,74
2022-10-02,80
2022-10-03,90
2022-10-04,96
2022-10-05,92
2022-10-06,88
2022-10-07,88
2022-10-08,77
2022-10-09,79
2022-10-10,91
2022-10-11,92
2022-10-12,91
2022-10-13,92
2022-10-14,87
2022-10-15,74
2022-10-16,79
2022-10-17,95
2022-10-18,95
2022-10-19,93
2022-10-20,94
2022-10-21,83
2022-10-22,75
2022-10-23,82
2022-10-24,92
2022-10-25,96
2022-10-26,96
2022-10-27,94
2022-10-28,87
2022-10-29,76
2022-10-30,76
2022-10-31,87
2022-11-01,86
2022-11-02,82
2022-11-03,89
2022-11-04,87
2022-11-05,79
2022-11-06,79
2022-11-07,91
2022-11-08,87
2022-11-09,85
2022-11-10,92
2022-11-11,91
2022-11-12,83
2022-11-13,84
2022-11-14,92
2022-11-15,94
2022-11-16,94
2022-11-17,100
2022-11-18,90
2022-11-19,78
2022-11-20,84
2022-11-21,93
2022-11-22,92
2022-11-23,85
2022-11-24,67
2022-11-25,67
2022-11-26,73
2022-11-27,88
2022-11-28,85
2022-11-29,95
2022-11-30,92
2022-12-01,89
2022-12-02,85
2022-12-03,77
2022-12-04,76
2022-12-05,90
2022-12-06,90
2022-12-07,93
2022-12-08,88
2022-12-09,84
2022-12-10,75
2022-12-11,83
2022-12-12,86
2022-12-13,89
2022-12-14,90
2022-12-15,85
2022-12-16,87
2022-12-17,74
2022-12-18,71
2022-12-19,86
2022-12-20,91
2022-12-21,91
2022-12-22,86
2022-12-23,81
2022-12-24,71
2022-12-25,67
2022-12-26,73
2022-12-27,86
2022-12-28,87
2022-12-29,91
2022-12-30,84
2022-12-31,79
2023-01-01,74
2023-01-02,88
2023-01-03,85
2023-01-04,93
2023-01-05,88
2023-01-06,88
2023-01-07,84
2023-01-08,83
2023-01-09,91
2023-01-10,92
2023-01-11,92
2023-01-12,89
2023-01-13,86
2023-01-14,77
2023-01-15,82
2023-01-16,90
2023-01-17,95
2023-01-18,95
2023-01-19,90
2023-01-20,91
2023-01-21,81
2023-01-22,84
2023-01-23,91
2023-01-24,91
2023-01-25,92
2023-01-26,91
2023-01-27,89
2023-01-28,76
2023-01-29,80
2023-01-30,92
2023-01-31,98
2023-02-01,95
2023-02-02,93
2023-02-03,91
2023-02-04,84
2023-02-05,89
2023-02-06,93
2023-02-07,98
2023-02-08,88
2023-02-09,94
2023-02-10,91
2023-02-11,82
2023-02-12,83
2023-02-13,88
2023-02-14,90
2023-02-15,89
2023-02-16,94
2023-02-17,87
2023-02-18,75
2023-02-19,79
2023-02-20,93
2023-02-21,90
2023-02-22,88
2023-02-23,87
2023-02-24,87
2023-02-25,75
2023-02-26,96
2023-02-27,89
2023-02-28,84
2023-03-01,86
2023-03-02,85
2023-03-03,81
2023-03-04,78
2023-03-05,83
2023-03-06,84
2023-03-07,88
2023-03-08,88
2023-03-09,89
2023-03-10,89
2023-03-11,81
2023-03-12,85
2023-03-13,87
2023-03-14,92
2023-03-15,86
2023-03-16,86
2023-03-17,85
2023-03-18,74
2023-03-19,81
2023-03-20,90
2023-03-21,90
2023-03-22,90
2023-03-23,88
2023-03-24,91
2023-03-25,76
2023-03-26,83
2023-03-27,91
2023-03-28,89
2023-03-29,87
2023-03-30,86
2023-03-31,83
2023-04-01,73
2023-04-02,78
2023-04-03,86
2023-04-04,86
2023-04-05,85
2023-04-06,88
2023-04-07,82
2023-04-08,77
2023-04-09,69
2023-04-10,85
2023-04-11,86
2023-04-12,86
2023-04-13,84
2023-04-14,80
2023-04-15,66
2023-04-16,73
2023-04-17,85
2023-04-18,85
2023-04-19,87
2023-04-20,86
2023-04-21,81
2023-04-22,73
2023-04-23,76
2023-04-24,88
2023-04-25,84
2023-04-26,84
2023-04-27,83
2023-04-28,83
2023-04-29,78
2023-04-30,87
2023-05-01,96
2023-05-02,89
2023-05-03,86
2023-05-04,89
2023-05-05,80
2023-05-06,67
2023-05-07,73
2023-05-08,90
2023-05-09,85
2023-05-10,85
2023-05-11,81
2023-05-12,85
2023-05-13,71
2023-05-14,67
2023-05-15,85
2023-05-16,88
2023-05-17,83
2023-05-18,88
2023-05-19,80
2023-05-20,67
2023-05-21,67
2023-05-22,83
2023-05-23,84
2023-05-24,83
2023-05-25,86
