Time,cool math games
2024-08-18,8
2024-08-19,43
2024-08-20,51
2024-08-21,59
2024-08-22,65
2024-08-23,81
2024-08-24,12
2024-08-25,9
2024-08-26,55
2024-08-27,64
2024-08-28,68
2024-08-29,74
2024-08-30,86
2024-08-31,13
2024-09-01,9
2024-09-02,8
2024-09-03,55
2024-09-04,65
2024-09-05,74
2024-09-06,96
2024-09-07,14
2024-09-08,10
2024-09-09,62
2024-09-10,65
2024-09-11,69
2024-09-12,76
2024-09-13,100
2024-09-14,14
2024-09-15,10
2024-09-16,58
2024-09-17,66
2024-09-18,73
2024-09-19,73
2024-09-20,100
2024-09-21,14
2024-09-22,11
2024-09-23,60
2024-09-24,69
2024-09-25,71
2024-09-26,71
2024-09-27,79
2024-09-28,14
2024-09-29,10
2024-09-30,55
2024-10-01,64
2024-10-02,66
2024-10-03,64
2024-10-04,84
2024-10-05,12
2024-10-06,10
2024-10-07,53
2024-10-08,59
2024-10-09,58
2024-10-10,60
2024-10-11,62
2024-10-12,12
2024-10-13,9
2024-10-14,28
2024-10-15,50
2024-10-16,54
2024-10-17,52
2024-10-18,75
2024-10-19,12
2024-10-20,9
2024-10-21,50
2024-10-22,57
2024-10-23,60
2024-10-24,61
2024-10-25,78
2024-10-26,11
2024-10-27,9
2024-10-28,51
2024-10-29,57
2024-10-30,59
2024-10-31,77
2024-11-01,80
2024-11-02,11
2024-11-03,9
2024-11-04,50
2024-11-05,35
2024-11-06,48
2024-11-07,58
2024-11-08,78
2024-11-09,13
2024-11-10,10
2024-11-11,30
2024-11-12,52
2024-11-13,59
2024-11-14,65
2024-11-15,77
2024-11-16,12
2024-11-17,10
2024-11-18,53
2024-11-19,60
2024-11-20,62
2024-11-21,68
2024-11-22,83
2024-11-23,13
2024-11-24,10
2024-11-25,30
2024-11-26,42
2024-11-27,18
2024-11-28,10
2024-11-29,8
2024-11-30,6
2024-12-01,6
2024-12-02,42
2024-12-03,53
2024-12-04,56
2024-12-05,61
2024-12-06,86
2024-12-07,12
2024-12-08,9
2024-12-09,51
2024-12-10,60
2024-12-11,65
2024-12-12,71
2024-12-13,87
2024-12-14,14
2024-12-15,10
2024-12-16,66
2024-12-17,74
2024-12-18,85
2024-12-19,94
2024-12-20,84
2024-12-21,12
2024-12-22,9
2024-12-23,9
2024-12-24,9
2024-12-25,8
2024-12-26,8
2024-12-27,7
2024-12-28,6
2024-12-29,6
2024-12-30,5
2024-12-31,6
2025-01-01,6
2025-01-02,11
2025-01-03,14
2025-01-04,6
2025-01-05,6
2025-01-06,23
2025-01-07,43
2025-01-08,49
2025-01-09,54
2025-01-10,60
2025-01-11,11
2025-01-12,8
2025-01-13,51
2025-01-14,59
2025-01-15,58
2025-01-16,62
2025-01-17,81
2025-01-18,13
2025-01-19,8
2025-01-20,10
2025-01-21,40
2025-01-22,48
2025-01-23,62
2025-01-24,80
2025-01-25,11
2025-01-26,9
2025-01-27,55
2025-01-28,62
2025-01-29,59
2025-01-30,73
2025-01-31,84
2025-02-01,12
2025-02-02,10
2025-02-03,44
2025-02-04,59
2025-02-05,61
2025-02-06,64
2025-02-07,81
2025-02-08,13
2025-02-09,10
2025-02-10,46
2025-02-11,60
2025-02-12,64
2025-02-13,72
2025-02-14,66
2025-02-15,12
2025-02-16,9
2025-02-17,14
2025-02-18,44
2025-02-19,51
2025-02-20,50
2025-02-21,69
2025-02-22,12
2025-02-23,9
2025-02-24,45
2025-02-25,50
2025-02-26,53
2025-02-27,59
2025-02-28,76
2025-03-01,12
2025-03-02,9
2025-03-03,43
2025-03-04,54
2025-03-05,61
2025-03-06,66
2025-03-07,76
2025-03-08,12
2025-03-09,8
2025-03-10,43
2025-03-11,48
2025-03-12,51
2025-03-13,58
2025-03-14,65
2025-03-15,11
2025-03-16,9
2025-03-17,38
2025-03-18,41
2025-03-19,45
2025-03-20,51
2025-03-21,59
2025-03-22,10
2025-03-23,8
2025-03-24,39
2025-03-25,43
2025-03-26,47
2025-03-27,48
2025-03-28,63
2025-03-29,10
2025-03-30,8
2025-03-31,36
2025-04-01,44
2025-04-02,48
2025-04-03,56
2025-04-04,68
2025-04-05,10
2025-04-06,8
2025-04-07,43
2025-04-08,47
2025-04-09,50
2025-04-10,51
2025-04-11,71
2025-04-12,9
2025-04-13,7
2025-04-14,36
2025-04-15,42
2025-04-16,46
2025-04-17,53
2025-04-18,23
2025-04-19,8
2025-04-20,6
2025-04-21,24
2025-04-22,43
2025-04-23,46
2025-04-24,50
2025-04-25,65
2025-04-26,8
2025-04-27,7
2025-04-28,42
2025-04-29,53
2025-04-30,53
2025-05-01,61
2025-05-02,72
2025-05-03,9
2025-05-04,7
2025-05-05,48
2025-05-06,57
2025-05-07,55
2025-05-08,63
2025-05-09,73
2025-05-10,9
2025-05-11,8
2025-05-12,56
2025-05-13,63
2025-05-14,61
