Time,cool math games
2023-04-26,66
2023-04-27,73
2023-04-28,82
2023-04-29,15
2023-04-30,11
2023-05-01,59
2023-05-02,70
2023-05-03,68
2023-05-04,76
2023-05-05,82
2023-05-06,14
2023-05-07,10
2023-05-08,64
2023-05-09,71
2023-05-10,71
2023-05-11,81
2023-05-12,91
2023-05-13,14
2023-05-14,10
2023-05-15,66
2023-05-16,75
2023-05-17,81
2023-05-18,79
2023-05-19,89
2023-05-20,14
2023-05-21,11
2023-05-22,61
2023-05-23,66
2023-05-24,62
2023-05-25,59
2023-05-26,49
2023-05-27,12
2023-05-28,10
2023-05-29,9
2023-05-30,34
2023-05-31,36
2023-06-01,34
2023-06-02,36
2023-06-03,10
2023-06-04,8
2023-06-05,26
2023-06-06,28
2023-06-07,31
2023-06-08,26
2023-06-09,21
2023-06-10,8
2023-06-11,8
2023-06-12,19
2023-06-13,20
2023-06-14,19
2023-06-15,17
2023-06-16,16
2023-06-17,8
2023-06-18,7
2023-06-19,8
2023-06-20,14
2023-06-21,15
2023-06-22,13
2023-06-23,12
2023-06-24,7
2023-06-25,6
2023-06-26,10
2023-06-27,11
2023-06-28,10
2023-06-29,9
2023-06-30,9
2023-07-01,6
2023-07-02,5
2023-07-03,7
2023-07-04,6
2023-07-05,7
2023-07-06,8
2023-07-07,7
2023-07-08,5
2023-07-09,5
2023-07-10,7
2023-07-11,8
2023-07-12,8
2023-07-13,8
2023-07-14,8
2023-07-15,6
2023-07-16,6
2023-07-17,7
2023-07-18,7
2023-07-19,7
2023-07-20,8
2023-07-21,7
2023-07-22,5
2023-07-23,5
2023-07-24,7
2023-07-25,8
2023-07-26,8
2023-07-27,8
2023-07-28,8
2023-07-29,6
2023-07-30,5
2023-07-31,7
2023-08-01,9
2023-08-02,9
2023-08-03,11
2023-08-04,13
2023-08-05,6
2023-08-06,6
2023-08-07,13
2023-08-08,16
2023-08-09,19
2023-08-10,23
2023-08-11,31
2023-08-12,8
2023-08-13,7
2023-08-14,24
2023-08-15,33
2023-08-16,42
2023-08-17,49
2023-08-18,63
2023-08-19,11
2023-08-20,9
2023-08-21,43
2023-08-22,57
2023-08-23,63
2023-08-24,66
2023-08-25,81
2023-08-26,13
2023-08-27,10
2023-08-28,54
2023-08-29,63
2023-08-30,65
2023-08-31,71
2023-09-01,84
2023-09-02,12
2023-09-03,10
2023-09-04,10
2023-09-05,55
2023-09-06,68
2023-09-07,70
2023-09-08,93
2023-09-09,14
2023-09-10,10
2023-09-11,58
2023-09-12,70
2023-09-13,73
2023-09-14,77
2023-09-15,95
2023-09-16,15
2023-09-17,11
2023-09-18,58
2023-09-19,71
2023-09-20,73
2023-09-21,79
2023-09-22,97
2023-09-23,16
2023-09-24,12
2023-09-25,54
2023-09-26,75
2023-09-27,72
2023-09-28,74
2023-09-29,100
2023-09-30,16
2023-10-01,12
2023-10-02,55
2023-10-03,69
2023-10-04,72
2023-10-05,78
2023-10-06,81
2023-10-07,14
2023-10-08,12
2023-10-09,34
2023-10-10,59
2023-10-11,66
2023-10-12,69
2023-10-13,75
2023-10-14,14
2023-10-15,11
2023-10-16,52
2023-10-17,62
2023-10-18,63
2023-10-19,70
2023-10-20,85
2023-10-21,14
2023-10-22,11
2023-10-23,54
2023-10-24,65
2023-10-25,64
2023-10-26,69
2023-10-27,82
2023-10-28,13
2023-10-29,10
2023-10-30,55
2023-10-31,63
2023-11-01,61
2023-11-02,63
2023-11-03,80
2023-11-04,14
2023-11-05,10
2023-11-06,51
2023-11-07,47
2023-11-08,59
2023-11-09,71
2023-11-10,57
2023-11-11,13
2023-11-12,11
2023-11-13,52
2023-11-14,60
2023-11-15,64
2023-11-16,67
2023-11-17,89
2023-11-18,15
2023-11-19,11
2023-11-20,33
2023-11-21,47
2023-11-22,19
2023-11-23,11
2023-11-24,10
2023-11-25,8
2023-11-26,7
2023-11-27,43
2023-11-28,53
2023-11-29,59
2023-11-30,62
2023-12-01,84
2023-12-02,14
2023-12-03,10
2023-12-04,50
2023-12-05,59
2023-12-06,63
2023-12-07,67
2023-12-08,82
2023-12-09,13
2023-12-10,11
2023-12-11,51
2023-12-12,60
2023-12-13,66
2023-12-14,76
2023-12-15,85
2023-12-16,14
2023-12-17,11
2023-12-18,56
2023-12-19,65
2023-12-20,59
2023-12-21,54
2023-12-22,32
2023-12-23,12
2023-12-24,10
2023-12-25,9
2023-12-26,8
2023-12-27,7
2023-12-28,7
2023-12-29,6
2023-12-30,6
2023-12-31,6
2024-01-01,6
2024-01-02,14
2024-01-03,23
2024-01-04,30
2024-01-05,47
2024-01-06,9
2024-01-07,7
2024-01-08,40
2024-01-09,49
2024-01-10,56
2024-01-11,63
2024-01-12,74
2024-01-13,13
2024-01-14,10
2024-01-15,10
2024-01-16,39
2024-01-17,51
2024-01-18,66
2024-01-19,68
2024-01-20,14
