Time,nvda
2022-01-01,5
2022-01-02,5
2022-01-03,30
2022-01-04,41
2022-01-05,40
2022-01-06,30
2022-01-07,32
2022-01-08,10
2022-01-09,6
2022-01-10,38
2022-01-11,36
2022-01-12,26
2022-01-13,38
2022-01-14,25
2022-01-15,8
2022-01-16,4
2022-01-17,8
2022-01-18,25
2022-01-19,28
2022-01-20,33
2022-01-21,37
2022-01-22,12
2022-01-23,7
2022-01-24,68
2022-01-25,40
2022-01-26,35
2022-01-27,36
2022-01-28,37
2022-01-29,9
2022-01-30,6
2022-01-31,32
2022-02-01,39
2022-02-02,46
2022-02-03,35
2022-02-04,28
2022-02-05,8
2022-02-06,5
2022-02-07,31
2022-02-08,46
2022-02-09,35
2022-02-10,27
2022-02-11,34
2022-02-12,10
2022-02-13,6
2022-02-14,36
2022-02-15,56
2022-02-16,100
2022-02-17,86
2022-02-18,51
2022-02-19,11
2022-02-20,5
2022-02-21,10
2022-02-22,37
2022-02-23,31
2022-02-24,40
2022-02-25,35
2022-02-26,9
2022-02-27,6
2022-02-28,31
2022-03-01,28
2022-03-02,27
2022-03-03,23
2022-03-04,26
2022-03-05,6
2022-03-06,3
2022-03-07,31
2022-03-08,28
2022-03-09,29
2022-03-10,28
2022-03-11,24
2022-03-12,6
2022-03-13,3
2022-03-14,27
2022-03-15,26
2022-03-16,34
2022-03-17,30
2022-03-18,34
2022-03-19,10
2022-03-20,6
2022-03-21,34
2022-03-22,38
2022-03-23,29
2022-03-24,44
2022-03-25,38
2022-03-26,8
2022-03-27,7
2022-03-28,28
2022-03-29,32
2022-03-30,31
2022-03-31,24
2022-04-01,24
2022-04-02,7
2022-04-03,5
2022-04-04,25
2022-04-05,24
2022-04-06,29
2022-04-07,26
2022-04-08,28
2022-04-09,10
2022-04-10,5
2022-04-11,36
2022-04-12,32
2022-04-13,30
2022-04-14,27
2022-04-15,12
2022-04-16,5
2022-04-17,5
2022-04-18,27
2022-04-19,25
2022-04-20,28
2022-04-21,32
2022-04-22,34
2022-04-23,9
2022-04-24,5
2022-04-25,31
2022-04-26,32
2022-04-27,28
2022-04-28,32
2022-04-29,28
2022-04-30,9
2022-05-01,6
2022-05-02,25
2022-05-03,26
2022-05-04,26
2022-05-05,27
2022-05-06,27
2022-05-07,7
2022-05-08,5
2022-05-09,34
2022-05-10,28
2022-05-11,33
2022-05-12,32
2022-05-13,31
2022-05-14,7
2022-05-15,5
2022-05-16,22
2022-05-17,27
2022-05-18,28
2022-05-19,28
2022-05-20,29
2022-05-21,8
2022-05-22,5
2022-05-23,30
2022-05-24,32
2022-05-25,83
2022-05-26,70
2022-05-27,34
2022-05-28,9
2022-05-29,5
2022-05-30,6
2022-05-31,27
2022-06-01,23
2022-06-02,27
2022-06-03,24
2022-06-04,5
2022-06-05,3
2022-06-06,23
2022-06-07,21
2022-06-08,21
2022-06-09,19
2022-06-10,20
2022-06-11,5
2022-06-12,4
2022-06-13,26
2022-06-14,22
2022-06-15,23
2022-06-16,22
2022-06-17,20
2022-06-18,6
2022-06-19,4
2022-06-20,7
2022-06-21,21
2022-06-22,19
2022-06-23,19
2022-06-24,18
2022-06-25,5
2022-06-26,4
2022-06-27,18
2022-06-28,18
2022-06-29,21
2022-06-30,21
2022-07-01,24
2022-07-02,8
2022-07-03,4
2022-07-04,5
2022-07-05,22
2022-07-06,20
2022-07-07,20
2022-07-08,18
2022-07-09,5
2022-07-10,2
2022-07-11,18
2022-07-12,18
2022-07-13,18
2022-07-14,19
2022-07-15,20
2022-07-16,9
2022-07-17,7
2022-07-18,34
2022-07-19,36
2022-07-20,40
2022-07-21,33
2022-07-22,28
2022-07-23,8
2022-07-24,5
2022-07-25,22
2022-07-26,22
2022-07-27,33
2022-07-28,32
2022-07-29,25
2022-07-30,6
2022-07-31,5
2022-08-01,22
2022-08-02,25
2022-08-03,24
2022-08-04,24
2022-08-05,21
2022-08-06,4
2022-08-07,4
2022-08-08,47
2022-08-09,36
2022-08-10,29
2022-08-11,26
2022-08-12,22
2022-08-13,5
2022-08-14,4
2022-08-15,23
2022-08-16,22
2022-08-17,19
2022-08-18,21
2022-08-19,17
2022-08-20,5
2022-08-21,4
2022-08-22,21
2022-08-23,23
2022-08-24,54
2022-08-25,45
2022-08-26,29
2022-08-27,7
2022-08-28,4
2022-08-29,22
2022-08-30,22
2022-08-31,29
2022-09-01,66
2022-09-02,38
2022-09-03,8
2022-09-04,5
2022-09-05,5
2022-09-06,23
2022-09-07,22
2022-09-08,18
2022-09-09,19
2022-09-10,5
2022-09-11,3
2022-09-12,19
2022-09-13,25
2022-09-14,21
2022-09-15,19
2022-09-16,21
2022-09-17,7
2022-09-18,3
2022-09-19,21
2022-09-20,22
2022-09-21,25
2022-09-22,23
2022-09-23,21
2022-09-24,8
2022-09-25,3
2022-09-26,18
2022-09-27,19
