Time,telfar bag
2023-12-22,66
2023-12-23,57
2023-12-24,63
2023-12-25,82
2023-12-26,100
2023-12-27,68
2023-12-28,44
2023-12-29,71
2023-12-30,58
2023-12-31,50
2024-01-01,42
2024-01-02,33
2024-01-03,38
2024-01-04,33
2024-01-05,33
2024-01-06,37
2024-01-07,52
2024-01-08,32
2024-01-09,35
2024-01-10,38
2024-01-11,34
2024-01-12,32
2024-01-13,37
2024-01-14,42
2024-01-15,41
2024-01-16,45
2024-01-17,35
2024-01-18,34
2024-01-19,32
2024-01-20,37
2024-01-21,36
2024-01-22,30
2024-01-23,31
2024-01-24,27
2024-01-25,30
2024-01-26,31
2024-01-27,35
2024-01-28,41
2024-01-29,33
2024-01-30,30
2024-01-31,30
2024-02-01,30
2024-02-02,35
2024-02-03,36
2024-02-04,39
2024-02-05,34
2024-02-06,20
2024-02-07,29
2024-02-08,29
2024-02-09,28
2024-02-10,35
2024-02-11,35
2024-02-12,29
2024-02-13,35
2024-02-14,31
2024-02-15,29
2024-02-16,32
2024-02-17,33
2024-02-18,41
2024-02-19,32
2024-02-20,26
2024-02-21,26
2024-02-22,32
2024-02-23,46
2024-02-24,35
2024-02-25,34
2024-02-26,34
2024-02-27,28
2024-02-28,25
2024-02-29,26
2024-03-01,28
2024-03-02,32
2024-03-03,39
2024-03-04,21
2024-03-05,17
2024-03-06,21
2024-03-07,25
2024-03-08,29
2024-03-09,32
2024-03-10,26
2024-03-11,25
2024-03-12,29
2024-03-13,25
2024-03-14,23
2024-03-15,23
2024-03-16,26
2024-03-17,29
2024-03-18,23
2024-03-19,24
2024-03-20,23
2024-03-21,21
2024-03-22,28
2024-03-23,24
2024-03-24,29
2024-03-25,21
2024-03-26,22
2024-03-27,24
2024-03-28,22
2024-03-29,25
2024-03-30,25
2024-03-31,26
2024-04-01,26
2024-04-02,22
2024-04-03,21
2024-04-04,23
2024-04-05,23
2024-04-06,26
2024-04-07,26
2024-04-08,21
2024-04-09,22
2024-04-10,22
2024-04-11,23
2024-04-12,22
2024-04-13,28
2024-04-14,24
2024-04-15,22
2024-04-16,22
2024-04-17,18
2024-04-18,19
2024-04-19,26
2024-04-20,31
2024-04-21,37
2024-04-22,24
2024-04-23,22
2024-04-24,25
2024-04-25,29
2024-04-26,28
2024-04-27,22
2024-04-28,29
2024-04-29,21
2024-04-30,25
2024-05-01,17
2024-05-02,23
2024-05-03,24
2024-05-04,22
2024-05-05,23
2024-05-06,24
2024-05-07,19
2024-05-08,22
2024-05-09,25
2024-05-10,20
2024-05-11,29
2024-05-12,24
2024-05-13,18
2024-05-14,19
2024-05-15,16
2024-05-16,22
2024-05-17,22
2024-05-18,25
2024-05-19,23
2024-05-20,23
2024-05-21,15
2024-05-22,24
2024-05-23,17
2024-05-24,18
2024-05-25,26
2024-05-26,22
2024-05-27,25
2024-05-28,18
2024-05-29,16
2024-05-30,19
2024-05-31,20
2024-06-01,26
2024-06-02,27
2024-06-03,21
2024-06-04,28
2024-06-05,55
2024-06-06,68
2024-06-07,36
2024-06-08,28
2024-06-09,27
2024-06-10,23
2024-06-11,24
2024-06-12,20
2024-06-13,25
2024-06-14,21
2024-06-15,17
2024-06-16,26
2024-06-17,18
2024-06-18,22
2024-06-19,22
2024-06-20,26
2024-06-21,24
2024-06-22,28
2024-06-23,29
2024-06-24,18
2024-06-25,25
2024-06-26,26
2024-06-27,21
2024-06-28,24
2024-06-29,25
2024-06-30,25
2024-07-01,22
2024-07-02,27
2024-07-03,22
2024-07-04,19
2024-07-05,23
2024-07-06,28
2024-07-07,22
2024-07-08,20
2024-07-09,28
2024-07-10,26
2024-07-11,27
2024-07-12,28
2024-07-13,25
2024-07-14,25
2024-07-15,25
2024-07-16,22
2024-07-17,28
2024-07-18,20
2024-07-19,27
2024-07-20,27
2024-07-21,29
2024-07-22,23
2024-07-23,19
2024-07-24,22
2024-07-25,24
2024-07-26,27
2024-07-27,33
2024-07-28,29
2024-07-29,28
2024-07-30,30
2024-07-31,24
2024-08-01,21
2024-08-02,27
2024-08-03,32
2024-08-04,34
2024-08-05,25
2024-08-06,27
2024-08-07,24
2024-08-08,25
2024-08-09,24
2024-08-10,19
2024-08-11,26
2024-08-12,25
2024-08-13,30
2024-08-14,22
2024-08-15,25
2024-08-16,27
2024-08-17,27
2024-08-18,26
2024-08-19,25
2024-08-20,21
2024-08-21,22
2024-08-22,22
2024-08-23,25
2024-08-24,25
2024-08-25,24
2024-08-26,21
2024-08-27,23
2024-08-28,21
2024-08-29,21
2024-08-30,24
2024-08-31,20
2024-09-01,28
2024-09-02,23
2024-09-03,15
2024-09-04,19
2024-09-05,25
2024-09-06,26
2024-09-07,24
2024-09-08,24
2024-09-09,15
2024-09-10,18
2024-09-11,17
2024-09-12,13
2024-09-13,15
2024-09-14,23
2024-09-15,23
2024-09-16,16
