Time,telfar bag
2024-08-18,40
2024-08-19,38
2024-08-20,32
2024-08-21,35
2024-08-22,34
2024-08-23,39
2024-08-24,38
2024-08-25,37
2024-08-26,33
2024-08-27,35
2024-08-28,32
2024-08-29,32
2024-08-30,36
2024-08-31,31
2024-09-01,44
2024-09-02,36
2024-09-03,23
2024-09-04,30
2024-09-05,39
2024-09-06,39
2024-09-07,37
2024-09-08,36
2024-09-09,24
2024-09-10,28
2024-09-11,27
2024-09-12,20
2024-09-13,24
2024-09-14,36
2024-09-15,35
2024-09-16,24
2024-09-17,25
2024-09-18,28
2024-09-19,27
2024-09-20,25
2024-09-21,35
2024-09-22,35
2024-09-23,29
2024-09-24,51
2024-09-25,40
2024-09-26,34
2024-09-27,33
2024-09-28,33
2024-09-29,34
2024-09-30,32
2024-10-01,24
2024-10-02,32
2024-10-03,25
2024-10-04,35
2024-10-05,28
2024-10-06,39
2024-10-07,24
2024-10-08,23
2024-10-09,36
2024-10-10,34
2024-10-11,36
2024-10-12,29
2024-10-13,30
2024-10-14,31
2024-10-15,33
2024-10-16,32
2024-10-17,37
2024-10-18,36
2024-10-19,40
2024-10-20,23
2024-10-21,27
2024-10-22,27
2024-10-23,30
2024-10-24,33
2024-10-25,29
2024-10-26,32
2024-10-27,36
2024-10-28,27
2024-10-29,26
2024-10-30,28
2024-10-31,24
2024-11-01,28
2024-11-02,38
2024-11-03,47
2024-11-04,27
2024-11-05,33
2024-11-06,16
2024-11-07,31
2024-11-08,29
2024-11-09,42
2024-11-10,47
2024-11-11,40
2024-11-12,37
2024-11-13,41
2024-11-14,31
2024-11-15,63
2024-11-16,42
2024-11-17,50
2024-11-18,32
2024-11-19,57
2024-11-20,49
2024-11-21,100
2024-11-22,66
2024-11-23,71
2024-11-24,77
2024-11-25,59
2024-11-26,63
2024-11-27,67
2024-11-28,70
2024-11-29,64
2024-11-30,69
2024-12-01,57
2024-12-02,82
2024-12-03,57
2024-12-04,57
2024-12-05,43
2024-12-06,42
2024-12-07,51
2024-12-08,58
2024-12-09,50
2024-12-10,45
2024-12-11,45
2024-12-12,53
2024-12-13,58
2024-12-14,68
2024-12-15,71
2024-12-16,55
2024-12-17,45
2024-12-18,48
2024-12-19,60
2024-12-20,61
2024-12-21,60
2024-12-22,64
2024-12-23,46
2024-12-24,50
2024-12-25,88
2024-12-26,77
2024-12-27,69
2024-12-28,57
2024-12-29,43
2024-12-30,42
2024-12-31,47
2025-01-01,29
2025-01-02,45
2025-01-03,33
2025-01-04,40
2025-01-05,42
2025-01-06,41
2025-01-07,31
2025-01-08,34
2025-01-09,35
2025-01-10,24
2025-01-11,33
2025-01-12,36
2025-01-13,31
2025-01-14,25
2025-01-15,31
2025-01-16,32
2025-01-17,35
2025-01-18,31
2025-01-19,32
2025-01-20,31
2025-01-21,36
2025-01-22,35
2025-01-23,20
2025-01-24,27
2025-01-25,30
2025-01-26,35
2025-01-27,24
2025-01-28,36
2025-01-29,26
2025-01-30,30
2025-01-31,28
2025-02-01,34
2025-02-02,34
2025-02-03,26
2025-02-04,22
2025-02-05,28
2025-02-06,34
2025-02-07,33
2025-02-08,30
2025-02-09,35
2025-02-10,21
2025-02-11,20
2025-02-12,26
2025-02-13,35
2025-02-14,34
2025-02-15,27
2025-02-16,36
2025-02-17,25
2025-02-18,24
2025-02-19,26
2025-02-20,31
2025-02-21,29
2025-02-22,35
2025-02-23,36
2025-02-24,26
2025-02-25,36
2025-02-26,28
2025-02-27,29
2025-02-28,41
2025-03-01,39
2025-03-02,27
2025-03-03,34
2025-03-04,31
2025-03-05,28
2025-03-06,26
2025-03-07,25
2025-03-08,25
2025-03-09,33
2025-03-10,22
2025-03-11,26
2025-03-12,36
2025-03-13,20
2025-03-14,24
2025-03-15,27
2025-03-16,30
2025-03-17,21
2025-03-18,26
2025-03-19,35
2025-03-20,32
2025-03-21,27
2025-03-22,20
2025-03-23,31
2025-03-24,27
2025-03-25,20
2025-03-26,24
2025-03-27,20
2025-03-28,37
2025-03-29,39
2025-03-30,30
2025-03-31,28
2025-04-01,26
2025-04-02,24
2025-04-03,22
2025-04-04,27
2025-04-05,26
2025-04-06,32
2025-04-07,16
2025-04-08,22
2025-04-09,17
2025-04-10,24
2025-04-11,27
2025-04-12,30
2025-04-13,35
2025-04-14,20
2025-04-15,25
2025-04-16,23
2025-04-17,21
2025-04-18,24
2025-04-19,30
2025-04-20,20
2025-04-21,18
2025-04-22,20
2025-04-23,19
2025-04-24,20
2025-04-25,14
2025-04-26,32
2025-04-27,30
2025-04-28,21
2025-04-29,20
2025-04-30,15
2025-05-01,24
2025-05-02,25
2025-05-03,25
2025-05-04,23
2025-05-05,17
2025-05-06,25
2025-05-07,27
2025-05-08,21
2025-05-09,24
2025-05-10,31
2025-05-11,26
2025-05-12,25
2025-05-13,17
2025-05-14,17
