Time,telfar bag
2023-04-26,20
2023-04-27,16
2023-04-28,26
2023-04-29,34
2023-04-30,32
2023-05-01,21
2023-05-02,26
2023-05-03,26
2023-05-04,36
2023-05-05,27
2023-05-06,33
2023-05-07,36
2023-05-08,33
2023-05-09,29
2023-05-10,31
2023-05-11,30
2023-05-12,27
2023-05-13,36
2023-05-14,34
2023-05-15,33
2023-05-16,23
2023-05-17,23
2023-05-18,26
2023-05-19,26
2023-05-20,25
2023-05-21,31
2023-05-22,31
2023-05-23,26
2023-05-24,21
2023-05-25,28
2023-05-26,24
2023-05-27,30
2023-05-28,34
2023-05-29,28
2023-05-30,25
2023-05-31,56
2023-06-01,32
2023-06-02,31
2023-06-03,30
2023-06-04,27
2023-06-05,24
2023-06-06,23
2023-06-07,33
2023-06-08,31
2023-06-09,30
2023-06-10,29
2023-06-11,31
2023-06-12,30
2023-06-13,29
2023-06-14,35
2023-06-15,34
2023-06-16,100
2023-06-17,69
2023-06-18,58
2023-06-19,49
2023-06-20,32
2023-06-21,24
2023-06-22,29
2023-06-23,24
2023-06-24,24
2023-06-25,24
2023-06-26,21
2023-06-27,24
2023-06-28,22
2023-06-29,26
2023-06-30,25
2023-07-01,26
2023-07-02,28
2023-07-03,24
2023-07-04,48
2023-07-05,54
2023-07-06,47
2023-07-07,60
2023-07-08,44
2023-07-09,35
2023-07-10,34
2023-07-11,32
2023-07-12,33
2023-07-13,31
2023-07-14,45
2023-07-15,34
2023-07-16,33
2023-07-17,29
2023-07-18,31
2023-07-19,31
2023-07-20,36
2023-07-21,26
2023-07-22,30
2023-07-23,29
2023-07-24,27
2023-07-25,32
2023-07-26,33
2023-07-27,32
2023-07-28,36
2023-07-29,33
2023-07-30,33
2023-07-31,27
2023-08-01,25
2023-08-02,26
2023-08-03,36
2023-08-04,32
2023-08-05,34
2023-08-06,38
2023-08-07,32
2023-08-08,31
2023-08-09,32
2023-08-10,30
2023-08-11,30
2023-08-12,33
2023-08-13,35
2023-08-14,37
2023-08-15,32
2023-08-16,36
2023-08-17,41
2023-08-18,30
2023-08-19,30
2023-08-20,32
2023-08-21,31
2023-08-22,28
2023-08-23,26
2023-08-24,30
2023-08-25,31
2023-08-26,33
2023-08-27,29
2023-08-28,25
2023-08-29,22
2023-08-30,23
2023-08-31,26
2023-09-01,24
2023-09-02,21
2023-09-03,23
2023-09-04,26
2023-09-05,21
2023-09-06,19
2023-09-07,33
2023-09-08,31
2023-09-09,25
2023-09-10,25
2023-09-11,26
2023-09-12,19
2023-09-13,21
2023-09-14,26
2023-09-15,25
2023-09-16,29
2023-09-17,29
2023-09-18,22
2023-09-19,20
2023-09-20,21
2023-09-21,24
2023-09-22,20
2023-09-23,24
2023-09-24,27
2023-09-25,30
2023-09-26,35
2023-09-27,23
2023-09-28,29
2023-09-29,23
2023-09-30,27
2023-10-01,30
2023-10-02,26
2023-10-03,23
2023-10-04,24
2023-10-05,21
2023-10-06,35
2023-10-07,33
2023-10-08,31
2023-10-09,29
2023-10-10,23
2023-10-11,25
2023-10-12,21
2023-10-13,20
2023-10-14,23
2023-10-15,27
2023-10-16,22
2023-10-17,19
2023-10-18,20
2023-10-19,25
2023-10-20,27
2023-10-21,29
2023-10-22,27
2023-10-23,20
2023-10-24,22
2023-10-25,22
2023-10-26,21
2023-10-27,18
2023-10-28,18
2023-10-29,25
2023-10-30,18
2023-10-31,16
2023-11-01,20
2023-11-02,23
2023-11-03,26
2023-11-04,33
2023-11-05,38
2023-11-06,32
2023-11-07,32
2023-11-08,27
2023-11-09,77
2023-11-10,61
2023-11-11,48
2023-11-12,43
2023-11-13,39
2023-11-14,33
2023-11-15,40
2023-11-16,37
2023-11-17,82
2023-11-18,53
2023-11-19,52
2023-11-20,47
2023-11-21,51
2023-11-22,59
2023-11-23,46
2023-11-24,56
2023-11-25,49
2023-11-26,40
2023-11-27,42
2023-11-28,35
2023-11-29,31
2023-11-30,34
2023-12-01,34
2023-12-02,51
2023-12-03,48
2023-12-04,52
2023-12-05,63
2023-12-06,60
2023-12-07,52
2023-12-08,40
2023-12-09,62
2023-12-10,73
2023-12-11,47
2023-12-12,37
2023-12-13,44
2023-12-14,50
2023-12-15,47
2023-12-16,46
2023-12-17,41
2023-12-18,41
2023-12-19,46
2023-12-20,34
2023-12-21,39
2023-12-22,49
2023-12-23,42
2023-12-24,47
2023-12-25,61
2023-12-26,74
2023-12-27,51
2023-12-28,33
2023-12-29,53
2023-12-30,43
2023-12-31,37
2024-01-01,31
2024-01-02,24
2024-01-03,28
2024-01-04,24
2024-01-05,25
2024-01-06,27
2024-01-07,38
2024-01-08,24
2024-01-09,26
2024-01-10,28
2024-01-11,25
2024-01-12,24
2024-01-13,28
2024-01-14,31
2024-01-15,31
2024-01-16,33
2024-01-17,26
2024-01-18,25
2024-01-19,24
2024-01-20,27
