Time,crowdstrike
2022-01-01,6.0
2022-01-02,9.0
2022-01-03,28.0
2022-01-04,60.0
2022-01-05,54.0
2022-01-06,47.0
2022-01-07,56.0
2022-01-08,20.0
2022-01-09,13.0
2022-01-10,39.0
2022-01-11,44.0
2022-01-12,56.0
2022-01-13,59.0
2022-01-14,38.0
2022-01-15,16.0
2022-01-16,11.0
2022-01-17,15.0
2022-01-18,43.0
2022-01-19,40.0
2022-01-20,46.0
2022-01-21,46.0
2022-01-22,16.0
2022-01-23,12.0
2022-01-24,61.0
2022-01-25,48.0
2022-01-26,45.0
2022-01-27,45.0
2022-01-28,48.0
2022-01-29,12.0
2022-01-30,12.0
2022-01-31,44.0
2022-02-01,47.0
2022-02-02,46.0
2022-02-03,45.0
2022-02-04,44.0
2022-02-05,15.0
2022-02-06,11.0
2022-02-07,39.0
2022-02-08,54.0
2022-02-09,51.0
2022-02-10,48.0
2022-02-11,46.0
2022-02-12,16.0
2022-02-13,14.0
2022-02-14,42.0
2022-02-15,51.0
2022-02-16,56.0
2022-02-17,53.0
2022-02-18,41.0
2022-02-19,12.0
2022-02-20,17.0
2022-02-21,29.0
2022-02-22,41.0
2022-02-23,49.0
2022-02-24,79.0
2022-02-25,74.0
2022-02-26,27.0
2022-02-27,19.0
2022-02-28,57.0
2022-03-01,64.0
2022-03-02,52.0
2022-03-03,53.0
2022-03-04,51.0
2022-03-05,21.0
2022-03-06,17.0
2022-03-07,53.0
2022-03-08,55.0
2022-03-09,81.0
2022-03-10,100.0
2022-03-11,49.0
2022-03-12,26.0
2022-03-13,16.0
2022-03-14,52.0
2022-03-15,61.0
2022-03-16,56.0
2022-03-17,59.0
2022-03-18,48.0
2022-03-19,17.0
2022-03-20,22.0
2022-03-21,44.0
2022-03-22,65.0
2022-03-23,60.0
2022-03-24,46.0
2022-03-25,47.0
2022-03-26,16.0
2022-03-27,18.0
2022-03-28,49.0
2022-03-29,50.0
2022-03-30,49.0
2022-03-31,55.0
2022-04-01,45.0
2022-04-02,15.0
2022-04-03,18.0
2022-04-04,44.0
2022-04-05,52.0
2022-04-06,48.0
2022-04-07,63.0
2022-04-08,49.0
2022-04-09,18.0
2022-04-10,16.0
2022-04-11,38.0
2022-04-12,59.0
2022-04-13,59.0
2022-04-14,52.0
2022-04-15,47.0
2022-04-16,12.0
2022-04-17,22.0
2022-04-18,60.0
2022-04-19,54.0
2022-04-20,58.0
2022-04-21,48.0
2022-04-22,44.0
2022-04-23,14.0
2022-04-24,16.0
2022-04-25,45.0
2022-04-26,46.0
2022-04-27,52.0
2022-04-28,47.0
2022-04-29,39.0
2022-04-30,18.0
2022-05-01,14.0
2022-05-02,41.0
2022-05-03,50.0
2022-05-04,49.0
2022-05-05,46.0
2022-05-06,52.0
2022-05-07,18.0
2022-05-08,12.0
2022-05-09,50.0
2022-05-10,48.0
2022-05-11,61.0
2022-05-12,45.0
2022-05-13,34.0
2022-05-14,13.0
2022-05-15,14.0
2022-05-16,36.0
2022-05-17,52.0
2022-05-18,44.0
2022-05-19,55.0
2022-05-20,50.0
2022-05-21,11.0
2022-05-22,15.0
2022-05-23,46.0
2022-05-24,49.0
2022-05-25,47.0
2022-05-26,47.0
2022-05-27,34.0
2022-05-28,13.0
2022-05-29,10.0
2022-05-30,11.0
2022-05-31,56.0
2022-06-01,49.0
2022-06-02,79.0
2022-06-03,57.0
2022-06-04,11.0
2022-06-05,13.0
2022-06-06,61.0
2022-06-07,52.0
2022-06-08,56.0
2022-06-09,59.0
2022-06-10,49.0
2022-06-11,15.0
2022-06-12,11.0
2022-06-13,46.0
2022-06-14,39.0
2022-06-15,51.0
2022-06-16,49.0
2022-06-17,41.0
2022-06-18,11.0
2022-06-19,17.0
2022-06-20,26.0
2022-06-21,48.0
2022-06-22,50.0
2022-06-23,46.0
2022-06-24,43.0
2022-06-25,11.0
2022-06-26,13.0
2022-06-27,46.0
2022-06-28,54.0
2022-06-29,49.0
2022-06-30,43.0
2022-07-01,37.0
2022-07-02,10.0
2022-07-03,14.0
2022-07-04,9.0
2022-07-05,41.0
2022-07-06,48.0
2022-07-07,50.0
2022-07-08,41.0
2022-07-09,15.0
2022-07-10,9.0
2022-07-11,50.0
2022-07-12,46.0
2022-07-13,48.0
2022-07-14,44.0
2022-07-15,48.0
2022-07-16,16.0
2022-07-17,12.0
2022-07-18,44.0
2022-07-19,45.0
2022-07-20,52.0
2022-07-21,47.0
2022-07-22,45.0
2022-07-23,13.0
2022-07-24,14.0
2022-07-25,48.0
2022-07-26,57.0
2022-07-27,51.0
2022-07-28,53.0
2022-07-29,44.0
2022-07-30,13.0
2022-07-31,11.0
2022-08-01,49.0
2022-08-02,55.0
2022-08-03,53.0
2022-08-04,53.0
2022-08-05,40.0
2022-08-06,12.0
2022-08-07,7.0
2022-08-08,43.0
2022-08-09,42.0
2022-08-10,53.0
2022-08-11,53.0
2022-08-12,41.0
2022-08-13,15.0
2022-08-14,10.0
2022-08-15,53.0
2022-08-16,51.0
2022-08-17,52.0
2022-08-18,49.0
2022-08-19,41.0
2022-08-20,6.0
2022-08-21,13.0
2022-08-22,44.0
2022-08-23,54.0
2022-08-24,50.0
2022-08-25,47.0
2022-08-26,37.0
2022-08-27,15.0
2022-08-28,13.0
2022-08-29,60.45945945945946
2022-08-30,84.37837837837839
2022-08-31,75.74324324324324
2022-09-01,52.986486486486484
2022-09-02,38.7027027027027
2022-09-03,15.945945945945946
2022-09-04,7.972972972972973
2022-09-05,15.945945945945946
2022-09-06,47.83783783783784
2022-09-07,54.148648648648646
2022-09-08,54.148648648648646
2022-09-09,45.013513513513516
2022-09-10,13.121621621621621
2022-09-11,14.283783783783784
2022-09-12,50.16216216216216
2022-09-13,49.0
2022-09-14,56.97297297297297
2022-09-15,46.17567567567568
2022-09-16,49.0
2022-09-17,14.783783783783784
2022-09-18,13.121621621621621
2022-09-19,55.31081081081081
2022-09-20,64.44594594594594
2022-09-21,56.97297297297297
2022-09-22,58.63513513513514
2022-09-23,50.16216216216216
2022-09-24,13.121621621621621
2022-09-25,9.635135135135135
2022-09-26,39.86486486486487
2022-09-27,47.83783783783784
2022-09-28,41.054054054054056
2022-09-29,49.0
2022-09-30,47.67567567567568
2022-10-01,13.243243243243244
2022-10-02,14.567567567567568
2022-10-03,43.7027027027027
2022-10-04,42.37837837837838
2022-10-05,49.0
2022-10-06,51.64864864864865
2022-10-07,49.0
2022-10-08,14.567567567567568
2022-10-09,14.567567567567568
2022-10-10,47.67567567567568
2022-10-11,47.67567567567568
2022-10-12,47.67567567567568
2022-10-13,52.972972972972975
2022-10-14,42.37837837837838
2022-10-15,13.243243243243244
2022-10-16,13.243243243243244
2022-10-17,41.054054054054056
2022-10-18,45.027027027027025
2022-10-19,54.2972972972973
2022-10-20,45.027027027027025
2022-10-21,37.08108108108108
2022-10-22,14.567567567567568
2022-10-23,14.567567567567568
2022-10-24,47.67567567567568
2022-10-25,49.0
2022-10-26,45.027027027027025
2022-10-27,45.027027027027025
2022-10-28,43.7027027027027
2022-10-29,13.243243243243244
2022-10-30,11.91891891891892
2022-10-31,33.108108108108105
2022-11-01,43.7027027027027
2022-11-02,52.972972972972975
2022-11-03,50.32432432432432
2022-11-04,50.32432432432432
2022-11-05,14.567567567567568
2022-11-06,11.91891891891892
2022-11-07,49.0
2022-11-08,55.62162162162162
2022-11-09,46.351351351351354
2022-11-10,55.62162162162162
2022-11-11,31.783783783783782
2022-11-12,10.594594594594595
2022-11-13,15.891891891891891
2022-11-14,38.4054054054054
2022-11-15,50.32432432432432
2022-11-16,43.7027027027027
2022-11-17,46.351351351351354
2022-11-18,45.027027027027025
2022-11-19,13.243243243243244
2022-11-20,7.945945945945946
2022-11-21,37.08108108108108
2022-11-22,41.054054054054056
2022-11-23,35.75675675675676
2022-11-24,9.27027027027027
2022-11-25,9.27027027027027
2022-11-26,6.621621621621622
2022-11-27,13.243243243243244
2022-11-28,33.108108108108105
2022-11-29,84.75675675675676
2022-11-30,132.43243243243242
2022-12-01,82.10810810810811
2022-12-02,49.0
2022-12-03,13.243243243243244
2022-12-04,19.864864864864867
2022-12-05,43.7027027027027
2022-12-06,62.24324324324324
2022-12-07,49.0
2022-12-08,49.0
2022-12-09,42.37837837837838
2022-12-10,14.567567567567568
2022-12-11,10.594594594594595
2022-12-12,45.027027027027025
2022-12-13,43.7027027027027
2022-12-14,47.67567567567568
2022-12-15,47.67567567567568
2022-12-16,43.7027027027027
2022-12-17,15.891891891891891
2022-12-18,10.594594594594595
2022-12-19,42.37837837837838
2022-12-20,41.054054054054056
2022-12-21,47.67567567567568
2022-12-22,29.135135135135137
2022-12-23,22.513513513513512
2022-12-24,9.27027027027027
2022-12-25,0.0
2022-12-26,7.945945945945946
2022-12-27,27.81081081081081
2022-12-28,27.81081081081081
2022-12-29,22.513513513513512
2022-12-30,21.18918918918919
2022-12-31,7.945945945945946
2023-01-01,6.621621621621622
2023-01-02,9.27027027027027
2023-01-03,33.108108108108105
2023-01-04,49.0
2023-01-05,58.270270270270274
2023-01-06,46.351351351351354
2023-01-07,10.594594594594595
2023-01-08,7.945945945945946
2023-01-09,42.37837837837838
2023-01-10,47.67567567567568
2023-01-11,51.64864864864865
2023-01-12,51.64864864864865
2023-01-13,45.027027027027025
2023-01-14,11.91891891891892
2023-01-15,11.91891891891892
2023-01-16,21.18918918918919
2023-01-17,51.64864864864865
2023-01-18,51.64864864864865
2023-01-19,49.0
2023-01-20,39.72972972972973
2023-01-21,10.594594594594595
2023-01-22,13.243243243243244
2023-01-23,46.351351351351354
2023-01-24,47.67567567567568
2023-01-25,58.270270270270274
2023-01-26,51.64864864864865
2023-01-27,49.0
2023-01-28,14.567567567567568
2023-01-29,13.243243243243244
2023-01-30,33.108108108108105
2023-01-31,50.32432432432432
2023-02-01,51.64864864864865
2023-02-02,51.64864864864865
2023-02-03,63.567567567567565
2023-02-04,17.216216216216218
2023-02-05,14.567567567567568
2023-02-06,42.37837837837838
2023-02-07,52.972972972972975
2023-02-08,52.972972972972975
2023-02-09,49.0
2023-02-10,52.972972972972975
2023-02-11,13.243243243243244
2023-02-12,11.91891891891892
2023-02-13,105.94594594594595
2023-02-14,59.5945945945946
2023-02-15,63.567567567567565
2023-02-16,68.86486486486487
2023-02-17,52.972972972972975
2023-02-18,15.891891891891891
2023-02-19,13.243243243243244
2023-02-20,31.783783783783782
2023-02-21,49.0
2023-02-22,59.5945945945946
2023-02-23,49.0
2023-02-24,43.7027027027027
2023-02-25,18.54054054054054
2023-02-26,15.891891891891891
2023-02-27,50.32432432432432
2023-02-28,64.89189189189189
2023-03-01,59.5945945945946
2023-03-02,63.567567567567565
2023-03-03,49.0
2023-03-04,13.243243243243244
2023-03-05,11.91891891891892
2023-03-06,62.24324324324324
2023-03-07,87.4054054054054
2023-03-08,91.37837837837839
2023-03-09,72.83783783783784
2023-03-10,54.2972972972973
2023-03-11,22.513513513513512
2023-03-12,22.513513513513512
2023-03-13,54.2972972972973
2023-03-14,58.270270270270274
2023-03-15,56.945945945945944
2023-03-16,51.64864864864865
2023-03-17,45.027027027027025
2023-03-18,15.891891891891891
2023-03-19,17.216216216216218
2023-03-20,51.64864864864865
2023-03-21,56.945945945945944
2023-03-22,54.2972972972973
2023-03-23,55.62162162162162
2023-03-24,43.7027027027027
2023-03-25,14.567567567567568
2023-03-26,10.594594594594595
2023-03-27,45.027027027027025
2023-03-28,58.270270270270274
2023-03-29,54.2972972972973
2023-03-30,54.2972972972973
2023-03-31,50.32432432432432
2023-04-01,15.891891891891891
2023-04-02,17.216216216216218
2023-04-03,50.32432432432432
2023-04-04,56.945945945945944
2023-04-05,58.270270270270274
2023-04-06,58.270270270270274
2023-04-07,37.08108108108108
2023-04-08,7.945945945945946
2023-04-09,13.243243243243244
2023-04-10,55.62162162162162
2023-04-11,58.270270270270274
2023-04-12,62.24324324324324
2023-04-13,55.62162162162162
2023-04-14,52.972972972972975
2023-04-15,15.891891891891891
2023-04-16,11.91891891891892
2023-04-17,47.67567567567568
2023-04-18,62.24324324324324
2023-04-19,52.972972972972975
2023-04-20,50.32432432432432
2023-04-21,45.027027027027025
2023-04-22,13.243243243243244
2023-04-23,15.891891891891891
2023-04-24,50.32432432432432
2023-04-25,60.91891891891892
2023-04-26,55.26689189189189
2023-04-27,49.413851351351354
2023-04-28,45.39358108108108
2023-04-29,12.06081081081081
