Time,sixers
2022-08-29,1
2022-08-30,2
2022-08-31,1
2022-09-01,2
2022-09-02,2
2022-09-03,2
2022-09-04,2
2022-09-05,2
2022-09-06,2
2022-09-07,3
2022-09-08,2
2022-09-09,2
2022-09-10,2
2022-09-11,1
2022-09-12,2
2022-09-13,2
2022-09-14,2
2022-09-15,2
2022-09-16,2
2022-09-17,2
2022-09-18,1
2022-09-19,1
2022-09-20,2
2022-09-21,1
2022-09-22,2
2022-09-23,2
2022-09-24,2
2022-09-25,2
2022-09-26,2
2022-09-27,2
2022-09-28,2
2022-09-29,2
2022-09-30,2
2022-10-01,2
2022-10-02,2
2022-10-03,5
2022-10-04,8
2022-10-05,5
2022-10-06,6
2022-10-07,3
2022-10-08,3
2022-10-09,3
2022-10-10,4
2022-10-11,4
2022-10-12,4
2022-10-13,5
2022-10-14,3
2022-10-15,3
2022-10-16,3
2022-10-17,5
2022-10-18,13
2022-10-19,26
2022-10-20,10
2022-10-21,17
2022-10-22,11
2022-10-23,14
2022-10-24,8
2022-10-25,12
2022-10-26,7
2022-10-27,10
2022-10-28,5
2022-10-29,12
2022-10-30,11
2022-10-31,6
2022-11-01,9
2022-11-02,8
2022-11-03,8
2022-11-04,7
2022-11-05,9
2022-11-06,4
2022-11-07,4
2022-11-08,8
2022-11-09,4
2022-11-10,6
2022-11-11,9
2022-11-12,5
2022-11-13,10
2022-11-14,11
2022-11-15,5
2022-11-16,4
2022-11-17,4
2022-11-18,5
2022-11-19,18
2022-11-20,11
2022-11-21,4
2022-11-22,7
2022-11-23,21
2022-11-24,7
2022-11-25,5
2022-11-26,8
2022-11-27,5
2022-11-28,7
2022-11-29,8
2022-11-30,4
2022-12-01,7
2022-12-02,4
2022-12-03,7
2022-12-04,4
2022-12-05,4
2022-12-06,8
2022-12-07,4
2022-12-08,4
2022-12-09,5
2022-12-10,14
2022-12-11,6
2022-12-12,7
2022-12-13,5
2022-12-14,9
2022-12-15,4
2022-12-16,5
2022-12-17,11
2022-12-18,4
2022-12-19,5
2022-12-20,9
2022-12-21,5
2022-12-22,8
2022-12-23,5
2022-12-24,14
2022-12-25,17
2022-12-26,7
2022-12-27,6
2022-12-28,10
2022-12-29,4
2022-12-30,5
2022-12-31,11
2023-01-01,7
2023-01-02,5
2023-01-03,7
2023-01-04,6
2023-01-05,10
2023-01-06,6
2023-01-07,9
2023-01-08,7
2023-01-09,5
2023-01-10,5
2023-01-11,8
2023-01-12,5
2023-01-13,8
2023-01-14,4
2023-01-15,9
2023-01-16,9
2023-01-17,5
2023-01-18,10
2023-01-19,5
2023-01-20,9
2023-01-21,5
2023-01-22,10
2023-01-23,4
2023-01-24,4
2023-01-25,6
2023-01-26,16
2023-01-27,5
2023-01-28,16
2023-01-29,8
2023-01-30,6
2023-01-31,10
2023-02-01,6
2023-02-02,9
2023-02-03,5
2023-02-04,10
2023-02-05,10
2023-02-06,10
2023-02-07,5
2023-02-08,6
2023-02-09,18
2023-02-10,9
2023-02-11,14
2023-02-12,10
2023-02-13,6
2023-02-14,10
2023-02-15,7
2023-02-16,11
2023-02-17,4
2023-02-18,5
2023-02-19,6
2023-02-20,4
2023-02-21,4
2023-02-22,4
2023-02-23,6
2023-02-24,16
2023-02-25,9
2023-02-26,21
2023-02-27,7
2023-02-28,10
2023-03-01,5
2023-03-02,11
2023-03-03,10
2023-03-04,6
2023-03-05,16
2023-03-06,6
2023-03-07,13
2023-03-08,11
2023-03-09,5
2023-03-10,7
2023-03-11,15
2023-03-12,10
2023-03-13,8
2023-03-14,5
2023-03-15,6
2023-03-16,12
2023-03-17,6
2023-03-18,12
2023-03-19,12
2023-03-20,9
2023-03-21,11
2023-03-22,6
2023-03-23,11
2023-03-24,5
2023-03-25,13
2023-03-26,11
2023-03-27,6
2023-03-28,11
2023-03-29,7
2023-03-30,11
2023-03-31,6
2023-04-01,10
2023-04-02,7
2023-04-03,10
2023-04-04,6
2023-04-05,16
2023-04-06,8
2023-04-07,12
2023-04-08,11
2023-04-09,12
2023-04-10,7
2023-04-11,5
2023-04-12,5
2023-04-13,4
2023-04-14,5
2023-04-15,31
2023-04-16,11
2023-04-17,14
2023-04-18,22
2023-04-19,9
2023-04-20,12
2023-04-21,27
2023-04-22,31
2023-04-23,11
2023-04-24,7
2023-04-25,9
2023-04-26,11
2023-04-27,11
2023-04-28,10
2023-04-29,7
2023-04-30,9
2023-05-01,17
2023-05-02,44
2023-05-03,20
2023-05-04,39
2023-05-05,19
2023-05-06,49
2023-05-07,64
2023-05-08,19
2023-05-09,21
2023-05-10,53
2023-05-11,29
2023-05-12,78
2023-05-13,27
2023-05-14,100
2023-05-15,22
2023-05-16,12
2023-05-17,7
2023-05-18,5
2023-05-19,4
2023-05-20,4
2023-05-21,3
2023-05-22,4
2023-05-23,3
2023-05-24,3
2023-05-25,3
