Time,espn
2023-04-26,35
2023-04-27,41
2023-04-28,52
2023-04-29,60
2023-04-30,47
2023-05-01,28
2023-05-02,32
2023-05-03,34
2023-05-04,29
2023-05-05,29
2023-05-06,43
2023-05-07,48
2023-05-08,27
2023-05-09,33
2023-05-10,31
2023-05-11,34
2023-05-12,35
2023-05-13,45
2023-05-14,39
2023-05-15,24
2023-05-16,27
2023-05-17,35
2023-05-18,33
2023-05-19,38
2023-05-20,41
2023-05-21,48
2023-05-22,28
2023-05-23,34
2023-05-24,30
2023-05-25,26
2023-05-26,30
2023-05-27,32
2023-05-28,39
2023-05-29,27
2023-05-30,32
2023-05-31,24
2023-06-01,24
2023-06-02,30
2023-06-03,36
2023-06-04,38
2023-06-05,33
2023-06-06,24
2023-06-07,25
2023-06-08,30
2023-06-09,25
2023-06-10,36
2023-06-11,34
2023-06-12,23
2023-06-13,29
2023-06-14,24
2023-06-15,23
2023-06-16,26
2023-06-17,29
2023-06-18,31
2023-06-19,24
2023-06-20,23
2023-06-21,27
2023-06-22,29
2023-06-23,31
2023-06-24,28
2023-06-25,33
2023-06-26,20
2023-06-27,23
2023-06-28,22
2023-06-29,24
2023-06-30,36
2023-07-01,48
2023-07-02,39
2023-07-03,31
2023-07-04,37
2023-07-05,28
2023-07-06,30
2023-07-07,28
2023-07-08,33
2023-07-09,34
2023-07-10,22
2023-07-11,22
2023-07-12,21
2023-07-13,20
2023-07-14,20
2023-07-15,25
2023-07-16,32
2023-07-17,21
2023-07-18,21
2023-07-19,23
2023-07-20,23
2023-07-21,23
2023-07-22,28
2023-07-23,28
2023-07-24,22
2023-07-25,25
2023-07-26,26
2023-07-27,26
2023-07-28,23
2023-07-29,30
2023-07-30,35
2023-07-31,23
2023-08-01,27
2023-08-02,26
2023-08-03,28
2023-08-04,28
2023-08-05,32
2023-08-06,38
2023-08-07,24
2023-08-08,26
2023-08-09,26
2023-08-10,28
2023-08-11,27
2023-08-12,37
2023-08-13,38
2023-08-14,26
2023-08-15,27
2023-08-16,29
2023-08-17,28
2023-08-18,29
2023-08-19,36
2023-08-20,44
2023-08-21,27
2023-08-22,29
2023-08-23,31
2023-08-24,32
2023-08-25,30
2023-08-26,47
2023-08-27,51
2023-08-28,35
2023-08-29,34
2023-08-30,37
2023-08-31,37
2023-09-01,61
2023-09-02,90
2023-09-03,74
2023-09-04,56
2023-09-05,54
2023-09-06,49
2023-09-07,48
2023-09-08,50
2023-09-09,88
2023-09-10,100
2023-09-11,48
2023-09-12,53
2023-09-13,33
2023-09-14,34
2023-09-15,38
2023-09-16,66
2023-09-17,96
2023-09-18,41
2023-09-19,43
2023-09-20,32
2023-09-21,31
2023-09-22,37
2023-09-23,68
2023-09-24,82
2023-09-25,41
2023-09-26,40
2023-09-27,33
2023-09-28,33
2023-09-29,38
2023-09-30,63
2023-10-01,89
2023-10-02,37
2023-10-03,38
2023-10-04,33
2023-10-05,32
2023-10-06,34
2023-10-07,61
2023-10-08,80
2023-10-09,42
2023-10-10,40
2023-10-11,31
2023-10-12,35
2023-10-13,37
2023-10-14,63
2023-10-15,73
2023-10-16,39
2023-10-17,38
2023-10-18,31
2023-10-19,33
2023-10-20,37
2023-10-21,56
2023-10-22,74
2023-10-23,43
2023-10-24,44
2023-10-25,37
2023-10-26,34
2023-10-27,35
2023-10-28,63
2023-10-29,72
2023-10-30,35
2023-10-31,42
2023-11-01,36
2023-11-02,35
2023-11-03,35
2023-11-04,57
2023-11-05,78
2023-11-06,39
2023-11-07,38
2023-11-08,30
2023-11-09,31
2023-11-10,35
2023-11-11,58
2023-11-12,78
2023-11-13,40
2023-11-14,40
2023-11-15,39
2023-11-16,35
2023-11-17,41
2023-11-18,61
2023-11-19,76
2023-11-20,41
2023-11-21,47
2023-11-22,35
2023-11-23,51
2023-11-24,53
2023-11-25,62
2023-11-26,69
2023-11-27,39
2023-11-28,35
2023-11-29,32
2023-11-30,30
2023-12-01,38
2023-12-02,59
2023-12-03,86
2023-12-04,43
2023-12-05,36
2023-12-06,30
2023-12-07,31
2023-12-08,31
2023-12-09,39
2023-12-10,60
2023-12-11,41
2023-12-12,38
2023-12-13,29
2023-12-14,28
2023-12-15,35
2023-12-16,47
2023-12-17,66
2023-12-18,35
2023-12-19,37
2023-12-20,32
2023-12-21,32
2023-12-22,36
2023-12-23,44
2023-12-24,58
2023-12-25,55
2023-12-26,46
2023-12-27,32
2023-12-28,36
2023-12-29,44
2023-12-30,53
2023-12-31,71
2024-01-01,67
2024-01-02,59
2024-01-03,33
2024-01-04,28
2024-01-05,28
2024-01-06,41
2024-01-07,63
2024-01-08,45
2024-01-09,51
2024-01-10,33
2024-01-11,35
2024-01-12,34
2024-01-13,47
2024-01-14,62
2024-01-15,52
2024-01-16,43
2024-01-17,29
2024-01-18,29
2024-01-19,27
2024-01-20,49
