Time,delta_airlines
2022-01-01,57.0
2022-01-02,81.0
2022-01-03,92.0
2022-01-04,96.0
2022-01-05,95.0
2022-01-06,64.0
2022-01-07,73.0
2022-01-08,65.0
2022-01-09,67.0
2022-01-10,67.0
2022-01-11,74.0
2022-01-12,70.0
2022-01-13,63.0
2022-01-14,58.0
2022-01-15,62.0
2022-01-16,61.0
2022-01-17,65.0
2022-01-18,68.0
2022-01-19,66.0
2022-01-20,67.0
2022-01-21,62.0
2022-01-22,63.0
2022-01-23,65.0
2022-01-24,88.0
2022-01-25,60.0
2022-01-26,60.0
2022-01-27,65.0
2022-01-28,68.0
2022-01-29,71.0
2022-01-30,68.0
2022-01-31,70.0
2022-02-01,70.0
2022-02-02,75.0
2022-02-03,80.0
2022-02-04,86.0
2022-02-05,72.0
2022-02-06,76.0
2022-02-07,76.0
2022-02-08,75.0
2022-02-09,79.0
2022-02-10,66.0
2022-02-11,71.0
2022-02-12,67.0
2022-02-13,66.0
2022-02-14,65.0
2022-02-15,76.0
2022-02-16,78.0
2022-02-17,81.0
2022-02-18,79.0
2022-02-19,76.0
2022-02-20,73.0
2022-02-21,80.0
2022-02-22,88.0
2022-02-23,87.0
2022-02-24,80.0
2022-02-25,74.0
2022-02-26,69.0
2022-02-27,75.0
2022-02-28,79.0
2022-03-01,79.0
2022-03-02,84.0
2022-03-03,79.0
2022-03-04,79.0
2022-03-05,72.0
2022-03-06,80.0
2022-03-07,85.0
2022-03-08,89.0
2022-03-09,93.0
2022-03-10,89.0
2022-03-11,81.0
2022-03-12,87.0
2022-03-13,90.0
2022-03-14,85.0
2022-03-15,84.0
2022-03-16,81.0
2022-03-17,76.0
2022-03-18,79.0
2022-03-19,77.0
2022-03-20,78.0
2022-03-21,82.0
2022-03-22,91.0
2022-03-23,82.0
2022-03-24,80.0
2022-03-25,69.0
2022-03-26,62.0
2022-03-27,71.0
2022-03-28,68.0
2022-03-29,72.0
2022-03-30,81.0
2022-03-31,69.0
2022-04-01,72.0
2022-04-02,84.0
2022-04-03,83.0
2022-04-04,82.0
2022-04-05,90.0
2022-04-06,83.0
2022-04-07,77.0
2022-04-08,73.0
2022-04-09,75.0
2022-04-10,85.0
2022-04-11,83.0
2022-04-12,78.0
2022-04-13,79.0
