Time,daily mail
2022-01-01,57
2022-01-02,52
2022-01-03,57
2022-01-04,70
2022-01-05,70
2022-01-06,56
2022-01-07,66
2022-01-08,57
2022-01-09,56
2022-01-10,63
2022-01-11,64
2022-01-12,59
2022-01-13,77
2022-01-14,54
2022-01-15,57
2022-01-16,59
2022-01-17,56
2022-01-18,57
2022-01-19,58
2022-01-20,58
2022-01-21,59
2022-01-22,58
2022-01-23,52
2022-01-24,68
2022-01-25,54
2022-01-26,56
2022-01-27,60
2022-01-28,66
2022-01-29,60
2022-01-30,59
2022-01-31,64
2022-02-01,65
2022-02-02,68
2022-02-03,62
2022-02-04,64
2022-02-05,57
2022-02-06,56
2022-02-07,62
2022-02-08,60
2022-02-09,64
2022-02-10,54
2022-02-11,61
2022-02-12,60
2022-02-13,57
2022-02-14,66
2022-02-15,64
2022-02-16,61
2022-02-17,59
2022-02-18,59
2022-02-19,56
2022-02-20,57
2022-02-21,59
2022-02-22,61
2022-02-23,60
2022-02-24,70
2022-02-25,69
2022-02-26,71
2022-02-27,70
2022-02-28,70
2022-03-01,69
2022-03-02,68
2022-03-03,73
2022-03-04,68
2022-03-05,62
2022-03-06,60
2022-03-07,64
2022-03-08,66
2022-03-09,64
2022-03-10,61
2022-03-11,60
2022-03-12,61
2022-03-13,59
2022-03-14,63
2022-03-15,67
2022-03-16,65
2022-03-17,62
2022-03-18,55
2022-03-19,58
2022-03-20,58
2022-03-21,61
2022-03-22,61
2022-03-23,65
2022-03-24,68
2022-03-25,64
2022-03-26,66
2022-03-27,59
2022-03-28,66
2022-03-29,63
2022-03-30,64
2022-03-31,57
2022-04-01,60
2022-04-02,57
2022-04-03,57
2022-04-04,56
2022-04-05,55
2022-04-06,58
2022-04-07,56
2022-04-08,57
2022-04-09,57
2022-04-10,55
2022-04-11,60
2022-04-12,66
2022-04-13,64
2022-04-14,59
2022-04-15,61
2022-04-16,56
2022-04-17,59
2022-04-18,56
2022-04-19,65
2022-04-20,57
2022-04-21,59
2022-04-22,57
2022-04-23,59
2022-04-24,58
2022-04-25,61
2022-04-26,56
2022-04-27,61
2022-04-28,59
2022-04-29,58
2022-04-30,61
2022-05-01,57
2022-05-02,59
2022-05-03,59
2022-05-04,60
2022-05-05,63
2022-05-06,63
2022-05-07,56
2022-05-08,66
2022-05-09,62
2022-05-10,72
2022-05-11,60
2022-05-12,65
2022-05-13,62
2022-05-14,62
2022-05-15,63
2022-05-16,60
2022-05-17,63
2022-05-18,65
2022-05-19,62
2022-05-20,71
2022-05-21,64
2022-05-22,63
2022-05-23,66
2022-05-24,68
2022-05-25,72
2022-05-26,71
2022-05-27,68
2022-05-28,64
2022-05-29,70
2022-05-30,63
2022-05-31,65
2022-06-01,70
2022-06-02,74
2022-06-03,74
2022-06-04,72
2022-06-05,77
2022-06-06,71
2022-06-07,64
2022-06-08,73
2022-06-09,62
2022-06-10,68
2022-06-11,63
2022-06-12,60
2022-06-13,66
2022-06-14,64
2022-06-15,62
2022-06-16,69
2022-06-17,65
2022-06-18,74
2022-06-19,61
2022-06-20,67
2022-06-21,69
2022-06-22,65
2022-06-23,64
2022-06-24,69
2022-06-25,65
2022-06-26,60
2022-06-27,65
2022-06-28,76
2022-06-29,65
2022-06-30,68
2022-07-01,64
2022-07-02,59
2022-07-03,62
2022-07-04,69
2022-07-05,68
2022-07-06,67
2022-07-07,68
2022-07-08,75
2022-07-09,67
2022-07-10,62
2022-07-11,69
2022-07-12,67
2022-07-13,67
2022-07-14,67
2022-07-15,65
2022-07-16,66
2022-07-17,63
2022-07-18,64
2022-07-19,64
2022-07-20,68
2022-07-21,71
2022-07-22,66
2022-07-23,62
2022-07-24,62
2022-07-25,62
2022-07-26,67
2022-07-27,64
2022-07-28,65
2022-07-29,66
2022-07-30,60
2022-07-31,60
2022-08-01,65
2022-08-02,65
2022-08-03,67
2022-08-04,64
2022-08-05,67
2022-08-06,64
2022-08-07,68
2022-08-08,64
2022-08-09,71
2022-08-10,63
2022-08-11,70
2022-08-12,73
2022-08-13,70
2022-08-14,63
2022-08-15,70
2022-08-16,67
2022-08-17,67
2022-08-18,64
2022-08-19,67
2022-08-20,61
2022-08-21,61
2022-08-22,68
2022-08-23,65
2022-08-24,66
2022-08-25,64
2022-08-26,66
2022-08-27,61
2022-08-28,63
2022-08-29,62
2022-08-30,65
2022-08-31,63
2022-09-01,63
2022-09-02,60
2022-09-03,62
2022-09-04,66
2022-09-05,69
2022-09-06,69
2022-09-07,66
2022-09-08,100
2022-09-09,80
2022-09-10,73
2022-09-11,66
2022-09-12,75
2022-09-13,73
2022-09-14,78
2022-09-15,75
2022-09-16,70
2022-09-17,75
2022-09-18,67
2022-09-19,80
2022-09-20,77
2022-09-21,73
2022-09-22,72
2022-09-23,65
2022-09-24,64
2022-09-25,66
2022-09-26,64
2022-09-27,68
