Time,arnold schwarzenegger
2023-12-22,16
2023-12-23,23
2023-12-24,24
2023-12-25,29
2023-12-26,20
2023-12-27,19
2023-12-28,15
2023-12-29,20
2023-12-30,20
2023-12-31,18
2024-01-01,21
2024-01-02,14
2024-01-03,15
2024-01-04,14
2024-01-05,15
2024-01-06,16
2024-01-07,15
2024-01-08,17
2024-01-09,13
2024-01-10,13
2024-01-11,13
2024-01-12,11
2024-01-13,14
2024-01-14,15
2024-01-15,12
2024-01-16,13
2024-01-17,22
2024-01-18,33
2024-01-19,20
2024-01-20,20
2024-01-21,18
2024-01-22,14
2024-01-23,13
2024-01-24,15
2024-01-25,19
2024-01-26,16
2024-01-27,22
2024-01-28,26
2024-01-29,21
2024-01-30,15
2024-01-31,15
2024-02-01,21
2024-02-02,25
2024-02-03,33
2024-02-04,24
2024-02-05,16
2024-02-06,26
2024-02-07,22
2024-02-08,18
2024-02-09,17
2024-02-10,23
2024-02-11,22
2024-02-12,100
2024-02-13,24
2024-02-14,20
2024-02-15,19
2024-02-16,18
2024-02-17,20
2024-02-18,23
2024-02-19,20
2024-02-20,15
2024-02-21,16
2024-02-22,15
2024-02-23,17
2024-02-24,19
2024-02-25,24
2024-02-26,17
2024-02-27,20
2024-02-28,18
2024-02-29,17
2024-03-01,19
2024-03-02,23
2024-03-03,23
2024-03-04,19
2024-03-05,17
2024-03-06,20
2024-03-07,17
2024-03-08,21
2024-03-09,21
2024-03-10,21
2024-03-11,62
2024-03-12,22
2024-03-13,20
2024-03-14,17
2024-03-15,16
2024-03-16,20
2024-03-17,20
2024-03-18,17
2024-03-19,16
2024-03-20,14
2024-03-21,13
2024-03-22,13
2024-03-23,17
2024-03-24,19
2024-03-25,29
2024-03-26,30
2024-03-27,20
2024-03-28,22
2024-03-29,24
2024-03-30,23
2024-03-31,28
2024-04-01,15
2024-04-02,13
2024-04-03,20
2024-04-04,22
2024-04-05,18
2024-04-06,18
2024-04-07,21
2024-04-08,15
2024-04-09,15
2024-04-10,15
2024-04-11,14
2024-04-12,14
2024-04-13,15
2024-04-14,18
2024-04-15,14
2024-04-16,16
2024-04-17,15
2024-04-18,14
2024-04-19,14
2024-04-20,14
2024-04-21,15
2024-04-22,17
2024-04-23,18
2024-04-24,26
2024-04-25,20
2024-04-26,15
2024-04-27,17
2024-04-28,18
2024-04-29,15
2024-04-30,16
2024-05-01,13
2024-05-02,12
2024-05-03,13
2024-05-04,21
2024-05-05,21
2024-05-06,13
2024-05-07,11
2024-05-08,12
2024-05-09,14
2024-05-10,13
2024-05-11,14
2024-05-12,17
2024-05-13,16
2024-05-14,14
2024-05-15,12
2024-05-16,13
2024-05-17,13
2024-05-18,15
2024-05-19,19
2024-05-20,15
2024-05-21,12
2024-05-22,13
2024-05-23,13
2024-05-24,13
2024-05-25,17
2024-05-26,15
2024-05-27,16
2024-05-28,12
2024-05-29,12
2024-05-30,13
2024-05-31,13
2024-06-01,11
2024-06-02,14
2024-06-03,12
2024-06-04,11
2024-06-05,12
2024-06-06,13
2024-06-07,14
2024-06-08,15
2024-06-09,17
2024-06-10,12
2024-06-11,14
2024-06-12,14
2024-06-13,13
2024-06-14,14
2024-06-15,14
2024-06-16,16
2024-06-17,16
2024-06-18,13
2024-06-19,13
2024-06-20,14
2024-06-21,15
2024-06-22,15
2024-06-23,16
2024-06-24,14
2024-06-25,13
2024-06-26,11
2024-06-27,16
2024-06-28,16
2024-06-29,18
2024-06-30,17
2024-07-01,14
2024-07-02,13
2024-07-03,13
2024-07-04,16
2024-07-05,15
2024-07-06,15
2024-07-07,16
2024-07-08,13
2024-07-09,12
2024-07-10,12
2024-07-11,13
2024-07-12,14
2024-07-13,20
2024-07-14,24
2024-07-15,21
2024-07-16,15
2024-07-17,14
2024-07-18,14
2024-07-19,15
2024-07-20,16
2024-07-21,19
2024-07-22,14
2024-07-23,12
2024-07-24,13
2024-07-25,13
2024-07-26,12
2024-07-27,17
2024-07-28,14
2024-07-29,12
2024-07-30,18
2024-07-31,16
2024-08-01,14
2024-08-02,13
2024-08-03,14
2024-08-04,15
2024-08-05,12
2024-08-06,11
2024-08-07,12
2024-08-08,11
2024-08-09,11
2024-08-10,13
2024-08-11,14
2024-08-12,16
2024-08-13,19
2024-08-14,13
2024-08-15,12
2024-08-16,12
2024-08-17,13
2024-08-18,16
2024-08-19,13
2024-08-20,13
2024-08-21,13
2024-08-22,13
2024-08-23,13
2024-08-24,14
2024-08-25,17
2024-08-26,14
2024-08-27,11
2024-08-28,12
2024-08-29,12
2024-08-30,13
2024-08-31,14
2024-09-01,16
2024-09-02,16
2024-09-03,12
2024-09-04,13
2024-09-05,11
2024-09-06,11
2024-09-07,12
2024-09-08,15
2024-09-09,13
2024-09-10,12
2024-09-11,11
2024-09-12,12
2024-09-13,13
2024-09-14,15
2024-09-15,13
2024-09-16,11
