Time,albert pujols
2023-04-26,18
2023-04-27,20
2023-04-28,19
2023-04-29,34
2023-04-30,36
2023-05-01,25
2023-05-02,20
2023-05-03,60
2023-05-04,37
2023-05-05,24
2023-05-06,33
2023-05-07,32
2023-05-08,26
2023-05-09,28
2023-05-10,19
2023-05-11,38
2023-05-12,25
2023-05-13,25
2023-05-14,30
2023-05-15,26
2023-05-16,38
2023-05-17,24
2023-05-18,18
2023-05-19,32
2023-05-20,25
2023-05-21,41
2023-05-22,21
2023-05-23,27
2023-05-24,23
2023-05-25,28
2023-05-26,20
2023-05-27,35
2023-05-28,29
2023-05-29,34
2023-05-30,24
2023-05-31,35
2023-06-01,24
2023-06-02,29
2023-06-03,39
2023-06-04,66
2023-06-05,46
2023-06-06,55
2023-06-07,27
2023-06-08,37
2023-06-09,27
2023-06-10,39
2023-06-11,36
2023-06-12,35
2023-06-13,29
2023-06-14,43
2023-06-15,24
2023-06-16,27
2023-06-17,27
2023-06-18,27
2023-06-19,33
2023-06-20,26
2023-06-21,27
2023-06-22,27
2023-06-23,26
2023-06-24,50
2023-06-25,37
2023-06-26,18
2023-06-27,32
2023-06-28,43
2023-06-29,27
2023-06-30,46
2023-07-01,38
2023-07-02,34
2023-07-03,30
2023-07-04,37
2023-07-05,21
2023-07-06,21
2023-07-07,39
2023-07-08,24
2023-07-09,37
2023-07-10,41
2023-07-11,47
2023-07-12,37
2023-07-13,32
2023-07-14,28
2023-07-15,26
2023-07-16,47
2023-07-17,36
2023-07-18,24
2023-07-19,25
2023-07-20,23
2023-07-21,14
2023-07-22,47
2023-07-23,25
2023-07-24,25
2023-07-25,36
2023-07-26,30
2023-07-27,41
2023-07-28,25
2023-07-29,30
2023-07-30,29
2023-07-31,34
2023-08-01,21
2023-08-02,15
2023-08-03,21
2023-08-04,33
2023-08-05,100
2023-08-06,38
2023-08-07,23
2023-08-08,22
2023-08-09,24
2023-08-10,23
2023-08-11,37
2023-08-12,45
2023-08-13,41
2023-08-14,38
2023-08-15,34
2023-08-16,45
2023-08-17,30
2023-08-18,41
2023-08-19,49
2023-08-20,48
2023-08-21,38
2023-08-22,45
2023-08-23,47
2023-08-24,35
2023-08-25,32
2023-08-26,87
2023-08-27,52
2023-08-28,36
2023-08-29,61
2023-08-30,36
2023-08-31,28
2023-09-01,22
2023-09-02,31
2023-09-03,84
2023-09-04,65
2023-09-05,37
2023-09-06,35
2023-09-07,22
2023-09-08,21
2023-09-09,19
2023-09-10,17
2023-09-11,19
2023-09-12,20
2023-09-13,23
2023-09-14,21
2023-09-15,24
2023-09-16,25
2023-09-17,21
2023-09-18,17
2023-09-19,38
2023-09-20,34
2023-09-21,23
2023-09-22,29
2023-09-23,38
2023-09-24,32
2023-09-25,36
2023-09-26,17
2023-09-27,36
2023-09-28,26
2023-09-29,18
2023-09-30,17
2023-10-01,31
2023-10-02,37
2023-10-03,26
2023-10-04,20
2023-10-05,16
2023-10-06,24
2023-10-07,19
2023-10-08,18
2023-10-09,24
2023-10-10,17
2023-10-11,18
2023-10-12,23
2023-10-13,16
2023-10-14,24
2023-10-15,23
2023-10-16,12
2023-10-17,45
2023-10-18,46
2023-10-19,23
2023-10-20,15
2023-10-21,36
2023-10-22,20
2023-10-23,29
2023-10-24,24
2023-10-25,25
2023-10-26,13
2023-10-27,14
2023-10-28,16
2023-10-29,14
2023-10-30,9
2023-10-31,33
2023-11-01,19
2023-11-02,20
2023-11-03,12
2023-11-04,15
2023-11-05,29
2023-11-06,13
2023-11-07,11
2023-11-08,17
2023-11-09,12
2023-11-10,13
2023-11-11,18
2023-11-12,0
2023-11-13,10
2023-11-14,0
2023-11-15,11
2023-11-16,15
2023-11-17,11
2023-11-18,14
2023-11-19,13
2023-11-20,12
2023-11-21,0
2023-11-22,13
2023-11-23,21
2023-11-24,18
2023-11-25,21
2023-11-26,14
2023-11-27,0
2023-11-28,13
2023-11-29,15
2023-11-30,12
2023-12-01,15
2023-12-02,15
2023-12-03,18
2023-12-04,15
2023-12-05,12
2023-12-06,0
2023-12-07,14
2023-12-08,25
2023-12-09,31
2023-12-10,23
2023-12-11,21
2023-12-12,18
2023-12-13,15
2023-12-14,17
2023-12-15,11
2023-12-16,13
2023-12-17,18
2023-12-18,12
2023-12-19,12
2023-12-20,12
2023-12-21,11
2023-12-22,16
2023-12-23,12
2023-12-24,12
2023-12-25,20
2023-12-26,0
2023-12-27,12
2023-12-28,13
2023-12-29,43
2023-12-30,22
2023-12-31,17
2024-01-01,11
2024-01-02,16
2024-01-03,12
2024-01-04,15
2024-01-05,12
2024-01-06,23
2024-01-07,15
2024-01-08,13
2024-01-09,11
2024-01-10,0
2024-01-11,13
2024-01-12,18
2024-01-13,17
2024-01-14,13
2024-01-15,11
2024-01-16,25
2024-01-17,26
2024-01-18,22
2024-01-19,23
2024-01-20,16
