Time,hillbilly elegy
2023-04-26,7
2023-04-27,5
2023-04-28,0
2023-04-29,8
2023-04-30,14
2023-05-01,10
2023-05-02,10
2023-05-03,6
2023-05-04,9
2023-05-05,10
2023-05-06,7
2023-05-07,12
2023-05-08,11
2023-05-09,9
2023-05-10,9
2023-05-11,10
2023-05-12,9
2023-05-13,15
2023-05-14,16
2023-05-15,11
2023-05-16,11
2023-05-17,12
2023-05-18,8
2023-05-19,11
2023-05-20,11
2023-05-21,12
2023-05-22,12
2023-05-23,6
2023-05-24,12
2023-05-25,6
2023-05-26,10
2023-05-27,8
2023-05-28,13
2023-05-29,13
2023-05-30,8
2023-05-31,8
2023-06-01,6
2023-06-02,11
2023-06-03,15
2023-06-04,14
2023-06-05,13
2023-06-06,11
2023-06-07,12
2023-06-08,9
2023-06-09,7
2023-06-10,12
2023-06-11,9
2023-06-12,10
2023-06-13,9
2023-06-14,9
2023-06-15,10
2023-06-16,8
2023-06-17,34
2023-06-18,34
2023-06-19,30
2023-06-20,16
2023-06-21,12
2023-06-22,15
2023-06-23,20
2023-06-24,24
2023-06-25,14
2023-06-26,14
2023-06-27,14
2023-06-28,16
2023-06-29,13
2023-06-30,10
2023-07-01,18
2023-07-02,23
2023-07-03,15
2023-07-04,11
2023-07-05,11
2023-07-06,9
2023-07-07,10
2023-07-08,11
2023-07-09,15
2023-07-10,16
2023-07-11,11
2023-07-12,14
2023-07-13,0
2023-07-14,8
2023-07-15,10
2023-07-16,16
2023-07-17,13
2023-07-18,12
2023-07-19,11
2023-07-20,7
2023-07-21,9
2023-07-22,12
2023-07-23,13
2023-07-24,15
2023-07-25,0
2023-07-26,9
2023-07-27,6
2023-07-28,11
2023-07-29,15
2023-07-30,9
2023-07-31,15
2023-08-01,10
2023-08-02,6
2023-08-03,7
2023-08-04,8
2023-08-05,10
2023-08-06,8
2023-08-07,7
2023-08-08,7
2023-08-09,0
2023-08-10,6
2023-08-11,8
2023-08-12,0
2023-08-13,11
2023-08-14,7
2023-08-15,12
2023-08-16,10
2023-08-17,0
2023-08-18,12
2023-08-19,10
2023-08-20,11
2023-08-21,9
2023-08-22,10
2023-08-23,9
2023-08-24,0
2023-08-25,9
2023-08-26,9
2023-08-27,100
2023-08-28,49
2023-08-29,12
2023-08-30,7
2023-08-31,8
2023-09-01,9
2023-09-02,9
2023-09-03,11
2023-09-04,13
2023-09-05,10
2023-09-06,8
2023-09-07,6
2023-09-08,9
2023-09-09,0
2023-09-10,10
2023-09-11,8
2023-09-12,6
2023-09-13,6
2023-09-14,11
2023-09-15,12
2023-09-16,6
2023-09-17,0
2023-09-18,7
2023-09-19,10
2023-09-20,8
2023-09-21,10
2023-09-22,8
2023-09-23,0
2023-09-24,7
2023-09-25,8
2023-09-26,8
2023-09-27,8
2023-09-28,7
2023-09-29,5
2023-09-30,11
2023-10-01,9
2023-10-02,9
2023-10-03,6
2023-10-04,7
2023-10-05,7
2023-10-06,8
2023-10-07,0
2023-10-08,6
2023-10-09,0
2023-10-10,7
2023-10-11,6
2023-10-12,7
2023-10-13,0
2023-10-14,0
2023-10-15,7
2023-10-16,11
2023-10-17,8
2023-10-18,10
2023-10-19,0
2023-10-20,5
2023-10-21,9
2023-10-22,7
2023-10-23,8
2023-10-24,6
2023-10-25,6
2023-10-26,6
2023-10-27,9
2023-10-28,8
2023-10-29,10
2023-10-30,12
2023-10-31,7
2023-11-01,6
2023-11-02,9
2023-11-03,5
2023-11-04,0
2023-11-05,9
2023-11-06,9
2023-11-07,9
2023-11-08,0
2023-11-09,21
2023-11-10,10
2023-11-11,13
2023-11-12,13
2023-11-13,8
2023-11-14,10
2023-11-15,10
2023-11-16,10
2023-11-17,5
2023-11-18,0
2023-11-19,6
2023-11-20,7
2023-11-21,6
2023-11-22,6
2023-11-23,8
2023-11-24,9
2023-11-25,0
2023-11-26,9
2023-11-27,8
2023-11-28,7
2023-11-29,7
2023-11-30,9
2023-12-01,6
2023-12-02,13
2023-12-03,9
2023-12-04,9
2023-12-05,0
2023-12-06,8
2023-12-07,0
2023-12-08,9
2023-12-09,6
2023-12-10,13
2023-12-11,9
2023-12-12,6
2023-12-13,8
2023-12-14,7
2023-12-15,7
2023-12-16,8
2023-12-17,12
2023-12-18,6
2023-12-19,9
2023-12-20,8
2023-12-21,16
2023-12-22,7
2023-12-23,8
2023-12-24,8
2023-12-25,0
2023-12-26,8
2023-12-27,9
2023-12-28,7
2023-12-29,15
2023-12-30,8
2023-12-31,15
2024-01-01,11
2024-01-02,8
2024-01-03,9
2024-01-04,7
2024-01-05,6
2024-01-06,11
2024-01-07,0
2024-01-08,11
2024-01-09,7
2024-01-10,11
2024-01-11,9
2024-01-12,8
2024-01-13,12
2024-01-14,16
2024-01-15,8
2024-01-16,0
2024-01-17,11
2024-01-18,6
2024-01-19,9
2024-01-20,9
