Time,facebook_marketplace
2022-01-01,68.0
2022-01-02,83.0
2022-01-03,74.0
2022-01-04,84.0
2022-01-05,73.0
2022-01-06,63.0
2022-01-07,72.0
2022-01-08,82.0
2022-01-09,80.0
2022-01-10,69.0
2022-01-11,72.0
2022-01-12,69.0
2022-01-13,94.0
2022-01-14,62.0
2022-01-15,76.0
2022-01-16,75.0
2022-01-17,66.0
2022-01-18,65.0
2022-01-19,66.0
2022-01-20,66.0
2022-01-21,66.0
2022-01-22,82.0
2022-01-23,74.0
2022-01-24,75.0
2022-01-25,63.0
2022-01-26,64.0
2022-01-27,66.0
2022-01-28,75.0
2022-01-29,89.0
2022-01-30,84.0
2022-01-31,71.0
2022-02-01,74.0
2022-02-02,73.0
2022-02-03,76.0
2022-02-04,73.0
2022-02-05,82.0
2022-02-06,78.0
2022-02-07,76.0
2022-02-08,73.0
2022-02-09,66.0
2022-02-10,65.0
2022-02-11,72.0
2022-02-12,79.0
2022-02-13,77.0
2022-02-14,69.0
2022-02-15,82.0
2022-02-16,77.0
2022-02-17,85.0
2022-02-18,92.0
2022-02-19,100.0
2022-02-20,92.0
2022-02-21,87.0
2022-02-22,78.0
2022-02-23,80.0
2022-02-24,71.0
2022-02-25,79.0
2022-02-26,81.0
2022-02-27,82.0
2022-02-28,76.0
2022-03-01,70.0
2022-03-02,70.0
2022-03-03,72.0
2022-03-04,69.0
2022-03-05,81.0
2022-03-06,82.0
2022-03-07,74.0
2022-03-08,73.0
2022-03-09,79.0
2022-03-10,70.0
2022-03-11,64.0
2022-03-12,83.0
2022-03-13,78.0
2022-03-14,70.0
2022-03-15,69.0
2022-03-16,64.0
2022-03-17,68.0
2022-03-18,65.0
2022-03-19,75.0
2022-03-20,83.0
2022-03-21,67.0
2022-03-22,74.0
2022-03-23,72.0
2022-03-24,68.0
2022-03-25,69.0
2022-03-26,81.0
2022-03-27,80.0
2022-03-28,64.0
2022-03-29,66.0
2022-03-30,72.0
2022-03-31,69.0
2022-04-01,62.0
2022-04-02,76.0
2022-04-03,82.0
2022-04-04,64.0
2022-04-05,67.0
2022-04-06,72.0
2022-04-07,68.0
2022-04-08,71.0
2022-04-09,78.0
2022-04-10,80.0
2022-04-11,67.0
2022-04-12,64.0
2022-04-13,62.0
2022-04-14,64.0
2022-04-15,67.0
2022-04-16,80.0
2022-04-17,78.0
2022-04-18,73.0
2022-04-19,71.0
2022-04-20,65.0
2022-04-21,64.0
2022-04-22,62.0
2022-04-23,76.0
2022-04-24,84.0
2022-04-25,68.0
2022-04-26,68.0
2022-04-27,66.0
2022-04-28,64.0
2022-04-29,67.0
2022-04-30,76.0
2022-05-01,81.0
2022-05-02,65.0
2022-05-03,64.0
2022-05-04,66.0
2022-05-05,63.0
2022-05-06,61.0
2022-05-07,79.0
2022-05-08,71.0
2022-05-09,66.0
2022-05-10,65.0
2022-05-11,65.0
2022-05-12,62.0
2022-05-13,61.0
2022-05-14,69.0
2022-05-15,74.0
2022-05-16,67.0
2022-05-17,63.0
2022-05-18,65.0
2022-05-19,66.0
2022-05-20,65.0
2022-05-21,73.0
2022-05-22,75.0
2022-05-23,64.0
2022-05-24,65.0
2022-05-25,62.0
2022-05-26,64.0
2022-05-27,62.0
2022-05-28,67.0
2022-05-29,76.0
2022-05-30,73.0
2022-05-31,68.0
2022-06-01,65.0
2022-06-02,67.0
2022-06-03,67.0
2022-06-04,75.0
2022-06-05,80.0
2022-06-06,71.0
2022-06-07,72.0
2022-06-08,75.0
2022-06-09,71.0
2022-06-10,70.0
2022-06-11,76.0
2022-06-12,81.0
2022-06-13,76.0
2022-06-14,70.0
2022-06-15,68.0
2022-06-16,72.0
2022-06-17,66.0
2022-06-18,67.0
2022-06-19,80.0
2022-06-20,76.0
2022-06-21,70.0
2022-06-22,78.0
2022-06-23,72.0
2022-06-24,75.0
2022-06-25,78.0
2022-06-26,78.0
2022-06-27,75.0
2022-06-28,79.0
2022-06-29,73.0
