Time,liz cheney
2022-08-29,12
2022-08-30,11
2022-08-31,12
2022-09-01,11
2022-09-02,12
2022-09-03,11
2022-09-04,10
2022-09-05,11
2022-09-06,10
2022-09-07,9
2022-09-08,6
2022-09-09,7
2022-09-10,5
2022-09-11,6
2022-09-12,6
2022-09-13,5
2022-09-14,5
2022-09-15,7
2022-09-16,6
2022-09-17,8
2022-09-18,6
2022-09-19,9
2022-09-20,15
2022-09-21,10
2022-09-22,11
2022-09-23,9
2022-09-24,7
2022-09-25,40
2022-09-26,34
2022-09-27,17
2022-09-28,8
2022-09-29,6
2022-09-30,5
2022-10-01,5
2022-10-02,6
2022-10-03,7
2022-10-04,7
2022-10-05,6
2022-10-06,13
2022-10-07,7
2022-10-08,6
2022-10-09,8
2022-10-10,8
2022-10-11,6
2022-10-12,7
2022-10-13,54
2022-10-14,42
2022-10-15,17
2022-10-16,16
2022-10-17,9
2022-10-18,7
2022-10-19,10
2022-10-20,8
2022-10-21,11
2022-10-22,7
2022-10-23,46
2022-10-24,39
2022-10-25,15
2022-10-26,11
2022-10-27,15
2022-10-28,16
2022-10-29,20
2022-10-30,19
2022-10-31,15
2022-11-01,25
2022-11-02,26
2022-11-03,13
2022-11-04,11
2022-11-05,15
2022-11-06,13
2022-11-07,14
2022-11-08,15
2022-11-09,52
2022-11-10,29
2022-11-11,35
2022-11-12,31
2022-11-13,53
2022-11-14,25
2022-11-15,100
2022-11-16,44
2022-11-17,23
2022-11-18,11
2022-11-19,12
2022-11-20,12
2022-11-21,6
2022-11-22,7
2022-11-23,11
2022-11-24,14
2022-11-25,8
2022-11-26,6
2022-11-27,7
2022-11-28,5
2022-11-29,6
2022-11-30,6
2022-12-01,5
2022-12-02,5
2022-12-03,6
2022-12-04,7
2022-12-05,12
2022-12-06,12
2022-12-07,11
2022-12-08,8
2022-12-09,6
2022-12-10,5
2022-12-11,4
2022-12-12,6
2022-12-13,5
2022-12-14,5
2022-12-15,6
2022-12-16,7
2022-12-17,7
2022-12-18,6
2022-12-19,52
2022-12-20,56
2022-12-21,16
2022-12-22,7
2022-12-23,21
2022-12-24,13
2022-12-25,9
2022-12-26,6
2022-12-27,8
2022-12-28,5
2022-12-29,8
2022-12-30,7
2022-12-31,6
2023-01-01,7
2023-01-02,9
2023-01-03,17
2023-01-04,21
2023-01-05,21
2023-01-06,17
2023-01-07,16
2023-01-08,11
2023-01-09,5
2023-01-10,8
2023-01-11,5
2023-01-12,4
2023-01-13,2
2023-01-14,2
2023-01-15,2
2023-01-16,2
2023-01-17,3
2023-01-18,3
2023-01-19,3
2023-01-20,3
2023-01-21,3
2023-01-22,3
2023-01-23,3
2023-01-24,3
2023-01-25,3
2023-01-26,4
2023-01-27,4
2023-01-28,3
2023-01-29,2
2023-01-30,4
2023-01-31,3
2023-02-01,2
2023-02-02,3
2023-02-03,3
2023-02-04,3
2023-02-05,4
2023-02-06,3
2023-02-07,3
2023-02-08,4
2023-02-09,4
2023-02-10,3
2023-02-11,2
2023-02-12,2
2023-02-13,2
2023-02-14,4
2023-02-15,3
2023-02-16,4
2023-02-17,2
2023-02-18,3
2023-02-19,2
2023-02-20,3
2023-02-21,3
2023-02-22,3
2023-02-23,3
2023-02-24,2
2023-02-25,4
2023-02-26,2
2023-02-27,2
2023-02-28,2
2023-03-01,4
2023-03-02,10
2023-03-03,5
2023-03-04,3
2023-03-05,6
2023-03-06,4
2023-03-07,8
2023-03-08,8
2023-03-09,7
2023-03-10,4
2023-03-11,4
2023-03-12,2
2023-03-13,2
2023-03-14,3
2023-03-15,2
2023-03-16,3
2023-03-17,2
2023-03-18,2
2023-03-19,5
2023-03-20,2
2023-03-21,3
2023-03-22,4
2023-03-23,3
2023-03-24,2
2023-03-25,2
2023-03-26,2
2023-03-27,2
2023-03-28,2
2023-03-29,4
2023-03-30,3
2023-03-31,5
2023-04-01,4
2023-04-02,4
2023-04-03,7
2023-04-04,6
2023-04-05,4
2023-04-06,4
2023-04-07,2
2023-04-08,2
2023-04-09,2
2023-04-10,2
2023-04-11,2
2023-04-12,3
2023-04-13,2
2023-04-14,7
2023-04-15,7
2023-04-16,4
2023-04-17,3
2023-04-18,3
2023-04-19,5
2023-04-20,3
2023-04-21,2
2023-04-22,2
2023-04-23,2
2023-04-24,4
2023-04-25,4
2023-04-26,3
2023-04-27,4
2023-04-28,6
2023-04-29,5
2023-04-30,3
2023-05-01,2
2023-05-02,0
2023-05-03,2
2023-05-04,2
2023-05-05,2
2023-05-06,2
2023-05-07,2
2023-05-08,2
2023-05-09,27
2023-05-10,28
2023-05-11,9
2023-05-12,5
2023-05-13,3
2023-05-14,5
2023-05-15,2
2023-05-16,3
2023-05-17,1
2023-05-18,2
2023-05-19,0
2023-05-20,2
2023-05-21,2
2023-05-22,3
2023-05-23,2
2023-05-24,3
2023-05-25,3
