Time,chick fil a
2022-01-01,100
2022-01-02,33
2022-01-03,40
2022-01-04,55
2022-01-05,53
2022-01-06,39
2022-01-07,53
2022-01-08,68
2022-01-09,32
2022-01-10,33
2022-01-11,46
2022-01-12,46
2022-01-13,52
2022-01-14,46
2022-01-15,67
2022-01-16,28
2022-01-17,43
2022-01-18,40
2022-01-19,42
2022-01-20,43
2022-01-21,48
2022-01-22,64
2022-01-23,27
2022-01-24,38
2022-01-25,39
2022-01-26,42
2022-01-27,44
2022-01-28,53
2022-01-29,64
2022-01-30,31
2022-01-31,32
2022-02-01,47
2022-02-02,44
2022-02-03,46
2022-02-04,53
2022-02-05,67
2022-02-06,32
2022-02-07,34
2022-02-08,48
2022-02-09,48
2022-02-10,41
2022-02-11,56
2022-02-12,70
2022-02-13,29
2022-02-14,42
2022-02-15,46
2022-02-16,44
2022-02-17,47
2022-02-18,55
2022-02-19,69
2022-02-20,31
2022-02-21,51
2022-02-22,52
2022-02-23,46
2022-02-24,48
2022-02-25,50
2022-02-26,67
2022-02-27,33
2022-02-28,39
2022-03-01,46
2022-03-02,49
2022-03-03,50
2022-03-04,54
2022-03-05,67
2022-03-06,32
2022-03-07,36
2022-03-08,42
2022-03-09,47
2022-03-10,49
2022-03-11,52
2022-03-12,60
2022-03-13,28
2022-03-14,39
2022-03-15,45
2022-03-16,48
2022-03-17,50
2022-03-18,56
2022-03-19,66
2022-03-20,28
2022-03-21,37
2022-03-22,46
2022-03-23,48
2022-03-24,50
2022-03-25,51
2022-03-26,63
2022-03-27,27
2022-03-28,34
2022-03-29,43
2022-03-30,47
2022-03-31,48
2022-04-01,51
2022-04-02,68
2022-04-03,28
2022-04-04,34
2022-04-05,44
2022-04-06,45
2022-04-07,48
2022-04-08,52
2022-04-09,65
2022-04-10,28
2022-04-11,38
2022-04-12,48
2022-04-13,49
2022-04-14,51
2022-04-15,62
2022-04-16,61
2022-04-17,24
2022-04-18,37
2022-04-19,45
2022-04-20,44
2022-04-21,48
2022-04-22,54
2022-04-23,68
2022-04-24,28
2022-04-25,38
2022-04-26,43
2022-04-27,47
2022-04-28,49
2022-04-29,53
2022-04-30,63
2022-05-01,27
2022-05-02,40
2022-05-03,44
2022-05-04,47
2022-05-05,48
2022-05-06,52
2022-05-07,68
2022-05-08,25
2022-05-09,35
2022-05-10,45
2022-05-11,46
2022-05-12,53
2022-05-13,55
2022-05-14,72
2022-05-15,29
2022-05-16,38
2022-05-17,50
2022-05-18,49
2022-05-19,49
2022-05-20,57
2022-05-21,68
2022-05-22,29
2022-05-23,42
2022-05-24,49
2022-05-25,50
2022-05-26,54
2022-05-27,59
2022-05-28,69
2022-05-29,29
2022-05-30,90
2022-05-31,55
2022-06-01,52
2022-06-02,54
2022-06-03,57
2022-06-04,65
2022-06-05,31
2022-06-06,43
2022-06-07,52
2022-06-08,53
2022-06-09,55
2022-06-10,60
2022-06-11,66
2022-06-12,29
2022-06-13,46
2022-06-14,53
2022-06-15,55
2022-06-16,57
2022-06-17,59
2022-06-18,70
2022-06-19,31
2022-06-20,47
2022-06-21,51
2022-06-22,53
2022-06-23,58
2022-06-24,56
2022-06-25,65
2022-06-26,28
2022-06-27,43
2022-06-28,51
2022-06-29,55
2022-06-30,56
2022-07-01,62
2022-07-02,69
2022-07-03,31
2022-07-04,93
2022-07-05,55
2022-07-06,68
2022-07-07,70
2022-07-08,78
2022-07-09,80
2022-07-10,36
2022-07-11,51
2022-07-12,62
2022-07-13,57
2022-07-14,57
2022-07-15,62
2022-07-16,69
2022-07-17,30
2022-07-18,43
2022-07-19,52
2022-07-20,53
2022-07-21,57
2022-07-22,64
2022-07-23,67
2022-07-24,29
2022-07-25,43
2022-07-26,55
2022-07-27,56
2022-07-28,59
2022-07-29,65
2022-07-30,67
2022-07-31,32
2022-08-01,47
2022-08-02,51
2022-08-03,56
2022-08-04,55
2022-08-05,60
2022-08-06,69
2022-08-07,35
2022-08-08,46
2022-08-09,57
2022-08-10,61
2022-08-11,59
2022-08-12,64
2022-08-13,67
2022-08-14,29
2022-08-15,43
2022-08-16,51
2022-08-17,53
2022-08-18,56
2022-08-19,57
2022-08-20,69
2022-08-21,28
2022-08-22,40
2022-08-23,55
2022-08-24,48
2022-08-25,54
2022-08-26,56
2022-08-27,70
2022-08-28,29
2022-08-29,37
2022-08-30,49
2022-08-31,47
2022-09-01,54
2022-09-02,57
2022-09-03,66
2022-09-04,28
2022-09-05,93
2022-09-06,47
2022-09-07,44
2022-09-08,46
2022-09-09,53
2022-09-10,67
2022-09-11,25
2022-09-12,44
2022-09-13,53
2022-09-14,53
2022-09-15,58
2022-09-16,61
2022-09-17,68
2022-09-18,27
2022-09-19,39
2022-09-20,47
2022-09-21,48
2022-09-22,48
2022-09-23,54
2022-09-24,67
2022-09-25,27
2022-09-26,37
2022-09-27,44
