Time,chick fil a
2023-04-26,49
2023-04-27,50
2023-04-28,53
2023-04-29,65
2023-04-30,26
2023-05-01,39
2023-05-02,48
2023-05-03,49
2023-05-04,51
2023-05-05,51
2023-05-06,67
2023-05-07,30
2023-05-08,41
2023-05-09,46
2023-05-10,50
2023-05-11,51
2023-05-12,55
2023-05-13,64
2023-05-14,27
2023-05-15,39
2023-05-16,48
2023-05-17,49
2023-05-18,55
2023-05-19,59
2023-05-20,69
2023-05-21,28
2023-05-22,40
2023-05-23,47
2023-05-24,51
2023-05-25,54
2023-05-26,61
2023-05-27,67
2023-05-28,27
2023-05-29,86
2023-05-30,57
2023-05-31,75
2023-06-01,71
2023-06-02,71
2023-06-03,79
2023-06-04,34
2023-06-05,47
2023-06-06,53
2023-06-07,52
2023-06-08,54
2023-06-09,60
2023-06-10,65
2023-06-11,28
2023-06-12,43
2023-06-13,52
2023-06-14,56
2023-06-15,57
2023-06-16,61
2023-06-17,70
2023-06-18,33
2023-06-19,48
2023-06-20,53
2023-06-21,59
2023-06-22,56
2023-06-23,61
2023-06-24,67
2023-06-25,34
2023-06-26,45
2023-06-27,55
2023-06-28,56
2023-06-29,58
2023-06-30,62
2023-07-01,65
2023-07-02,29
2023-07-03,49
2023-07-04,92
2023-07-05,53
2023-07-06,57
2023-07-07,56
2023-07-08,67
2023-07-09,28
2023-07-10,41
2023-07-11,53
2023-07-12,54
2023-07-13,58
2023-07-14,62
2023-07-15,67
2023-07-16,30
2023-07-17,43
2023-07-18,53
2023-07-19,56
2023-07-20,58
2023-07-21,60
2023-07-22,64
2023-07-23,30
2023-07-24,42
2023-07-25,52
2023-07-26,58
2023-07-27,62
2023-07-28,62
2023-07-29,70
2023-07-30,29
2023-07-31,44
2023-08-01,55
2023-08-02,54
2023-08-03,57
2023-08-04,56
2023-08-05,67
2023-08-06,28
2023-08-07,41
2023-08-08,51
2023-08-09,52
2023-08-10,54
2023-08-11,57
2023-08-12,63
2023-08-13,26
2023-08-14,39
2023-08-15,52
2023-08-16,57
2023-08-17,59
2023-08-18,64
2023-08-19,70
2023-08-20,28
2023-08-21,45
2023-08-22,53
2023-08-23,51
2023-08-24,53
2023-08-25,55
2023-08-26,64
2023-08-27,28
2023-08-28,51
2023-08-29,65
2023-08-30,66
2023-08-31,66
2023-09-01,73
2023-09-02,75
2023-09-03,31
2023-09-04,100
2023-09-05,53
2023-09-06,52
2023-09-07,52
2023-09-08,57
2023-09-09,72
2023-09-10,29
2023-09-11,41
2023-09-12,47
2023-09-13,51
2023-09-14,52
2023-09-15,56
2023-09-16,72
2023-09-17,28
2023-09-18,37
2023-09-19,49
2023-09-20,50
2023-09-21,51
2023-09-22,58
2023-09-23,71
2023-09-24,31
2023-09-25,41
2023-09-26,46
2023-09-27,49
2023-09-28,52
2023-09-29,59
2023-09-30,69
2023-10-01,27
2023-10-02,38
2023-10-03,47
2023-10-04,47
2023-10-05,49
2023-10-06,55
2023-10-07,66
2023-10-08,27
2023-10-09,47
2023-10-10,45
2023-10-11,47
2023-10-12,47
2023-10-13,53
2023-10-14,66
2023-10-15,30
2023-10-16,39
2023-10-17,46
2023-10-18,47
2023-10-19,53
2023-10-20,59
2023-10-21,68
2023-10-22,27
2023-10-23,39
2023-10-24,48
2023-10-25,45
2023-10-26,51
2023-10-27,53
2023-10-28,63
2023-10-29,25
2023-10-30,36
2023-10-31,44
2023-11-01,48
2023-11-02,48
2023-11-03,52
2023-11-04,65
2023-11-05,25
2023-11-06,37
2023-11-07,48
2023-11-08,48
2023-11-09,50
2023-11-10,61
2023-11-11,75
2023-11-12,30
2023-11-13,38
2023-11-14,51
2023-11-15,51
2023-11-16,52
2023-11-17,53
2023-11-18,68
2023-11-19,28
2023-11-20,42
2023-11-21,50
2023-11-22,62
2023-11-23,48
2023-11-24,49
2023-11-25,57
2023-11-26,27
2023-11-27,35
2023-11-28,43
2023-11-29,47
2023-11-30,47
2023-12-01,53
2023-12-02,66
2023-12-03,29
2023-12-04,34
2023-12-05,46
2023-12-06,46
2023-12-07,47
2023-12-08,51
2023-12-09,66
2023-12-10,30
2023-12-11,36
2023-12-12,47
2023-12-13,49
2023-12-14,50
2023-12-15,57
2023-12-16,66
2023-12-17,31
2023-12-18,41
2023-12-19,55
2023-12-20,58
2023-12-21,63
2023-12-22,64
2023-12-23,71
2023-12-24,40
2023-12-25,35
2023-12-26,55
2023-12-27,58
2023-12-28,58
2023-12-29,62
2023-12-30,69
2023-12-31,33
2024-01-01,98
2024-01-02,60
2024-01-03,51
2024-01-04,51
2024-01-05,52
2024-01-06,58
2024-01-07,29
2024-01-08,31
2024-01-09,42
2024-01-10,46
2024-01-11,46
2024-01-12,50
2024-01-13,57
2024-01-14,26
2024-01-15,46
2024-01-16,40
2024-01-17,43
2024-01-18,44
2024-01-19,48
2024-01-20,60
