Time,facebook
2024-08-18,92
2024-08-19,89
2024-08-20,91
2024-08-21,87
2024-08-22,91
2024-08-23,89
2024-08-24,89
2024-08-25,87
2024-08-26,86
2024-08-27,86
2024-08-28,89
2024-08-29,86
2024-08-30,87
2024-08-31,81
2024-09-01,88
2024-09-02,85
2024-09-03,83
2024-09-04,84
2024-09-05,82
2024-09-06,78
2024-09-07,83
2024-09-08,81
2024-09-09,81
2024-09-10,84
2024-09-11,85
2024-09-12,86
2024-09-13,84
2024-09-14,85
2024-09-15,83
2024-09-16,89
2024-09-17,85
2024-09-18,85
2024-09-19,85
2024-09-20,80
2024-09-21,81
2024-09-22,84
2024-09-23,86
2024-09-24,80
2024-09-25,86
2024-09-26,83
2024-09-27,83
2024-09-28,83
2024-09-29,80
2024-09-30,79
2024-10-01,78
2024-10-02,81
2024-10-03,80
2024-10-04,81
2024-10-05,82
2024-10-06,84
2024-10-07,83
2024-10-08,76
2024-10-09,81
2024-10-10,80
2024-10-11,79
2024-10-12,80
2024-10-13,79
2024-10-14,85
2024-10-15,78
2024-10-16,78
2024-10-17,77
2024-10-18,74
2024-10-19,76
2024-10-20,77
2024-10-21,78
2024-10-22,76
2024-10-23,77
2024-10-24,73
2024-10-25,74
2024-10-26,77
2024-10-27,73
2024-10-28,76
2024-10-29,74
2024-10-30,76
2024-10-31,80
2024-11-01,81
2024-11-02,75
2024-11-03,76
2024-11-04,76
2024-11-05,74
2024-11-06,67
2024-11-07,76
2024-11-08,80
2024-11-09,76
2024-11-10,77
2024-11-11,81
2024-11-12,78
2024-11-13,75
2024-11-14,75
2024-11-15,72
2024-11-16,73
2024-11-17,74
2024-11-18,74
2024-11-19,79
2024-11-20,73
2024-11-21,72
2024-11-22,69
2024-11-23,70
2024-11-24,73
2024-11-25,74
2024-11-26,73
2024-11-27,76
2024-11-28,74
2024-11-29,70
2024-11-30,71
2024-12-01,72
2024-12-02,69
2024-12-03,69
2024-12-04,73
2024-12-05,71
2024-12-06,72
2024-12-07,72
2024-12-08,73
2024-12-09,71
2024-12-10,75
2024-12-11,100
2024-12-12,77
2024-12-13,72
2024-12-14,75
2024-12-15,76
2024-12-16,73
2024-12-17,72
2024-12-18,76
2024-12-19,74
2024-12-20,77
2024-12-21,72
2024-12-22,75
2024-12-23,75
2024-12-24,75
2024-12-25,79
2024-12-26,79
2024-12-27,81
2024-12-28,75
2024-12-29,77
2024-12-30,78
2024-12-31,81
2025-01-01,82
2025-01-02,78
2025-01-03,76
2025-01-04,80
2025-01-05,77
2025-01-06,78
2025-01-07,81
2025-01-08,77
2025-01-09,78
2025-01-10,80
2025-01-11,80
2025-01-12,78
2025-01-13,73
2025-01-14,73
2025-01-15,75
2025-01-16,76
2025-01-17,78
2025-01-18,76
2025-01-19,79
2025-01-20,82
2025-01-21,81
2025-01-22,83
2025-01-23,78
2025-01-24,76
2025-01-25,76
2025-01-26,69
2025-01-27,75
2025-01-28,73
2025-01-29,74
2025-01-30,76
2025-01-31,74
2025-02-01,72
2025-02-02,75
2025-02-03,72
2025-02-04,75
2025-02-05,75
2025-02-06,76
2025-02-07,75
2025-02-08,73
2025-02-09,72
2025-02-10,71
2025-02-11,75
2025-02-12,80
2025-02-13,74
2025-02-14,76
2025-02-15,77
2025-02-16,77
2025-02-17,78
2025-02-18,79
2025-02-19,76
2025-02-20,71
2025-02-21,75
2025-02-22,75
2025-02-23,75
2025-02-24,74
2025-02-25,73
2025-02-26,72
2025-02-27,75
2025-02-28,76
2025-03-01,77
2025-03-02,75
2025-03-03,73
2025-03-04,75
2025-03-05,74
2025-03-06,74
2025-03-07,78
2025-03-08,77
2025-03-09,75
2025-03-10,75
2025-03-11,75
2025-03-12,74
2025-03-13,76
2025-03-14,73
2025-03-15,74
2025-03-16,80
2025-03-17,72
2025-03-18,71
2025-03-19,75
2025-03-20,74
2025-03-21,72
2025-03-22,74
2025-03-23,75
2025-03-24,69
2025-03-25,74
2025-03-26,74
2025-03-27,69
2025-03-28,72
2025-03-29,72
2025-03-30,74
2025-03-31,72
2025-04-01,69
2025-04-02,71
2025-04-03,72
2025-04-04,72
2025-04-05,72
2025-04-06,72
2025-04-07,72
2025-04-08,72
2025-04-09,75
2025-04-10,72
2025-04-11,74
2025-04-12,73
2025-04-13,70
2025-04-14,73
2025-04-15,75
2025-04-16,69
2025-04-17,73
2025-04-18,72
2025-04-19,70
2025-04-20,74
2025-04-21,74
2025-04-22,77
2025-04-23,70
2025-04-24,69
2025-04-25,70
2025-04-26,71
2025-04-27,73
2025-04-28,75
2025-04-29,68
2025-04-30,70
2025-05-01,72
2025-05-02,72
2025-05-03,69
2025-05-04,74
2025-05-05,68
2025-05-06,72
2025-05-07,75
2025-05-08,70
2025-05-09,72
2025-05-10,71
2025-05-11,74
2025-05-12,76
2025-05-13,73
2025-05-14,69
