Time,facebook
2023-04-26,91
2023-04-27,88
2023-04-28,86
2023-04-29,95
2023-04-30,95
2023-05-01,88
2023-05-02,90
2023-05-03,87
2023-05-04,87
2023-05-05,85
2023-05-06,89
2023-05-07,90
2023-05-08,86
2023-05-09,88
2023-05-10,88
2023-05-11,84
2023-05-12,88
2023-05-13,95
2023-05-14,97
2023-05-15,90
2023-05-16,95
2023-05-17,88
2023-05-18,88
2023-05-19,88
2023-05-20,91
2023-05-21,92
2023-05-22,90
2023-05-23,89
2023-05-24,90
2023-05-25,89
2023-05-26,93
2023-05-27,92
2023-05-28,97
2023-05-29,96
2023-05-30,88
2023-05-31,92
2023-06-01,90
2023-06-02,87
2023-06-03,91
2023-06-04,89
2023-06-05,88
2023-06-06,89
2023-06-07,89
2023-06-08,88
2023-06-09,88
2023-06-10,88
2023-06-11,91
2023-06-12,94
2023-06-13,92
2023-06-14,89
2023-06-15,91
2023-06-16,94
2023-06-17,93
2023-06-18,99
2023-06-19,96
2023-06-20,96
2023-06-21,90
2023-06-22,90
2023-06-23,93
2023-06-24,88
2023-06-25,93
2023-06-26,94
2023-06-27,95
2023-06-28,88
2023-06-29,92
2023-06-30,89
2023-07-01,85
2023-07-02,98
2023-07-03,91
2023-07-04,100
2023-07-05,97
2023-07-06,94
2023-07-07,91
2023-07-08,93
2023-07-09,95
2023-07-10,91
2023-07-11,89
2023-07-12,92
2023-07-13,98
2023-07-14,92
2023-07-15,90
2023-07-16,96
2023-07-17,91
2023-07-18,92
2023-07-19,97
2023-07-20,91
2023-07-21,94
2023-07-22,88
2023-07-23,96
2023-07-24,96
2023-07-25,95
2023-07-26,92
2023-07-27,90
2023-07-28,94
2023-07-29,97
2023-07-30,93
2023-07-31,93
2023-08-01,91
2023-08-02,89
2023-08-03,93
2023-08-04,93
2023-08-05,90
2023-08-06,94
2023-08-07,94
2023-08-08,91
2023-08-09,94
2023-08-10,93
2023-08-11,93
2023-08-12,90
2023-08-13,100
2023-08-14,89
2023-08-15,89
2023-08-16,94
2023-08-17,93
2023-08-18,92
2023-08-19,92
2023-08-20,95
2023-08-21,91
2023-08-22,94
2023-08-23,95
2023-08-24,88
2023-08-25,89
2023-08-26,94
2023-08-27,90
2023-08-28,90
2023-08-29,89
2023-08-30,89
2023-08-31,87
2023-09-01,86
2023-09-02,89
2023-09-03,87
2023-09-04,97
2023-09-05,86
2023-09-06,87
2023-09-07,83
2023-09-08,85
2023-09-09,89
2023-09-10,88
2023-09-11,89
2023-09-12,87
2023-09-13,89
2023-09-14,82
2023-09-15,85
2023-09-16,87
2023-09-17,94
2023-09-18,85
2023-09-19,88
2023-09-20,83
2023-09-21,87
2023-09-22,86
2023-09-23,84
2023-09-24,90
2023-09-25,89
2023-09-26,87
2023-09-27,85
2023-09-28,84
2023-09-29,81
2023-09-30,86
2023-10-01,87
2023-10-02,82
2023-10-03,83
2023-10-04,91
2023-10-05,84
2023-10-06,91
2023-10-07,88
2023-10-08,86
2023-10-09,85
2023-10-10,82
2023-10-11,88
2023-10-12,84
2023-10-13,82
2023-10-14,85
2023-10-15,83
2023-10-16,85
2023-10-17,83
2023-10-18,83
2023-10-19,78
2023-10-20,77
2023-10-21,80
2023-10-22,87
2023-10-23,84
2023-10-24,82
2023-10-25,81
2023-10-26,81
2023-10-27,80
2023-10-28,83
2023-10-29,82
2023-10-30,79
2023-10-31,81
2023-11-01,81
2023-11-02,79
2023-11-03,78
2023-11-04,83
2023-11-05,80
2023-11-06,85
2023-11-07,82
2023-11-08,86
2023-11-09,79
2023-11-10,80
2023-11-11,85
2023-11-12,86
2023-11-13,80
2023-11-14,80
2023-11-15,79
2023-11-16,82
2023-11-17,80
2023-11-18,82
2023-11-19,85
2023-11-20,79
2023-11-21,85
2023-11-22,81
2023-11-23,83
2023-11-24,80
2023-11-25,78
2023-11-26,87
2023-11-27,74
2023-11-28,77
2023-11-29,79
2023-11-30,80
2023-12-01,76
2023-12-02,83
2023-12-03,77
2023-12-04,79
2023-12-05,81
2023-12-06,80
2023-12-07,75
2023-12-08,78
2023-12-09,82
2023-12-10,84
2023-12-11,79
2023-12-12,77
2023-12-13,79
2023-12-14,80
2023-12-15,78
2023-12-16,76
2023-12-17,83
2023-12-18,76
2023-12-19,81
2023-12-20,82
2023-12-21,82
2023-12-22,81
2023-12-23,83
2023-12-24,84
2023-12-25,87
2023-12-26,88
2023-12-27,83
2023-12-28,88
2023-12-29,82
2023-12-30,79
2023-12-31,83
2024-01-01,88
2024-01-02,80
2024-01-03,81
2024-01-04,78
2024-01-05,78
2024-01-06,82
2024-01-07,81
2024-01-08,77
2024-01-09,80
2024-01-10,81
2024-01-11,79
2024-01-12,80
2024-01-13,83
2024-01-14,82
2024-01-15,84
2024-01-16,82
2024-01-17,80
2024-01-18,80
2024-01-19,83
2024-01-20,81
