Time,facebook
2022-01-01,91
2022-01-02,90
2022-01-03,83
2022-01-04,99
2022-01-05,88
2022-01-06,78
2022-01-07,89
2022-01-08,86
2022-01-09,89
2022-01-10,82
2022-01-11,84
2022-01-12,82
2022-01-13,83
2022-01-14,73
2022-01-15,84
2022-01-16,77
2022-01-17,82
2022-01-18,77
2022-01-19,75
2022-01-20,80
2022-01-21,83
2022-01-22,85
2022-01-23,77
2022-01-24,95
2022-01-25,72
2022-01-26,77
2022-01-27,80
2022-01-28,85
2022-01-29,92
2022-01-30,91
2022-01-31,86
2022-02-01,83
2022-02-02,89
2022-02-03,100
2022-02-04,97
2022-02-05,90
2022-02-06,91
2022-02-07,90
2022-02-08,86
2022-02-09,80
2022-02-10,75
2022-02-11,93
2022-02-12,87
2022-02-13,84
2022-02-14,83
2022-02-15,87
2022-02-16,84
2022-02-17,86
2022-02-18,84
2022-02-19,89
2022-02-20,82
2022-02-21,86
2022-02-22,87
2022-02-23,87
2022-02-24,89
2022-02-25,86
2022-02-26,86
2022-02-27,83
2022-02-28,82
2022-03-01,89
2022-03-02,82
2022-03-03,83
2022-03-04,81
2022-03-05,83
2022-03-06,83
2022-03-07,85
2022-03-08,86
2022-03-09,84
2022-03-10,80
2022-03-11,83
2022-03-12,88
2022-03-13,86
2022-03-14,83
2022-03-15,86
2022-03-16,83
2022-03-17,83
2022-03-18,82
2022-03-19,83
2022-03-20,82
2022-03-21,82
2022-03-22,86
2022-03-23,81
2022-03-24,87
2022-03-25,79
2022-03-26,84
2022-03-27,83
2022-03-28,82
2022-03-29,81
2022-03-30,83
2022-03-31,82
2022-04-01,79
2022-04-02,86
2022-04-03,84
2022-04-04,79
2022-04-05,83
2022-04-06,90
2022-04-07,80
2022-04-08,81
2022-04-09,85
2022-04-10,86
2022-04-11,87
2022-04-12,82
2022-04-13,84
2022-04-14,84
2022-04-15,83
2022-04-16,82
2022-04-17,87
2022-04-18,87
2022-04-19,80
2022-04-20,78
2022-04-21,80
2022-04-22,80
2022-04-23,88
2022-04-24,86
2022-04-25,83
2022-04-26,84
2022-04-27,82
2022-04-28,81
2022-04-29,78
2022-04-30,83
2022-05-01,84
2022-05-02,78
2022-05-03,83
2022-05-04,83
2022-05-05,83
2022-05-06,87
2022-05-07,90
2022-05-08,93
2022-05-09,81
2022-05-10,82
2022-05-11,82
2022-05-12,86
2022-05-13,84
2022-05-14,88
2022-05-15,93
2022-05-16,84
2022-05-17,90
2022-05-18,85
2022-05-19,89
2022-05-20,88
2022-05-21,92
2022-05-22,90
2022-05-23,87
2022-05-24,91
2022-05-25,88
2022-05-26,90
2022-05-27,92
2022-05-28,90
2022-05-29,89
2022-05-30,90
2022-05-31,88
2022-06-01,86
2022-06-02,82
2022-06-03,85
2022-06-04,85
2022-06-05,91
2022-06-06,88
2022-06-07,88
2022-06-08,86
2022-06-09,86
2022-06-10,88
2022-06-11,86
2022-06-12,90
2022-06-13,84
2022-06-14,85
2022-06-15,84
2022-06-16,91
2022-06-17,86
2022-06-18,87
2022-06-19,94
2022-06-20,92
2022-06-21,90
2022-06-22,94
2022-06-23,88
2022-06-24,91
2022-06-25,91
2022-06-26,93
2022-06-27,91
2022-06-28,89
2022-06-29,90
2022-06-30,89
2022-07-01,91
2022-07-02,85
2022-07-03,92
2022-07-04,96
2022-07-05,93
2022-07-06,89
2022-07-07,85
2022-07-08,87
2022-07-09,86
2022-07-10,90
2022-07-11,90
2022-07-12,89
2022-07-13,87
2022-07-14,88
2022-07-15,88
2022-07-16,85
2022-07-17,88
2022-07-18,89
2022-07-19,93
2022-07-20,91
2022-07-21,86
2022-07-22,89
2022-07-23,88
2022-07-24,90
2022-07-25,88
2022-07-26,90
2022-07-27,90
2022-07-28,88
2022-07-29,87
2022-07-30,86
2022-07-31,91
2022-08-01,87
2022-08-02,85
2022-08-03,84
2022-08-04,86
2022-08-05,82
2022-08-06,85
2022-08-07,91
2022-08-08,88
2022-08-09,86
2022-08-10,88
2022-08-11,84
2022-08-12,87
2022-08-13,90
2022-08-14,91
2022-08-15,86
2022-08-16,88
2022-08-17,85
2022-08-18,85
2022-08-19,84
2022-08-20,88
2022-08-21,88
2022-08-22,86
2022-08-23,87
2022-08-24,87
2022-08-25,84
2022-08-26,86
2022-08-27,87
2022-08-28,87
2022-08-29,81
2022-08-30,81
2022-08-31,82
2022-09-01,80
2022-09-02,78
2022-09-03,79
2022-09-04,83
2022-09-05,83
2022-09-06,82
2022-09-07,79
2022-09-08,79
2022-09-09,78
2022-09-10,81
2022-09-11,82
2022-09-12,78
2022-09-13,81
2022-09-14,83
2022-09-15,82
2022-09-16,82
2022-09-17,83
2022-09-18,84
2022-09-19,81
2022-09-20,82
2022-09-21,78
2022-09-22,82
2022-09-23,81
2022-09-24,83
2022-09-25,83
2022-09-26,80
2022-09-27,81
