Time,deep water
2024-08-18,62
2024-08-19,45
2024-08-20,44
2024-08-21,47
2024-08-22,44
2024-08-23,43
2024-08-24,43
2024-08-25,46
2024-08-26,47
2024-08-27,47
2024-08-28,47
2024-08-29,48
2024-08-30,44
2024-08-31,41
2024-09-01,51
2024-09-02,51
2024-09-03,49
2024-09-04,47
2024-09-05,48
2024-09-06,43
2024-09-07,42
2024-09-08,41
2024-09-09,39
2024-09-10,43
2024-09-11,43
2024-09-12,44
2024-09-13,47
2024-09-14,44
2024-09-15,44
2024-09-16,48
2024-09-17,43
2024-09-18,52
2024-09-19,51
2024-09-20,58
2024-09-21,41
2024-09-22,58
2024-09-23,55
2024-09-24,55
2024-09-25,43
2024-09-26,49
2024-09-27,53
2024-09-28,44
2024-09-29,52
2024-09-30,50
2024-10-01,50
2024-10-02,49
2024-10-03,51
2024-10-04,50
2024-10-05,46
2024-10-06,45
2024-10-07,55
2024-10-08,56
2024-10-09,53
2024-10-10,55
2024-10-11,51
2024-10-12,44
2024-10-13,51
2024-10-14,56
2024-10-15,51
2024-10-16,48
2024-10-17,47
2024-10-18,46
2024-10-19,38
2024-10-20,39
2024-10-21,56
2024-10-22,51
2024-10-23,51
2024-10-24,50
2024-10-25,60
2024-10-26,41
2024-10-27,49
2024-10-28,50
2024-10-29,54
2024-10-30,55
2024-10-31,54
2024-11-01,45
2024-11-02,49
2024-11-03,54
2024-11-04,65
2024-11-05,46
2024-11-06,36
2024-11-07,53
2024-11-08,66
2024-11-09,50
2024-11-10,52
2024-11-11,58
2024-11-12,60
2024-11-13,64
2024-11-14,58
2024-11-15,48
2024-11-16,49
2024-11-17,53
2024-11-18,58
2024-11-19,63
2024-11-20,61
2024-11-21,60
2024-11-22,56
2024-11-23,50
2024-11-24,52
2024-11-25,50
2024-11-26,45
2024-11-27,45
2024-11-28,43
2024-11-29,36
2024-11-30,46
2024-12-01,50
2024-12-02,60
2024-12-03,48
2024-12-04,50
2024-12-05,52
2024-12-06,47
2024-12-07,44
2024-12-08,44
2024-12-09,48
2024-12-10,56
2024-12-11,58
2024-12-12,58
2024-12-13,58
2024-12-14,41
2024-12-15,38
2024-12-16,44
2024-12-17,45
2024-12-18,39
2024-12-19,43
2024-12-20,38
2024-12-21,32
2024-12-22,34
2024-12-23,33
2024-12-24,37
2024-12-25,31
2024-12-26,31
2024-12-27,37
2024-12-28,44
2024-12-29,40
2024-12-30,35
2024-12-31,35
2025-01-01,34
2025-01-02,36
2025-01-03,38
2025-01-04,43
2025-01-05,42
2025-01-06,39
2025-01-07,49
2025-01-08,52
2025-01-09,49
2025-01-10,45
2025-01-11,46
2025-01-12,50
2025-01-13,50
2025-01-14,49
2025-01-15,75
2025-01-16,93
2025-01-17,75
2025-01-18,72
2025-01-19,74
2025-01-20,61
2025-01-21,53
2025-01-22,47
2025-01-23,51
2025-01-24,53
2025-01-25,51
2025-01-26,53
2025-01-27,62
2025-01-28,60
2025-01-29,67
2025-01-30,66
2025-01-31,70
2025-02-01,54
2025-02-02,53
2025-02-03,55
2025-02-04,66
2025-02-05,54
2025-02-06,50
2025-02-07,52
2025-02-08,45
2025-02-09,51
2025-02-10,53
2025-02-11,62
2025-02-12,60
2025-02-13,61
2025-02-14,57
2025-02-15,53
2025-02-16,56
2025-02-17,59
2025-02-18,60
2025-02-19,55
2025-02-20,60
2025-02-21,58
2025-02-22,51
2025-02-23,52
2025-02-24,59
2025-02-25,64
2025-02-26,78
2025-02-27,75
2025-02-28,66
2025-03-01,51
2025-03-02,53
2025-03-03,63
2025-03-04,59
2025-03-05,57
2025-03-06,57
2025-03-07,57
2025-03-08,56
2025-03-09,50
2025-03-10,54
2025-03-11,52
2025-03-12,59
2025-03-13,54
2025-03-14,51
2025-03-15,53
2025-03-16,57
2025-03-17,61
2025-03-18,57
2025-03-19,55
2025-03-20,58
2025-03-21,54
2025-03-22,55
2025-03-23,56
2025-03-24,58
2025-03-25,58
2025-03-26,62
2025-03-27,63
2025-03-28,61
2025-03-29,56
2025-03-30,54
2025-03-31,64
2025-04-01,56
2025-04-02,55
2025-04-03,60
2025-04-04,53
2025-04-05,51
2025-04-06,51
2025-04-07,63
2025-04-08,51
2025-04-09,53
2025-04-10,55
2025-04-11,57
2025-04-12,44
2025-04-13,55
2025-04-14,62
2025-04-15,51
2025-04-16,62
2025-04-17,58
2025-04-18,49
2025-04-19,54
2025-04-20,49
2025-04-21,62
2025-04-22,57
2025-04-23,60
2025-04-24,60
2025-04-25,48
2025-04-26,80
2025-04-27,84
2025-04-28,77
2025-04-29,70
2025-04-30,65
2025-05-01,69
2025-05-02,72
2025-05-03,65
2025-05-04,54
2025-05-05,60
2025-05-06,61
2025-05-07,62
2025-05-08,60
2025-05-09,53
2025-05-10,54
2025-05-11,54
2025-05-12,70
2025-05-13,100
2025-05-14,80
