Time,deep water
2023-12-22,23
2023-12-23,21
2023-12-24,19
2023-12-25,21
2023-12-26,23
2023-12-27,22
2023-12-28,23
2023-12-29,22
2023-12-30,24
2023-12-31,25
2024-01-01,22
2024-01-02,24
2024-01-03,23
2024-01-04,23
2024-01-05,23
2024-01-06,24
2024-01-07,21
2024-01-08,24
2024-01-09,26
2024-01-10,27
2024-01-11,27
2024-01-12,28
2024-01-13,25
2024-01-14,26
2024-01-15,27
2024-01-16,46
2024-01-17,44
2024-01-18,32
2024-01-19,31
2024-01-20,30
2024-01-21,31
2024-01-22,30
2024-01-23,28
2024-01-24,29
2024-01-25,29
2024-01-26,31
2024-01-27,27
2024-01-28,27
2024-01-29,31
2024-01-30,30
2024-01-31,32
2024-02-01,31
2024-02-02,26
2024-02-03,25
2024-02-04,25
2024-02-05,29
2024-02-06,31
2024-02-07,29
2024-02-08,30
2024-02-09,32
2024-02-10,30
2024-02-11,25
2024-02-12,29
2024-02-13,31
2024-02-14,28
2024-02-15,27
2024-02-16,31
2024-02-17,22
2024-02-18,31
2024-02-19,30
2024-02-20,32
2024-02-21,30
2024-02-22,35
2024-02-23,49
2024-02-24,39
2024-02-25,44
2024-02-26,39
2024-02-27,34
2024-02-28,31
2024-02-29,32
2024-03-01,29
2024-03-02,28
2024-03-03,30
2024-03-04,36
2024-03-05,32
2024-03-06,33
2024-03-07,33
2024-03-08,30
2024-03-09,26
2024-03-10,31
2024-03-11,33
2024-03-12,32
2024-03-13,31
2024-03-14,33
2024-03-15,33
2024-03-16,31
2024-03-17,29
2024-03-18,33
2024-03-19,32
2024-03-20,29
2024-03-21,32
2024-03-22,32
2024-03-23,25
2024-03-24,27
2024-03-25,31
2024-03-26,64
2024-03-27,51
2024-03-28,36
2024-03-29,28
2024-03-30,28
2024-03-31,28
2024-04-01,32
2024-04-02,33
2024-04-03,33
2024-04-04,29
2024-04-05,32
2024-04-06,31
2024-04-07,29
2024-04-08,30
2024-04-09,37
2024-04-10,33
2024-04-11,31
2024-04-12,31
2024-04-13,30
2024-04-14,35
2024-04-15,40
2024-04-16,38
2024-04-17,34
2024-04-18,32
2024-04-19,34
2024-04-20,33
2024-04-21,45
2024-04-22,37
2024-04-23,36
2024-04-24,33
2024-04-25,35
2024-04-26,30
2024-04-27,27
2024-04-28,34
2024-04-29,37
2024-04-30,36
2024-05-01,32
2024-05-02,31
2024-05-03,31
2024-05-04,28
2024-05-05,28
2024-05-06,39
2024-05-07,36
2024-05-08,31
2024-05-09,35
2024-05-10,36
2024-05-11,34
2024-05-12,32
2024-05-13,36
2024-05-14,32
2024-05-15,34
2024-05-16,30
2024-05-17,33
2024-05-18,30
2024-05-19,33
2024-05-20,33
2024-05-21,31
2024-05-22,28
2024-05-23,31
2024-05-24,29
2024-05-25,30
2024-05-26,33
2024-05-27,36
2024-05-28,31
2024-05-29,30
2024-05-30,26
2024-05-31,29
2024-06-01,28
2024-06-02,32
2024-06-03,33
2024-06-04,30
2024-06-05,33
2024-06-06,30
2024-06-07,30
2024-06-08,33
2024-06-09,34
2024-06-10,33
2024-06-11,30
2024-06-12,29
2024-06-13,29
2024-06-14,28
2024-06-15,36
2024-06-16,38
2024-06-17,37
2024-06-18,33
2024-06-19,36
2024-06-20,31
2024-06-21,35
2024-06-22,38
2024-06-23,39
2024-06-24,40
2024-06-25,53
2024-06-26,39
2024-06-27,32
2024-06-28,32
2024-06-29,43
2024-06-30,37
2024-07-01,32
2024-07-02,30
2024-07-03,33
2024-07-04,38
2024-07-05,36
2024-07-06,40
2024-07-07,40
2024-07-08,35
2024-07-09,30
2024-07-10,38
2024-07-11,36
2024-07-12,36
2024-07-13,34
2024-07-14,31
2024-07-15,32
2024-07-16,30
2024-07-17,31
2024-07-18,29
2024-07-19,28
2024-07-20,34
2024-07-21,32
2024-07-22,34
2024-07-23,28
2024-07-24,24
2024-07-25,30
2024-07-26,27
2024-07-27,100
2024-07-28,60
2024-07-29,38
2024-07-30,42
2024-07-31,37
2024-08-01,36
2024-08-02,38
2024-08-03,43
2024-08-04,38
2024-08-05,34
2024-08-06,49
2024-08-07,45
2024-08-08,55
2024-08-09,38
2024-08-10,38
2024-08-11,44
2024-08-12,29
2024-08-13,27
2024-08-14,27
2024-08-15,31
2024-08-16,27
2024-08-17,29
2024-08-18,37
2024-08-19,27
2024-08-20,26
2024-08-21,28
2024-08-22,27
2024-08-23,26
2024-08-24,26
2024-08-25,27
2024-08-26,28
2024-08-27,28
2024-08-28,28
2024-08-29,29
2024-08-30,27
2024-08-31,25
2024-09-01,30
2024-09-02,31
2024-09-03,30
2024-09-04,28
2024-09-05,29
2024-09-06,26
2024-09-07,25
2024-09-08,25
2024-09-09,23
2024-09-10,26
2024-09-11,26
2024-09-12,26
2024-09-13,28
2024-09-14,26
2024-09-15,26
2024-09-16,29
