Time,deep water
2022-08-29,78
2022-08-30,71
2022-08-31,71
2022-09-01,69
2022-09-02,72
2022-09-03,81
2022-09-04,90
2022-09-05,100
2022-09-06,73
2022-09-07,73
2022-09-08,58
2022-09-09,70
2022-09-10,75
2022-09-11,83
2022-09-12,72
2022-09-13,68
2022-09-14,72
2022-09-15,80
2022-09-16,74
2022-09-17,69
2022-09-18,89
2022-09-19,79
2022-09-20,74
2022-09-21,68
2022-09-22,73
2022-09-23,72
2022-09-24,69
2022-09-25,74
2022-09-26,71
2022-09-27,68
2022-09-28,71
2022-09-29,68
2022-09-30,62
2022-10-01,64
2022-10-02,62
2022-10-03,68
2022-10-04,62
2022-10-05,70
2022-10-06,69
2022-10-07,71
2022-10-08,64
2022-10-09,69
2022-10-10,70
2022-10-11,66
2022-10-12,67
2022-10-13,63
2022-10-14,63
2022-10-15,55
2022-10-16,58
2022-10-17,73
2022-10-18,62
2022-10-19,62
2022-10-20,61
2022-10-21,57
2022-10-22,56
2022-10-23,63
2022-10-24,66
2022-10-25,57
2022-10-26,61
2022-10-27,66
2022-10-28,61
2022-10-29,45
2022-10-30,48
2022-10-31,63
2022-11-01,54
2022-11-02,54
2022-11-03,58
2022-11-04,60
2022-11-05,48
2022-11-06,52
2022-11-07,64
2022-11-08,58
2022-11-09,61
2022-11-10,62
2022-11-11,58
2022-11-12,58
2022-11-13,62
2022-11-14,72
2022-11-15,67
2022-11-16,56
2022-11-17,59
2022-11-18,58
2022-11-19,48
2022-11-20,61
2022-11-21,61
2022-11-22,53
2022-11-23,42
2022-11-24,48
2022-11-25,42
2022-11-26,51
2022-11-27,58
2022-11-28,61
2022-11-29,60
2022-11-30,54
2022-12-01,59
2022-12-02,57
2022-12-03,50
2022-12-04,55
2022-12-05,64
2022-12-06,61
2022-12-07,66
2022-12-08,67
2022-12-09,58
2022-12-10,48
2022-12-11,53
2022-12-12,58
2022-12-13,60
2022-12-14,52
2022-12-15,55
2022-12-16,58
2022-12-17,48
2022-12-18,48
2022-12-19,48
2022-12-20,52
2022-12-21,49
2022-12-22,55
2022-12-23,54
2022-12-24,52
2022-12-25,53
2022-12-26,59
2022-12-27,65
2022-12-28,58
2022-12-29,53
2022-12-30,54
2022-12-31,59
2023-01-01,51
2023-01-02,53
2023-01-03,50
2023-01-04,63
2023-01-05,69
2023-01-06,67
2023-01-07,65
2023-01-08,100
2023-01-09,71
2023-01-10,62
2023-01-11,71
2023-01-12,68
2023-01-13,78
2023-01-14,68
2023-01-15,67
2023-01-16,71
2023-01-17,67
2023-01-18,68
2023-01-19,67
2023-01-20,71
2023-01-21,87
2023-01-22,76
2023-01-23,71
2023-01-24,69
2023-01-25,77
2023-01-26,68
2023-01-27,71
2023-01-28,68
2023-01-29,65
2023-01-30,69
2023-01-31,69
2023-02-01,64
2023-02-02,64
2023-02-03,73
2023-02-04,68
2023-02-05,83
2023-02-06,69
2023-02-07,67
2023-02-08,72
2023-02-09,65
2023-02-10,68
2023-02-11,57
2023-02-12,58
2023-02-13,55
2023-02-14,74
2023-02-15,64
2023-02-16,69
2023-02-17,64
2023-02-18,63
2023-02-19,69
2023-02-20,68
2023-02-21,73
2023-02-22,64
2023-02-23,72
2023-02-24,75
2023-02-25,64
2023-02-26,67
2023-02-27,77
2023-02-28,75
2023-03-01,70
2023-03-02,74
2023-03-03,77
2023-03-04,58
2023-03-05,71
2023-03-06,71
2023-03-07,72
2023-03-08,73
2023-03-09,74
2023-03-10,75
2023-03-11,67
2023-03-12,73
2023-03-13,72
2023-03-14,71
2023-03-15,65
2023-03-16,68
2023-03-17,68
2023-03-18,57
2023-03-19,72
2023-03-20,72
2023-03-21,76
2023-03-22,68
2023-03-23,73
2023-03-24,69
2023-03-25,59
2023-03-26,70
2023-03-27,66
2023-03-28,71
2023-03-29,74
2023-03-30,70
2023-03-31,65
2023-04-01,64
2023-04-02,63
2023-04-03,74
2023-04-04,80
2023-04-05,71
2023-04-06,74
2023-04-07,65
2023-04-08,62
2023-04-09,77
2023-04-10,76
2023-04-11,72
2023-04-12,71
2023-04-13,80
2023-04-14,76
2023-04-15,67
2023-04-16,80
2023-04-17,78
2023-04-18,71
2023-04-19,75
2023-04-20,72
2023-04-21,81
2023-04-22,72
2023-04-23,72
2023-04-24,82
2023-04-25,73
2023-04-26,79
2023-04-27,70
2023-04-28,75
2023-04-29,72
2023-04-30,71
2023-05-01,69
2023-05-02,78
2023-05-03,78
2023-05-04,72
2023-05-05,71
2023-05-06,67
2023-05-07,74
2023-05-08,81
2023-05-09,67
2023-05-10,76
2023-05-11,71
2023-05-12,65
2023-05-13,84
2023-05-14,71
2023-05-15,78
2023-05-16,71
2023-05-17,71
2023-05-18,80
2023-05-19,73
2023-05-20,57
2023-05-21,66
2023-05-22,82
2023-05-23,76
2023-05-24,74
2023-05-25,70
