Time,deep water
2025-04-15,51
2025-04-16,62
2025-04-17,58
2025-04-18,49
2025-04-19,54
2025-04-20,49
2025-04-21,62
2025-04-22,57
2025-04-23,60
2025-04-24,60
2025-04-25,48
2025-04-26,80
2025-04-27,84
2025-04-28,77
2025-04-29,70
2025-04-30,65
2025-05-01,69
2025-05-02,72
2025-05-03,65
2025-05-04,54
2025-05-05,60
2025-05-06,61
2025-05-07,62
2025-05-08,60
2025-05-09,53
2025-05-10,54
2025-05-11,54
2025-05-12,70
2025-05-13,100
2025-05-14,80
2025-05-15,74
2025-05-16,69
2025-05-17,68
2025-05-18,64
2025-05-19,59
2025-05-20,57
2025-05-21,58
2025-05-22,49
2025-05-23,49
2025-05-24,49
2025-05-25,63
2025-05-26,59
2025-05-27,59
2025-05-28,52
2025-05-29,51
2025-05-30,50
2025-05-31,54
2025-06-01,62
2025-06-02,52
2025-06-03,57
2025-06-04,54
2025-06-05,59
2025-06-06,54
2025-06-07,57
2025-06-08,62
2025-06-09,65
2025-06-10,61
2025-06-11,68
2025-06-12,60
2025-06-13,53
2025-06-14,59
2025-06-15,62
2025-06-16,76
2025-06-17,63
2025-06-18,55
2025-06-19,55
2025-06-20,61
2025-06-21,63
2025-06-22,74
2025-06-23,65
2025-06-24,66
2025-06-25,53
2025-06-26,59
2025-06-27,59
2025-06-28,64
2025-06-29,76
2025-06-30,69
2025-07-01,64
2025-07-02,56
2025-07-03,54
2025-07-04,56
2025-07-05,73
2025-07-06,80
2025-07-07,65
2025-07-08,62
2025-07-09,60
2025-07-10,60
2025-07-11,68
2025-07-12,67
2025-07-13,69
2025-07-14,59
2025-07-15,55
2025-07-16,58
2025-07-17,69
2025-07-18,57
2025-07-19,80
2025-07-20,79
2025-07-21,80
2025-07-22,68
2025-07-23,65
2025-07-24,70
2025-07-25,68
2025-07-26,73
2025-07-27,67
2025-07-28,64
2025-07-29,67
2025-07-30,78
2025-07-31,84
2025-08-01,60
2025-08-02,60
2025-08-03,65
2025-08-04,53
2025-08-05,56
2025-08-06,50
2025-08-07,61
2025-08-08,54
2025-08-09,66
2025-08-10,75
2025-08-11,61
2025-08-12,48
2025-08-13,51
2025-08-14,48
2025-08-15,50
2025-08-16,53
2025-08-17,57
2025-08-18,51
2025-08-19,53
2025-08-20,49
2025-08-21,49
2025-08-22,50
2025-08-23,52
2025-08-24,57
2025-08-25,54
2025-08-26,47
2025-08-27,51
2025-08-28,47
2025-08-29,50
2025-08-30,50
2025-08-31,64
2025-09-01,60
2025-09-02,53
2025-09-03,52
2025-09-04,50
2025-09-05,52
2025-09-06,45
2025-09-07,52
2025-09-08,57
2025-09-09,56
2025-09-10,51
2025-09-11,50
2025-09-12,48
2025-09-13,42
2025-09-14,47
2025-09-15,48
2025-09-16,56
2025-09-17,64
2025-09-18,65
2025-09-19,60
2025-09-20,68
2025-09-21,57
2025-09-22,59
2025-09-23,60
2025-09-24,63
2025-09-25,56
2025-09-26,63
2025-09-27,66
2025-09-28,60
2025-09-29,61
2025-09-30,62
2025-10-01,57
2025-10-02,57
2025-10-03,57
2025-10-04,44
2025-10-05,55
2025-10-06,57
2025-10-07,56
2025-10-08,57
2025-10-09,54
2025-10-10,49
2025-10-11,45
2025-10-12,44
2025-10-13,55
2025-10-14,55
2025-10-15,54
2025-10-16,57
2025-10-17,55
2025-10-18,44
2025-10-19,55
2025-10-20,53
2025-10-21,53
2025-10-22,52
2025-10-23,58
2025-10-24,50
2025-10-25,39
2025-10-26,46
2025-10-27,55
2025-10-28,54
2025-10-29,58
2025-10-30,61
2025-10-31,50
2025-11-01,49
2025-11-02,60
2025-11-03,67
2025-11-04,59
2025-11-05,65
2025-11-06,57
2025-11-07,65
2025-11-08,48
2025-11-09,56
2025-11-10,66
2025-11-11,64
2025-11-12,63
2025-11-13,60
2025-11-14,55
2025-11-15,46
2025-11-16,57
2025-11-17,67
2025-11-18,62
2025-11-19,72
2025-11-20,70
2025-11-21,58
2025-11-22,50
2025-11-23,51
2025-11-24,54
2025-11-25,64
2025-11-26,61
2025-11-27,53
2025-11-28,52
2025-11-29,52
2025-11-30,56
2025-12-01,63
2025-12-02,63
2025-12-03,64
2025-12-04,71
2025-12-05,63
2025-12-06,54
2025-12-07,52
2025-12-08,66
2025-12-09,67
2025-12-10,68
2025-12-11,62
2025-12-12,60
2025-12-13,57
2025-12-14,57
2025-12-15,65
2025-12-16,63
2025-12-17,65
2025-12-18,60
2025-12-19,55
2025-12-20,54
2025-12-21,51
2025-12-22,48
2025-12-23,52
2025-12-24,55
2025-12-25,47
2025-12-26,56
2025-12-27,57
2025-12-28,56
2025-12-29,53
2025-12-30,61
2025-12-31,64
2026-01-01,45
2026-01-02,59
2026-01-03,61
2026-01-04,56
2026-01-05,52
2026-01-06,57
2026-01-07,63
2026-01-08,63
2026-01-09,65
