Time,sephora
2022-01-01,57
2022-01-02,66
2022-01-03,54
2022-01-04,59
2022-01-05,54
2022-01-06,42
2022-01-07,46
2022-01-08,57
2022-01-09,56
2022-01-10,43
2022-01-11,45
2022-01-12,46
2022-01-13,45
2022-01-14,41
2022-01-15,55
2022-01-16,47
2022-01-17,44
2022-01-18,40
2022-01-19,41
2022-01-20,42
2022-01-21,45
2022-01-22,52
2022-01-23,53
2022-01-24,50
2022-01-25,37
2022-01-26,40
2022-01-27,40
2022-01-28,44
2022-01-29,50
2022-01-30,57
2022-01-31,41
2022-02-01,43
2022-02-02,45
2022-02-03,43
2022-02-04,57
2022-02-05,53
2022-02-06,53
2022-02-07,43
2022-02-08,47
2022-02-09,45
2022-02-10,40
2022-02-11,50
2022-02-12,64
2022-02-13,53
2022-02-14,41
2022-02-15,41
2022-02-16,42
2022-02-17,44
2022-02-18,47
2022-02-19,56
2022-02-20,58
2022-02-21,50
2022-02-22,44
2022-02-23,46
2022-02-24,44
2022-02-25,47
2022-02-26,49
2022-02-27,55
2022-02-28,43
2022-03-01,44
2022-03-02,44
2022-03-03,45
2022-03-04,50
2022-03-05,55
2022-03-06,57
2022-03-07,47
2022-03-08,46
2022-03-09,45
2022-03-10,45
2022-03-11,45
2022-03-12,59
2022-03-13,53
2022-03-14,48
2022-03-15,45
2022-03-16,49
2022-03-17,48
2022-03-18,51
2022-03-19,57
2022-03-20,56
2022-03-21,47
2022-03-22,46
2022-03-23,47
2022-03-24,48
2022-03-25,48
2022-03-26,59
2022-03-27,55
2022-03-28,42
2022-03-29,43
2022-03-30,53
2022-03-31,60
2022-04-01,97
2022-04-02,100
2022-04-03,90
2022-04-04,66
2022-04-05,78
2022-04-06,77
2022-04-07,77
2022-04-08,71
2022-04-09,84
2022-04-10,89
2022-04-11,75
2022-04-12,57
2022-04-13,45
2022-04-14,47
2022-04-15,51
2022-04-16,51
2022-04-17,50
2022-04-18,48
2022-04-19,44
2022-04-20,45
2022-04-21,47
2022-04-22,47
2022-04-23,55
2022-04-24,56
2022-04-25,45
2022-04-26,41
2022-04-27,42
2022-04-28,42
2022-04-29,45
2022-04-30,54
2022-05-01,55
2022-05-02,43
2022-05-03,44
2022-05-04,45
2022-05-05,40
2022-05-06,50
2022-05-07,59
2022-05-08,58
2022-05-09,44
2022-05-10,49
2022-05-11,42
2022-05-12,45
2022-05-13,46
2022-05-14,57
2022-05-15,51
2022-05-16,42
2022-05-17,42
2022-05-18,44
2022-05-19,44
2022-05-20,46
2022-05-21,52
2022-05-22,52
2022-05-23,44
2022-05-24,44
2022-05-25,42
2022-05-26,42
2022-05-27,46
2022-05-28,55
2022-05-29,58
2022-05-30,55
2022-05-31,47
2022-06-01,44
2022-06-02,44
2022-06-03,49
2022-06-04,61
2022-06-05,53
2022-06-06,42
2022-06-07,45
2022-06-08,44
2022-06-09,46
2022-06-10,47
2022-06-11,47
2022-06-12,52
2022-06-13,40
2022-06-14,40
2022-06-15,44
2022-06-16,46
2022-06-17,48
2022-06-18,50
2022-06-19,48
2022-06-20,48
2022-06-21,43
2022-06-22,45
2022-06-23,46
2022-06-24,42
2022-06-25,48
2022-06-26,46
2022-06-27,44
2022-06-28,42
2022-06-29,45
2022-06-30,44
2022-07-01,54
2022-07-02,54
2022-07-03,52
2022-07-04,50
2022-07-05,44
2022-07-06,43
2022-07-07,43
2022-07-08,47
2022-07-09,51
2022-07-10,52
2022-07-11,45
2022-07-12,47
2022-07-13,46
2022-07-14,47
2022-07-15,46
2022-07-16,53
2022-07-17,49
2022-07-18,45
2022-07-19,43
2022-07-20,46
2022-07-21,48
2022-07-22,45
2022-07-23,53
2022-07-24,50
2022-07-25,45
2022-07-26,44
2022-07-27,47
2022-07-28,46
2022-07-29,52
2022-07-30,52
2022-07-31,51
2022-08-01,44
2022-08-02,47
2022-08-03,44
2022-08-04,44
2022-08-05,51
2022-08-06,52
2022-08-07,53
2022-08-08,45
2022-08-09,45
2022-08-10,47
2022-08-11,44
2022-08-12,48
2022-08-13,52
2022-08-14,53
2022-08-15,44
2022-08-16,45
2022-08-17,45
2022-08-18,45
2022-08-19,48
2022-08-20,53
2022-08-21,57
2022-08-22,43
2022-08-23,43
2022-08-24,55
2022-08-25,42
2022-08-26,44
2022-08-27,54
2022-08-28,53
2022-08-29,42
2022-08-30,43
2022-08-31,43
2022-09-01,44
2022-09-02,46
2022-09-03,55
2022-09-04,57
2022-09-05,57
2022-09-06,43
2022-09-07,43
2022-09-08,40
2022-09-09,45
2022-09-10,55
2022-09-11,51
2022-09-12,44
2022-09-13,43
2022-09-14,43
2022-09-15,44
2022-09-16,47
2022-09-17,58
2022-09-18,51
2022-09-19,47
2022-09-20,44
2022-09-21,41
2022-09-22,42
2022-09-23,45
2022-09-24,52
2022-09-25,52
2022-09-26,43
2022-09-27,43
