Time,jack harlow
2024-08-18,47
2024-08-19,29
2024-08-20,29
2024-08-21,45
2024-08-22,65
2024-08-23,36
2024-08-24,39
2024-08-25,43
2024-08-26,25
2024-08-27,25
2024-08-28,24
2024-08-29,25
2024-08-30,27
2024-08-31,31
2024-09-01,31
2024-09-02,27
2024-09-03,23
2024-09-04,22
2024-09-05,25
2024-09-06,36
2024-09-07,34
2024-09-08,30
2024-09-09,23
2024-09-10,31
2024-09-11,24
2024-09-12,22
2024-09-13,30
2024-09-14,30
2024-09-15,25
2024-09-16,26
2024-09-17,25
2024-09-18,30
2024-09-19,24
2024-09-20,26
2024-09-21,28
2024-09-22,30
2024-09-23,21
2024-09-24,22
2024-09-25,22
2024-09-26,19
2024-09-27,20
2024-09-28,33
2024-09-29,27
2024-09-30,23
2024-10-01,26
2024-10-02,30
2024-10-03,30
2024-10-04,47
2024-10-05,42
2024-10-06,32
2024-10-07,26
2024-10-08,28
2024-10-09,25
2024-10-10,29
2024-10-11,26
2024-10-12,31
2024-10-13,26
2024-10-14,29
2024-10-15,32
2024-10-16,26
2024-10-17,33
2024-10-18,29
2024-10-19,34
2024-10-20,29
2024-10-21,24
2024-10-22,24
2024-10-23,26
2024-10-24,25
2024-10-25,24
2024-10-26,38
2024-10-27,31
2024-10-28,35
2024-10-29,22
2024-10-30,28
2024-10-31,25
2024-11-01,26
2024-11-02,27
2024-11-03,33
2024-11-04,20
2024-11-05,18
2024-11-06,12
2024-11-07,18
2024-11-08,25
2024-11-09,26
2024-11-10,28
2024-11-11,22
2024-11-12,20
2024-11-13,20
2024-11-14,25
2024-11-15,21
2024-11-16,27
2024-11-17,30
2024-11-18,20
2024-11-19,36
2024-11-20,26
2024-11-21,39
2024-11-22,44
2024-11-23,48
2024-11-24,41
2024-11-25,34
2024-11-26,34
2024-11-27,41
2024-11-28,68
2024-11-29,43
2024-11-30,51
2024-12-01,59
2024-12-02,38
2024-12-03,32
2024-12-04,37
2024-12-05,35
2024-12-06,35
2024-12-07,38
2024-12-08,32
2024-12-09,24
2024-12-10,32
2024-12-11,33
2024-12-12,33
2024-12-13,31
2024-12-14,34
2024-12-15,29
2024-12-16,32
2024-12-17,36
2024-12-18,27
2024-12-19,27
2024-12-20,31
2024-12-21,33
2024-12-22,39
2024-12-23,64
2024-12-24,50
2024-12-25,31
2024-12-26,38
2024-12-27,36
2024-12-28,37
2024-12-29,36
2024-12-30,58
2024-12-31,43
2025-01-01,41
2025-01-02,36
2025-01-03,34
2025-01-04,38
2025-01-05,34
2025-01-06,31
2025-01-07,26
2025-01-08,33
2025-01-09,33
2025-01-10,42
2025-01-11,44
2025-01-12,34
2025-01-13,25
2025-01-14,24
2025-01-15,32
2025-01-16,30
2025-01-17,26
2025-01-18,32
2025-01-19,25
2025-01-20,29
2025-01-21,21
2025-01-22,22
2025-01-23,25
2025-01-24,40
2025-01-25,28
2025-01-26,25
2025-01-27,26
2025-01-28,27
2025-01-29,25
2025-01-30,24
2025-01-31,24
2025-02-01,25
2025-02-02,31
2025-02-03,31
2025-02-04,25
2025-02-05,26
2025-02-06,22
2025-02-07,24
2025-02-08,31
2025-02-09,30
2025-02-10,33
2025-02-11,20
2025-02-12,32
2025-02-13,30
2025-02-14,36
2025-02-15,48
2025-02-16,41
2025-02-17,37
2025-02-18,28
2025-02-19,30
2025-02-20,27
2025-02-21,26
2025-02-22,32
2025-02-23,30
2025-02-24,33
2025-02-25,26
2025-02-26,25
2025-02-27,21
2025-02-28,21
2025-03-01,29
2025-03-02,26
2025-03-03,17
2025-03-04,23
2025-03-05,26
2025-03-06,18
2025-03-07,21
2025-03-08,29
2025-03-09,21
2025-03-10,20
2025-03-11,19
2025-03-12,24
2025-03-13,28
2025-03-14,35
2025-03-15,26
2025-03-16,31
2025-03-17,23
2025-03-18,26
2025-03-19,30
2025-03-20,29
2025-03-21,100
2025-03-22,100
2025-03-23,77
2025-03-24,55
2025-03-25,52
2025-03-26,45
2025-03-27,48
2025-03-28,39
2025-03-29,52
2025-03-30,40
2025-03-31,31
2025-04-01,29
2025-04-02,29
2025-04-03,29
2025-04-04,37
2025-04-05,48
2025-04-06,41
2025-04-07,30
2025-04-08,28
2025-04-09,29
2025-04-10,26
2025-04-11,28
2025-04-12,32
2025-04-13,30
2025-04-14,22
2025-04-15,27
2025-04-16,25
2025-04-17,29
2025-04-18,28
2025-04-19,31
2025-04-20,31
2025-04-21,28
2025-04-22,24
2025-04-23,21
2025-04-24,30
2025-04-25,25
2025-04-26,28
2025-04-27,30
2025-04-28,22
2025-04-29,24
2025-04-30,21
2025-05-01,23
2025-05-02,24
2025-05-03,34
2025-05-04,32
2025-05-05,27
2025-05-06,27
2025-05-07,28
2025-05-08,25
2025-05-09,25
2025-05-10,27
2025-05-11,25
2025-05-12,17
2025-05-13,20
2025-05-14,25
