Time,yahoo
2022-08-29,98
2022-08-30,96
2022-08-31,94
2022-09-01,91
2022-09-02,88
2022-09-03,69
2022-09-04,70
2022-09-05,73
2022-09-06,95
2022-09-07,100
2022-09-08,99
2022-09-09,93
2022-09-10,65
2022-09-11,73
2022-09-12,91
2022-09-13,98
2022-09-14,94
2022-09-15,95
2022-09-16,90
2022-09-17,69
2022-09-18,69
2022-09-19,91
2022-09-20,94
2022-09-21,92
2022-09-22,90
2022-09-23,86
2022-09-24,66
2022-09-25,66
2022-09-26,88
2022-09-27,89
2022-09-28,92
2022-09-29,84
2022-09-30,86
2022-10-01,62
2022-10-02,67
2022-10-03,88
2022-10-04,93
2022-10-05,91
2022-10-06,92
2022-10-07,88
2022-10-08,67
2022-10-09,67
2022-10-10,87
2022-10-11,93
2022-10-12,89
2022-10-13,87
2022-10-14,84
2022-10-15,64
2022-10-16,66
2022-10-17,92
2022-10-18,93
2022-10-19,91
2022-10-20,91
2022-10-21,88
2022-10-22,65
2022-10-23,69
2022-10-24,86
2022-10-25,92
2022-10-26,89
2022-10-27,90
2022-10-28,87
2022-10-29,66
2022-10-30,65
2022-10-31,94
2022-11-01,91
2022-11-02,89
2022-11-03,90
2022-11-04,86
2022-11-05,66
2022-11-06,64
2022-11-07,84
2022-11-08,87
2022-11-09,90
2022-11-10,92
2022-11-11,80
2022-11-12,69
2022-11-13,68
2022-11-14,86
2022-11-15,91
2022-11-16,91
2022-11-17,92
2022-11-18,88
2022-11-19,65
2022-11-20,68
2022-11-21,86
2022-11-22,89
2022-11-23,84
2022-11-24,61
2022-11-25,73
2022-11-26,62
2022-11-27,67
2022-11-28,81
2022-11-29,86
2022-11-30,85
2022-12-01,88
2022-12-02,85
2022-12-03,65
2022-12-04,68
2022-12-05,81
2022-12-06,87
2022-12-07,88
2022-12-08,89
2022-12-09,85
2022-12-10,70
2022-12-11,65
2022-12-12,86
2022-12-13,92
2022-12-14,87
2022-12-15,88
2022-12-16,91
2022-12-17,67
2022-12-18,64
2022-12-19,87
2022-12-20,89
2022-12-21,91
2022-12-22,87
2022-12-23,78
2022-12-24,65
2022-12-25,63
2022-12-26,74
2022-12-27,91
2022-12-28,95
2022-12-29,87
2022-12-30,83
2022-12-31,66
2023-01-01,63
2023-01-02,74
2023-01-03,91
2023-01-04,96
2023-01-05,85
2023-01-06,83
2023-01-07,69
2023-01-08,68
2023-01-09,90
2023-01-10,89
2023-01-11,89
2023-01-12,81
2023-01-13,86
2023-01-14,68
2023-01-15,62
2023-01-16,76
2023-01-17,87
2023-01-18,87
2023-01-19,87
2023-01-20,84
2023-01-21,64
2023-01-22,61
2023-01-23,84
2023-01-24,90
2023-01-25,90
2023-01-26,88
2023-01-27,85
2023-01-28,68
2023-01-29,59
2023-01-30,85
2023-01-31,92
2023-02-01,86
2023-02-02,81
2023-02-03,89
2023-02-04,66
2023-02-05,67
2023-02-06,86
2023-02-07,88
2023-02-08,88
2023-02-09,87
2023-02-10,86
2023-02-11,67
2023-02-12,64
2023-02-13,82
2023-02-14,91
2023-02-15,90
2023-02-16,91
2023-02-17,83
2023-02-18,67
2023-02-19,59
2023-02-20,78
2023-02-21,87
2023-02-22,82
2023-02-23,81
2023-02-24,82
2023-02-25,68
2023-02-26,61
2023-02-27,89
2023-02-28,84
2023-03-01,88
2023-03-02,85
2023-03-03,88
2023-03-04,66
2023-03-05,61
2023-03-06,84
2023-03-07,83
2023-03-08,87
2023-03-09,88
2023-03-10,85
2023-03-11,67
2023-03-12,66
2023-03-13,90
2023-03-14,85
2023-03-15,91
2023-03-16,92
2023-03-17,85
2023-03-18,62
2023-03-19,65
2023-03-20,88
2023-03-21,93
2023-03-22,87
2023-03-23,90
2023-03-24,84
2023-03-25,65
2023-03-26,63
2023-03-27,85
2023-03-28,95
2023-03-29,88
2023-03-30,86
2023-03-31,80
2023-04-01,68
2023-04-02,63
2023-04-03,85
2023-04-04,86
2023-04-05,88
2023-04-06,87
2023-04-07,78
2023-04-08,62
2023-04-09,59
2023-04-10,83
2023-04-11,92
2023-04-12,87
2023-04-13,88
2023-04-14,82
2023-04-15,65
2023-04-16,62
2023-04-17,85
2023-04-18,87
2023-04-19,88
2023-04-20,85
2023-04-21,84
2023-04-22,66
2023-04-23,63
2023-04-24,83
2023-04-25,83
2023-04-26,85
2023-04-27,83
2023-04-28,79
2023-04-29,62
2023-04-30,62
2023-05-01,85
2023-05-02,85
2023-05-03,86
2023-05-04,85
2023-05-05,83
2023-05-06,63
2023-05-07,62
2023-05-08,84
2023-05-09,86
2023-05-10,89
2023-05-11,83
2023-05-12,82
2023-05-13,63
2023-05-14,57
2023-05-15,87
2023-05-16,89
2023-05-17,84
2023-05-18,85
2023-05-19,84
2023-05-20,61
2023-05-21,60
2023-05-22,84
2023-05-23,85
2023-05-24,86
2023-05-25,80
