Time,yahoo
2023-12-22,95
2023-12-23,74
2023-12-24,69
2023-12-25,72
2023-12-26,91
2023-12-27,94
2023-12-28,92
2023-12-29,92
2023-12-30,71
2023-12-31,70
2024-01-01,73
2024-01-02,99
2024-01-03,100
2024-01-04,95
2024-01-05,95
2024-01-06,73
2024-01-07,65
2024-01-08,91
2024-01-09,97
2024-01-10,99
2024-01-11,95
2024-01-12,94
2024-01-13,71
2024-01-14,67
2024-01-15,83
2024-01-16,87
2024-01-17,94
2024-01-18,92
2024-01-19,92
2024-01-20,72
2024-01-21,67
2024-01-22,95
2024-01-23,90
2024-01-24,99
2024-01-25,96
2024-01-26,85
2024-01-27,62
2024-01-28,58
2024-01-29,81
2024-01-30,88
2024-01-31,80
2024-02-01,86
2024-02-02,82
2024-02-03,59
2024-02-04,56
2024-02-05,81
2024-02-06,84
2024-02-07,85
2024-02-08,82
2024-02-09,81
2024-02-10,62
2024-02-11,55
2024-02-12,79
2024-02-13,80
2024-02-14,81
2024-02-15,88
2024-02-16,80
2024-02-17,59
2024-02-18,59
2024-02-19,74
2024-02-20,84
2024-02-21,82
2024-02-22,82
2024-02-23,79
2024-02-24,59
2024-02-25,55
2024-02-26,82
2024-02-27,84
2024-02-28,80
2024-02-29,84
2024-03-01,80
2024-03-02,58
2024-03-03,55
2024-03-04,80
2024-03-05,90
2024-03-06,85
2024-03-07,80
2024-03-08,84
2024-03-09,59
2024-03-10,55
2024-03-11,85
2024-03-12,79
2024-03-13,83
2024-03-14,82
2024-03-15,81
2024-03-16,60
2024-03-17,55
2024-03-18,88
2024-03-19,83
2024-03-20,85
2024-03-21,89
2024-03-22,81
2024-03-23,62
2024-03-24,57
2024-03-25,83
2024-03-26,85
2024-03-27,84
2024-03-28,83
2024-03-29,74
2024-03-30,57
2024-03-31,55
2024-04-01,83
2024-04-02,80
2024-04-03,81
2024-04-04,80
2024-04-05,77
2024-04-06,56
2024-04-07,55
2024-04-08,77
2024-04-09,81
2024-04-10,83
2024-04-11,77
2024-04-12,78
2024-04-13,59
2024-04-14,58
2024-04-15,81
2024-04-16,83
2024-04-17,84
2024-04-18,78
2024-04-19,77
2024-04-20,57
2024-04-21,57
2024-04-22,79
2024-04-23,78
2024-04-24,75
2024-04-25,78
2024-04-26,77
2024-04-27,54
2024-04-28,56
2024-04-29,82
2024-04-30,82
2024-05-01,81
2024-05-02,79
2024-05-03,76
2024-05-04,56
2024-05-05,53
2024-05-06,76
2024-05-07,80
2024-05-08,78
2024-05-09,79
2024-05-10,75
2024-05-11,54
2024-05-12,52
2024-05-13,77
2024-05-14,81
2024-05-15,79
2024-05-16,75
2024-05-17,76
2024-05-18,56
2024-05-19,53
2024-05-20,81
2024-05-21,82
2024-05-22,83
2024-05-23,81
2024-05-24,75
2024-05-25,55
2024-05-26,55
2024-05-27,57
2024-05-28,79
2024-05-29,78
2024-05-30,80
2024-05-31,84
2024-06-01,54
2024-06-02,56
2024-06-03,74
2024-06-04,81
2024-06-05,81
2024-06-06,82
2024-06-07,81
2024-06-08,54
2024-06-09,53
2024-06-10,86
2024-06-11,80
2024-06-12,81
2024-06-13,77
2024-06-14,75
2024-06-15,56
2024-06-16,51
2024-06-17,80
2024-06-18,78
2024-06-19,72
2024-06-20,78
2024-06-21,75
2024-06-22,53
2024-06-23,52
2024-06-24,80
2024-06-25,78
2024-06-26,79
2024-06-27,76
2024-06-28,78
2024-06-29,54
2024-06-30,52
2024-07-01,81
2024-07-02,80
2024-07-03,74
2024-07-04,58
2024-07-05,68
2024-07-06,53
2024-07-07,51
2024-07-08,79
2024-07-09,74
2024-07-10,79
2024-07-11,73
2024-07-12,77
2024-07-13,57
2024-07-14,59
2024-07-15,81
2024-07-16,78
2024-07-17,80
2024-07-18,81
2024-07-19,80
2024-07-20,59
2024-07-21,56
2024-07-22,84
2024-07-23,84
2024-07-24,83
2024-07-25,81
2024-07-26,77
2024-07-27,55
2024-07-28,53
2024-07-29,77
2024-07-30,82
2024-07-31,78
2024-08-01,84
2024-08-02,80
2024-08-03,57
2024-08-04,55
2024-08-05,87
2024-08-06,84
2024-08-07,83
2024-08-08,84
2024-08-09,79
2024-08-10,56
2024-08-11,55
2024-08-12,82
2024-08-13,81
2024-08-14,84
2024-08-15,85
2024-08-16,80
2024-08-17,58
2024-08-18,58
2024-08-19,81
2024-08-20,86
2024-08-21,84
2024-08-22,78
2024-08-23,82
2024-08-24,63
2024-08-25,64
2024-08-26,87
2024-08-27,86
2024-08-28,88
2024-08-29,86
2024-08-30,82
2024-08-31,60
2024-09-01,61
2024-09-02,68
2024-09-03,91
2024-09-04,90
2024-09-05,86
2024-09-06,81
2024-09-07,58
2024-09-08,60
2024-09-09,81
2024-09-10,79
2024-09-11,80
2024-09-12,81
2024-09-13,77
2024-09-14,54
2024-09-15,58
2024-09-16,80
