Time,yahoo
2022-01-01,56
2022-01-02,60
2022-01-03,79
2022-01-04,99
2022-01-05,89
2022-01-06,71
2022-01-07,83
2022-01-08,65
2022-01-09,60
2022-01-10,81
2022-01-11,83
2022-01-12,84
2022-01-13,80
2022-01-14,69
2022-01-15,61
2022-01-16,54
2022-01-17,63
2022-01-18,79
2022-01-19,78
2022-01-20,81
2022-01-21,80
2022-01-22,65
2022-01-23,56
2022-01-24,100
2022-01-25,74
2022-01-26,77
2022-01-27,81
2022-01-28,87
2022-01-29,67
2022-01-30,63
2022-01-31,88
2022-02-01,90
2022-02-02,86
2022-02-03,85
2022-02-04,83
2022-02-05,64
2022-02-06,63
2022-02-07,84
2022-02-08,82
2022-02-09,81
2022-02-10,76
2022-02-11,84
2022-02-12,64
2022-02-13,58
2022-02-14,79
2022-02-15,80
2022-02-16,84
2022-02-17,83
2022-02-18,77
2022-02-19,59
2022-02-20,57
2022-02-21,71
2022-02-22,84
2022-02-23,80
2022-02-24,88
2022-02-25,84
2022-02-26,64
2022-02-27,60
2022-02-28,86
2022-03-01,87
2022-03-02,86
2022-03-03,87
2022-03-04,81
2022-03-05,63
2022-03-06,58
2022-03-07,83
2022-03-08,83
2022-03-09,86
2022-03-10,81
2022-03-11,78
2022-03-12,61
2022-03-13,58
2022-03-14,79
2022-03-15,85
2022-03-16,85
2022-03-17,84
2022-03-18,77
2022-03-19,62
2022-03-20,59
2022-03-21,82
2022-03-22,82
2022-03-23,84
2022-03-24,83
2022-03-25,74
2022-03-26,59
2022-03-27,58
2022-03-28,78
2022-03-29,80
2022-03-30,78
2022-03-31,81
2022-04-01,76
2022-04-02,64
2022-04-03,59
2022-04-04,78
2022-04-05,81
2022-04-06,81
2022-04-07,75
2022-04-08,79
2022-04-09,61
2022-04-10,58
2022-04-11,81
2022-04-12,85
2022-04-13,87
2022-04-14,75
2022-04-15,73
2022-04-16,58
2022-04-17,54
2022-04-18,76
2022-04-19,75
2022-04-20,75
2022-04-21,76
2022-04-22,75
2022-04-23,59
2022-04-24,57
2022-04-25,79
2022-04-26,80
2022-04-27,78
2022-04-28,78
2022-04-29,73
2022-04-30,58
2022-05-01,58
2022-05-02,76
2022-05-03,78
2022-05-04,78
2022-05-05,81
2022-05-06,79
2022-05-07,58
2022-05-08,55
2022-05-09,78
2022-05-10,80
2022-05-11,76
2022-05-12,83
2022-05-13,76
2022-05-14,61
2022-05-15,57
2022-05-16,74
2022-05-17,88
2022-05-18,80
2022-05-19,82
2022-05-20,77
2022-05-21,62
2022-05-22,57
2022-05-23,77
2022-05-24,87
2022-05-25,83
2022-05-26,83
2022-05-27,77
2022-05-28,61
2022-05-29,56
2022-05-30,61
2022-05-31,81
2022-06-01,83
2022-06-02,80
2022-06-03,79
2022-06-04,58
2022-06-05,56
2022-06-06,86
2022-06-07,80
2022-06-08,81
2022-06-09,81
2022-06-10,80
2022-06-11,57
2022-06-12,57
2022-06-13,83
2022-06-14,81
2022-06-15,86
2022-06-16,83
2022-06-17,77
2022-06-18,59
2022-06-19,54
2022-06-20,78
2022-06-21,80
2022-06-22,82
2022-06-23,82
2022-06-24,83
2022-06-25,59
2022-06-26,57
2022-06-27,83
2022-06-28,84
2022-06-29,85
2022-06-30,78
2022-07-01,77
2022-07-02,61
2022-07-03,55
2022-07-04,57
2022-07-05,84
2022-07-06,78
2022-07-07,79
2022-07-08,78
2022-07-09,63
2022-07-10,57
2022-07-11,83
2022-07-12,82
2022-07-13,82
2022-07-14,82
2022-07-15,79
2022-07-16,59
2022-07-17,58
2022-07-18,78
2022-07-19,85
2022-07-20,82
2022-07-21,81
2022-07-22,78
2022-07-23,59
2022-07-24,56
2022-07-25,85
2022-07-26,83
2022-07-27,81
2022-07-28,83
2022-07-29,81
2022-07-30,59
2022-07-31,58
2022-08-01,83
2022-08-02,86
2022-08-03,82
2022-08-04,83
2022-08-05,80
2022-08-06,60
2022-08-07,60
2022-08-08,83
2022-08-09,90
2022-08-10,83
2022-08-11,85
2022-08-12,80
2022-08-13,60
2022-08-14,61
2022-08-15,83
2022-08-16,86
2022-08-17,87
2022-08-18,86
2022-08-19,81
2022-08-20,62
2022-08-21,59
2022-08-22,81
2022-08-23,81
2022-08-24,85
2022-08-25,85
2022-08-26,80
2022-08-27,67
2022-08-28,66
2022-08-29,87
2022-08-30,86
2022-08-31,84
2022-09-01,81
2022-09-02,79
2022-09-03,61
2022-09-04,62
2022-09-05,65
2022-09-06,85
2022-09-07,89
2022-09-08,88
2022-09-09,83
2022-09-10,58
2022-09-11,65
2022-09-12,81
2022-09-13,87
2022-09-14,84
2022-09-15,85
2022-09-16,80
2022-09-17,61
2022-09-18,61
2022-09-19,81
2022-09-20,84
2022-09-21,82
2022-09-22,80
2022-09-23,76
2022-09-24,59
2022-09-25,59
2022-09-26,79
2022-09-27,79
