Time,lowes
2022-01-01,76
2022-01-02,63
2022-01-03,54
2022-01-04,61
2022-01-05,54
2022-01-06,42
2022-01-07,52
2022-01-08,62
2022-01-09,59
2022-01-10,48
2022-01-11,48
2022-01-12,51
2022-01-13,50
2022-01-14,46
2022-01-15,62
2022-01-16,54
2022-01-17,51
2022-01-18,45
2022-01-19,44
2022-01-20,45
2022-01-21,51
2022-01-22,58
2022-01-23,57
2022-01-24,61
2022-01-25,41
2022-01-26,43
2022-01-27,46
2022-01-28,50
2022-01-29,61
2022-01-30,55
2022-01-31,50
2022-02-01,53
2022-02-02,49
2022-02-03,49
2022-02-04,54
2022-02-05,61
2022-02-06,62
2022-02-07,48
2022-02-08,47
2022-02-09,45
2022-02-10,41
2022-02-11,49
2022-02-12,61
2022-02-13,50
2022-02-14,44
2022-02-15,48
2022-02-16,48
2022-02-17,48
2022-02-18,50
2022-02-19,65
2022-02-20,69
2022-02-21,60
2022-02-22,51
2022-02-23,49
2022-02-24,46
2022-02-25,48
2022-02-26,62
2022-02-27,64
2022-02-28,53
2022-03-01,50
2022-03-02,52
2022-03-03,53
2022-03-04,53
2022-03-05,66
2022-03-06,69
2022-03-07,55
2022-03-08,51
2022-03-09,51
2022-03-10,48
2022-03-11,53
2022-03-12,60
2022-03-13,65
2022-03-14,55
2022-03-15,57
2022-03-16,55
2022-03-17,53
2022-03-18,57
2022-03-19,71
2022-03-20,77
2022-03-21,61
2022-03-22,57
2022-03-23,54
2022-03-24,55
2022-03-25,54
2022-03-26,72
2022-03-27,73
2022-03-28,50
2022-03-29,51
2022-03-30,51
2022-03-31,51
2022-04-01,54
2022-04-02,75
2022-04-03,73
2022-04-04,56
2022-04-05,53
2022-04-06,55
2022-04-07,53
2022-04-08,56
2022-04-09,76
2022-04-10,78
2022-04-11,59
2022-04-12,55
2022-04-13,54
2022-04-14,58
2022-04-15,67
2022-04-16,76
2022-04-17,78
2022-04-18,59
2022-04-19,55
2022-04-20,56
2022-04-21,58
2022-04-22,59
2022-04-23,82
2022-04-24,88
2022-04-25,60
2022-04-26,55
2022-04-27,57
2022-04-28,56
2022-04-29,61
2022-04-30,78
2022-05-01,81
2022-05-02,61
2022-05-03,56
2022-05-04,55
2022-05-05,58
2022-05-06,58
2022-05-07,76
2022-05-08,74
2022-05-09,60
2022-05-10,64
2022-05-11,60
2022-05-12,60
2022-05-13,59
2022-05-14,81
2022-05-15,82
2022-05-16,60
2022-05-17,60
2022-05-18,57
2022-05-19,60
2022-05-20,61
2022-05-21,80
2022-05-22,83
2022-05-23,63
2022-05-24,59
2022-05-25,58
2022-05-26,58
2022-05-27,64
2022-05-28,86
2022-05-29,93
2022-05-30,100
2022-05-31,66
2022-06-01,61
2022-06-02,59
2022-06-03,60
2022-06-04,74
2022-06-05,81
2022-06-06,60
2022-06-07,59
2022-06-08,53
2022-06-09,59
2022-06-10,62
2022-06-11,73
2022-06-12,77
2022-06-13,64
2022-06-14,60
2022-06-15,62
2022-06-16,63
2022-06-17,64
2022-06-18,82
2022-06-19,75
2022-06-20,63
2022-06-21,60
2022-06-22,56
2022-06-23,59
2022-06-24,60
2022-06-25,73
2022-06-26,76
2022-06-27,61
2022-06-28,58
2022-06-29,61
2022-06-30,57
2022-07-01,63
2022-07-02,76
2022-07-03,78
2022-07-04,92
2022-07-05,59
2022-07-06,57
2022-07-07,57
2022-07-08,59
2022-07-09,70
2022-07-10,71
2022-07-11,61
2022-07-12,57
2022-07-13,56
2022-07-14,53
2022-07-15,56
2022-07-16,68
2022-07-17,71
2022-07-18,61
2022-07-19,56
2022-07-20,55
2022-07-21,53
2022-07-22,55
2022-07-23,68
2022-07-24,68
2022-07-25,57
2022-07-26,52
2022-07-27,52
2022-07-28,51
2022-07-29,53
2022-07-30,63
2022-07-31,66
2022-08-01,56
2022-08-02,54
2022-08-03,53
2022-08-04,52
2022-08-05,52
2022-08-06,65
2022-08-07,67
2022-08-08,53
2022-08-09,52
2022-08-10,51
2022-08-11,51
2022-08-12,50
2022-08-13,63
2022-08-14,69
2022-08-15,52
2022-08-16,51
2022-08-17,51
2022-08-18,53
2022-08-19,53
2022-08-20,63
2022-08-21,65
2022-08-22,53
2022-08-23,50
2022-08-24,50
2022-08-25,51
2022-08-26,51
2022-08-27,63
2022-08-28,65
2022-08-29,51
2022-08-30,55
2022-08-31,51
2022-09-01,50
2022-09-02,54
2022-09-03,66
2022-09-04,70
2022-09-05,80
2022-09-06,51
2022-09-07,47
2022-09-08,45
2022-09-09,47
2022-09-10,59
2022-09-11,54
2022-09-12,48
2022-09-13,44
2022-09-14,45
2022-09-15,49
2022-09-16,47
2022-09-17,57
2022-09-18,57
2022-09-19,46
2022-09-20,47
2022-09-21,47
2022-09-22,44
2022-09-23,46
2022-09-24,58
2022-09-25,58
2022-09-26,48
2022-09-27,48
