Time,lowes
2022-08-29,52
2022-08-30,56
2022-08-31,52
2022-09-01,51
2022-09-02,55
2022-09-03,67
2022-09-04,71
2022-09-05,81
2022-09-06,52
2022-09-07,48
2022-09-08,46
2022-09-09,48
2022-09-10,60
2022-09-11,55
2022-09-12,48
2022-09-13,45
2022-09-14,46
2022-09-15,50
2022-09-16,48
2022-09-17,58
2022-09-18,58
2022-09-19,47
2022-09-20,48
2022-09-21,48
2022-09-22,45
2022-09-23,47
2022-09-24,59
2022-09-25,59
2022-09-26,49
2022-09-27,48
2022-09-28,46
2022-09-29,45
2022-09-30,50
2022-10-01,62
2022-10-02,63
2022-10-03,49
2022-10-04,47
2022-10-05,47
2022-10-06,46
2022-10-07,47
2022-10-08,59
2022-10-09,59
2022-10-10,53
2022-10-11,48
2022-10-12,46
2022-10-13,45
2022-10-14,47
2022-10-15,55
2022-10-16,55
2022-10-17,48
2022-10-18,46
2022-10-19,46
2022-10-20,45
2022-10-21,46
2022-10-22,59
2022-10-23,56
2022-10-24,44
2022-10-25,44
2022-10-26,45
2022-10-27,46
2022-10-28,45
2022-10-29,54
2022-10-30,54
2022-10-31,43
2022-11-01,42
2022-11-02,45
2022-11-03,46
2022-11-04,47
2022-11-05,60
2022-11-06,58
2022-11-07,49
2022-11-08,44
2022-11-09,42
2022-11-10,48
2022-11-11,51
2022-11-12,60
2022-11-13,63
2022-11-14,52
2022-11-15,49
2022-11-16,49
2022-11-17,54
2022-11-18,53
2022-11-19,66
2022-11-20,73
2022-11-21,56
2022-11-22,55
2022-11-23,61
2022-11-24,71
2022-11-25,100
2022-11-26,72
2022-11-27,68
2022-11-28,57
2022-11-29,51
2022-11-30,48
2022-12-01,48
2022-12-02,48
2022-12-03,61
2022-12-04,58
2022-12-05,48
2022-12-06,44
2022-12-07,45
2022-12-08,44
2022-12-09,45
2022-12-10,56
2022-12-11,57
2022-12-12,47
2022-12-13,43
2022-12-14,41
2022-12-15,44
2022-12-16,46
2022-12-17,55
2022-12-18,55
2022-12-19,51
2022-12-20,52
2022-12-21,56
2022-12-22,55
2022-12-23,56
2022-12-24,67
2022-12-25,41
2022-12-26,69
2022-12-27,57
2022-12-28,58
2022-12-29,55
2022-12-30,53
2022-12-31,56
2023-01-01,61
2023-01-02,60
2023-01-03,44
2023-01-04,46
2023-01-05,44
2023-01-06,45
2023-01-07,56
2023-01-08,53
2023-01-09,44
2023-01-10,43
2023-01-11,43
2023-01-12,40
2023-01-13,42
2023-01-14,54
2023-01-15,55
2023-01-16,51
2023-01-17,42
2023-01-18,42
2023-01-19,41
2023-01-20,42
2023-01-21,55
2023-01-22,51
2023-01-23,43
2023-01-24,41
2023-01-25,40
2023-01-26,41
2023-01-27,42
2023-01-28,53
2023-01-29,49
2023-01-30,39
2023-01-31,41
2023-02-01,39
2023-02-02,40
2023-02-03,44
2023-02-04,55
2023-02-05,55
2023-02-06,43
2023-02-07,43
2023-02-08,40
2023-02-09,40
2023-02-10,46
2023-02-11,56
2023-02-12,47
2023-02-13,38
2023-02-14,39
2023-02-15,43
2023-02-16,41
2023-02-17,47
2023-02-18,55
2023-02-19,59
2023-02-20,54
2023-02-21,46
2023-02-22,44
2023-02-23,43
2023-02-24,46
2023-02-25,57
2023-02-26,61
2023-02-27,47
2023-02-28,43
2023-03-01,46
2023-03-02,44
2023-03-03,46
2023-03-04,64
2023-03-05,65
2023-03-06,50
2023-03-07,47
2023-03-08,48
2023-03-09,46
2023-03-10,47
2023-03-11,60
2023-03-12,61
2023-03-13,49
2023-03-14,46
2023-03-15,47
2023-03-16,46
2023-03-17,46
2023-03-18,60
2023-03-19,64
2023-03-20,50
2023-03-21,45
2023-03-22,47
2023-03-23,47
2023-03-24,49
2023-03-25,61
2023-03-26,68
2023-03-27,53
2023-03-28,48
2023-03-29,48
2023-03-30,51
2023-03-31,51
2023-04-01,68
2023-04-02,74
2023-04-03,56
2023-04-04,52
2023-04-05,53
2023-04-06,52
2023-04-07,63
2023-04-08,72
2023-04-09,75
2023-04-10,62
2023-04-11,63
2023-04-12,63
2023-04-13,57
2023-04-14,62
2023-04-15,84
2023-04-16,80
2023-04-17,56
2023-04-18,50
2023-04-19,53
2023-04-20,53
2023-04-21,58
2023-04-22,74
2023-04-23,74
2023-04-24,55
2023-04-25,53
2023-04-26,51
2023-04-27,51
2023-04-28,52
2023-04-29,71
2023-04-30,71
2023-05-01,57
2023-05-02,52
2023-05-03,55
2023-05-04,53
2023-05-05,54
2023-05-06,72
2023-05-07,79
2023-05-08,59
2023-05-09,59
2023-05-10,57
2023-05-11,56
2023-05-12,62
2023-05-13,77
2023-05-14,79
2023-05-15,62
2023-05-16,58
2023-05-17,57
2023-05-18,56
2023-05-19,61
2023-05-20,72
2023-05-21,81
2023-05-22,62
2023-05-23,61
2023-05-24,58
2023-05-25,62
