Time,lowes
2023-12-22,60
2023-12-23,62
2023-12-24,60
2023-12-25,37
2023-12-26,61
2023-12-27,57
2023-12-28,54
2023-12-29,57
2023-12-30,61
2023-12-31,61
2024-01-01,64
2024-01-02,51
2024-01-03,47
2024-01-04,46
2024-01-05,47
2024-01-06,58
2024-01-07,53
2024-01-08,43
2024-01-09,43
2024-01-10,45
2024-01-11,49
2024-01-12,51
2024-01-13,66
2024-01-14,60
2024-01-15,54
2024-01-16,46
2024-01-17,45
2024-01-18,44
2024-01-19,44
2024-01-20,56
2024-01-21,52
2024-01-22,41
2024-01-23,39
2024-01-24,41
2024-01-25,41
2024-01-26,43
2024-01-27,54
2024-01-28,50
2024-01-29,42
2024-01-30,43
2024-01-31,42
2024-02-01,42
2024-02-02,43
2024-02-03,61
2024-02-04,56
2024-02-05,44
2024-02-06,42
2024-02-07,45
2024-02-08,44
2024-02-09,46
2024-02-10,56
2024-02-11,48
2024-02-12,37
2024-02-13,42
2024-02-14,39
2024-02-15,42
2024-02-16,47
2024-02-17,55
2024-02-18,58
2024-02-19,54
2024-02-20,47
2024-02-21,41
2024-02-22,43
2024-02-23,48
2024-02-24,61
2024-02-25,63
2024-02-26,51
2024-02-27,46
2024-02-28,44
2024-02-29,44
2024-03-01,46
2024-03-02,64
2024-03-03,66
2024-03-04,49
2024-03-05,47
2024-03-06,46
2024-03-07,48
2024-03-08,50
2024-03-09,63
2024-03-10,66
2024-03-11,52
2024-03-12,50
2024-03-13,51
2024-03-14,49
2024-03-15,54
2024-03-16,72
2024-03-17,69
2024-03-18,55
2024-03-19,49
2024-03-20,51
2024-03-21,49
2024-03-22,49
2024-03-23,66
2024-03-24,68
2024-03-25,50
2024-03-26,47
2024-03-27,49
2024-03-28,53
2024-03-29,59
2024-03-30,75
2024-03-31,75
2024-04-01,59
2024-04-02,51
2024-04-03,53
2024-04-04,54
2024-04-05,59
2024-04-06,80
2024-04-07,82
2024-04-08,64
2024-04-09,55
2024-04-10,56
2024-04-11,53
2024-04-12,62
2024-04-13,79
2024-04-14,84
2024-04-15,66
2024-04-16,63
2024-04-17,59
2024-04-18,58
2024-04-19,63
2024-04-20,82
2024-04-21,79
2024-04-22,61
2024-04-23,59
2024-04-24,56
2024-04-25,58
2024-04-26,58
2024-04-27,77
2024-04-28,84
2024-04-29,62
2024-04-30,59
2024-05-01,57
2024-05-02,61
2024-05-03,61
2024-05-04,77
2024-05-05,75
2024-05-06,60
2024-05-07,56
2024-05-08,54
2024-05-09,58
2024-05-10,61
2024-05-11,80
2024-05-12,79
2024-05-13,57
2024-05-14,57
2024-05-15,53
2024-05-16,55
2024-05-17,61
2024-05-18,82
2024-05-19,88
2024-05-20,66
2024-05-21,64
2024-05-22,62
2024-05-23,64
2024-05-24,73
2024-05-25,87
2024-05-26,96
2024-05-27,100
2024-05-28,65
2024-05-29,63
2024-05-30,55
2024-05-31,63
2024-06-01,78
2024-06-02,78
2024-06-03,61
2024-06-04,60
2024-06-05,59
2024-06-06,59
2024-06-07,60
2024-06-08,75
2024-06-09,79
2024-06-10,63
2024-06-11,61
2024-06-12,60
2024-06-13,60
2024-06-14,62
2024-06-15,80
2024-06-16,74
2024-06-17,60
2024-06-18,57
2024-06-19,64
2024-06-20,57
2024-06-21,62
2024-06-22,71
2024-06-23,73
2024-06-24,60
2024-06-25,55
2024-06-26,56
2024-06-27,56
2024-06-28,61
2024-06-29,73
2024-06-30,76
2024-07-01,65
2024-07-02,61
2024-07-03,70
2024-07-04,88
2024-07-05,68
2024-07-06,75
2024-07-07,71
2024-07-08,59
2024-07-09,60
2024-07-10,59
2024-07-11,55
2024-07-12,58
2024-07-13,65
2024-07-14,59
2024-07-15,55
2024-07-16,52
2024-07-17,53
2024-07-18,52
2024-07-19,51
2024-07-20,63
2024-07-21,63
2024-07-22,50
2024-07-23,50
2024-07-24,54
2024-07-25,55
2024-07-26,54
2024-07-27,58
2024-07-28,62
2024-07-29,49
2024-07-30,49
2024-07-31,48
2024-08-01,49
2024-08-02,51
2024-08-03,61
2024-08-04,60
2024-08-05,50
2024-08-06,48
2024-08-07,49
2024-08-08,48
2024-08-09,51
2024-08-10,60
2024-08-11,61
2024-08-12,50
2024-08-13,53
2024-08-14,48
2024-08-15,49
2024-08-16,50
2024-08-17,62
2024-08-18,62
2024-08-19,49
2024-08-20,49
2024-08-21,46
2024-08-22,46
2024-08-23,49
2024-08-24,62
2024-08-25,63
2024-08-26,51
2024-08-27,50
2024-08-28,49
2024-08-29,50
2024-08-30,53
2024-08-31,60
2024-09-01,68
2024-09-02,73
2024-09-03,48
2024-09-04,48
2024-09-05,44
2024-09-06,44
2024-09-07,55
2024-09-08,54
2024-09-09,47
2024-09-10,44
2024-09-11,43
2024-09-12,45
2024-09-13,45
2024-09-14,59
2024-09-15,53
2024-09-16,42
