Time,btc price
2022-08-29,34
2022-08-30,30
2022-08-31,28
2022-09-01,27
2022-09-02,22
2022-09-03,19
2022-09-04,20
2022-09-05,22
2022-09-06,33
2022-09-07,35
2022-09-08,27
2022-09-09,28
2022-09-10,22
2022-09-11,21
2022-09-12,28
2022-09-13,35
2022-09-14,29
2022-09-15,31
2022-09-16,28
2022-09-17,22
2022-09-18,22
2022-09-19,42
2022-09-20,30
2022-09-21,32
2022-09-22,30
2022-09-23,31
2022-09-24,23
2022-09-25,22
2022-09-26,27
2022-09-27,31
2022-09-28,25
2022-09-29,27
2022-09-30,25
2022-10-01,21
2022-10-02,21
2022-10-03,25
2022-10-04,26
2022-10-05,21
2022-10-06,19
2022-10-07,23
2022-10-08,17
2022-10-09,17
2022-10-10,22
2022-10-11,25
2022-10-12,23
2022-10-13,28
2022-10-14,21
2022-10-15,19
2022-10-16,17
2022-10-17,21
2022-10-18,19
2022-10-19,20
2022-10-20,18
2022-10-21,17
2022-10-22,14
2022-10-23,16
2022-10-24,19
2022-10-25,21
2022-10-26,27
2022-10-27,23
2022-10-28,18
2022-10-29,19
2022-10-30,19
2022-10-31,20
2022-11-01,16
2022-11-02,18
2022-11-03,20
2022-11-04,20
2022-11-05,22
2022-11-06,15
2022-11-07,21
2022-11-08,52
2022-11-09,98
2022-11-10,100
2022-11-11,73
2022-11-12,64
2022-11-13,54
2022-11-14,70
2022-11-15,49
2022-11-16,48
2022-11-17,42
2022-11-18,36
2022-11-19,27
2022-11-20,28
2022-11-21,51
2022-11-22,50
2022-11-23,37
2022-11-24,27
2022-11-25,30
2022-11-26,24
2022-11-27,23
2022-11-28,36
2022-11-29,29
2022-11-30,31
2022-12-01,27
2022-12-02,23
2022-12-03,19
2022-12-04,23
2022-12-05,27
2022-12-06,25
2022-12-07,25
2022-12-08,22
2022-12-09,19
2022-12-10,18
2022-12-11,19
2022-12-12,22
2022-12-13,32
2022-12-14,30
2022-12-15,26
2022-12-16,26
2022-12-17,24
2022-12-18,19
2022-12-19,25
2022-12-20,23
2022-12-21,21
2022-12-22,21
2022-12-23,18
2022-12-24,18
2022-12-25,18
2022-12-26,19
2022-12-27,23
2022-12-28,23
2022-12-29,20
2022-12-30,18
2022-12-31,15
2023-01-01,16
2023-01-02,18
2023-01-03,18
2023-01-04,20
2023-01-05,20
2023-01-06,17
2023-01-07,17
2023-01-08,14
2023-01-09,23
2023-01-10,22
2023-01-11,21
2023-01-12,34
2023-01-13,33
2023-01-14,47
2023-01-15,34
2023-01-16,39
2023-01-17,37
2023-01-18,38
2023-01-19,33
2023-01-20,31
2023-01-21,35
2023-01-22,30
2023-01-23,33
2023-01-24,30
2023-01-25,30
2023-01-26,31
2023-01-27,28
2023-01-28,21
2023-01-29,32
2023-01-30,29
2023-01-31,30
2023-02-01,29
2023-02-02,35
2023-02-03,29
2023-02-04,24
2023-02-05,21
2023-02-06,28
2023-02-07,25
2023-02-08,20
2023-02-09,27
2023-02-10,26
2023-02-11,19
2023-02-12,17
2023-02-13,21
2023-02-14,25
2023-02-15,27
2023-02-16,43
2023-02-17,34
2023-02-18,25
2023-02-19,25
2023-02-20,31
2023-02-21,34
2023-02-22,25
2023-02-23,25
2023-02-24,24
2023-02-25,21
2023-02-26,22
2023-02-27,21
2023-02-28,19
2023-03-01,23
2023-03-02,19
2023-03-03,28
2023-03-04,20
2023-03-05,18
2023-03-06,23
2023-03-07,20
2023-03-08,21
2023-03-09,32
2023-03-10,40
2023-03-11,38
2023-03-12,34
2023-03-13,68
2023-03-14,69
2023-03-15,46
2023-03-16,35
2023-03-17,51
2023-03-18,46
2023-03-19,60
2023-03-20,68
2023-03-21,59
2023-03-22,65
2023-03-23,58
2023-03-24,47
2023-03-25,35
2023-03-26,35
2023-03-27,46
2023-03-28,37
2023-03-29,47
2023-03-30,43
2023-03-31,37
2023-04-01,32
2023-04-02,32
2023-04-03,36
2023-04-04,35
2023-04-05,37
2023-04-06,31
2023-04-07,30
2023-04-08,26
2023-04-09,25
2023-04-10,43
2023-04-11,72
2023-04-12,53
2023-04-13,49
2023-04-14,51
2023-04-15,34
2023-04-16,31
2023-04-17,39
2023-04-18,37
2023-04-19,37
2023-04-20,35
2023-04-21,34
2023-04-22,30
2023-04-23,29
2023-04-24,32
2023-04-25,32
2023-04-26,47
2023-04-27,37
2023-04-28,28
2023-04-29,24
2023-04-30,27
2023-05-01,36
2023-05-02,34
2023-05-03,35
2023-05-04,29
2023-05-05,30
2023-05-06,27
2023-05-07,27
2023-05-08,37
2023-05-09,30
2023-05-10,30
2023-05-11,28
2023-05-12,27
2023-05-13,24
2023-05-14,23
2023-05-15,28
2023-05-16,25
2023-05-17,25
2023-05-18,25
2023-05-19,24
2023-05-20,20
2023-05-21,20
2023-05-22,27
2023-05-23,24
2023-05-24,26
2023-05-25,23
