Time,arizona basketball
2023-04-26,4
2023-04-27,4
2023-04-28,4
2023-04-29,4
2023-04-30,4
2023-05-01,4
2023-05-02,4
2023-05-03,4
2023-05-04,4
2023-05-05,4
2023-05-06,5
2023-05-07,5
2023-05-08,4
2023-05-09,4
2023-05-10,4
2023-05-11,5
2023-05-12,4
2023-05-13,4
2023-05-14,5
2023-05-15,5
2023-05-16,5
2023-05-17,6
2023-05-18,4
2023-05-19,5
2023-05-20,5
2023-05-21,5
2023-05-22,5
2023-05-23,4
2023-05-24,4
2023-05-25,4
2023-05-26,4
2023-05-27,4
2023-05-28,5
2023-05-29,3
2023-05-30,7
2023-05-31,7
2023-06-01,6
2023-06-02,5
2023-06-03,5
2023-06-04,4
2023-06-05,4
2023-06-06,3
2023-06-07,4
2023-06-08,3
2023-06-09,4
2023-06-10,4
2023-06-11,3
2023-06-12,3
2023-06-13,4
2023-06-14,5
2023-06-15,3
2023-06-16,4
2023-06-17,3
2023-06-18,3
2023-06-19,2
2023-06-20,3
2023-06-21,2
2023-06-22,4
2023-06-23,5
2023-06-24,4
2023-06-25,5
2023-06-26,3
2023-06-27,3
2023-06-28,3
2023-06-29,3
2023-06-30,3
2023-07-01,4
2023-07-02,3
2023-07-03,4
2023-07-04,3
2023-07-05,1
2023-07-06,3
2023-07-07,4
2023-07-08,2
2023-07-09,2
2023-07-10,3
2023-07-11,3
2023-07-12,2
2023-07-13,3
2023-07-14,3
2023-07-15,2
2023-07-16,3
2023-07-17,2
2023-07-18,3
2023-07-19,3
2023-07-20,1
2023-07-21,3
2023-07-22,3
2023-07-23,3
2023-07-24,2
2023-07-25,4
2023-07-26,3
2023-07-27,3
2023-07-28,2
2023-07-29,3
2023-07-30,2
2023-07-31,3
2023-08-01,3
2023-08-02,2
2023-08-03,4
2023-08-04,5
2023-08-05,5
2023-08-06,3
2023-08-07,2
2023-08-08,4
2023-08-09,3
2023-08-10,3
2023-08-11,3
2023-08-12,3
2023-08-13,3
2023-08-14,4
2023-08-15,4
2023-08-16,4
2023-08-17,6
2023-08-18,4
2023-08-19,4
2023-08-20,4
2023-08-21,3
2023-08-22,3
2023-08-23,3
2023-08-24,4
2023-08-25,3
2023-08-26,4
2023-08-27,3
2023-08-28,2
2023-08-29,2
2023-08-30,3
2023-08-31,3
2023-09-01,2
2023-09-02,2
2023-09-03,3
2023-09-04,3
2023-09-05,2
2023-09-06,3
2023-09-07,2
2023-09-08,2
2023-09-09,4
2023-09-10,3
2023-09-11,2
2023-09-12,3
2023-09-13,3
2023-09-14,3
2023-09-15,2
2023-09-16,3
2023-09-17,3
2023-09-18,3
2023-09-19,2
2023-09-20,4
2023-09-21,3
2023-09-22,2
2023-09-23,4
2023-09-24,4
2023-09-25,3
2023-09-26,4
2023-09-27,4
2023-09-28,3
2023-09-29,4
2023-09-30,5
2023-10-01,4
2023-10-02,3
2023-10-03,3
2023-10-04,4
2023-10-05,4
2023-10-06,4
2023-10-07,4
2023-10-08,6
2023-10-09,3
2023-10-10,3
2023-10-11,3
2023-10-12,3
2023-10-13,3
2023-10-14,3
2023-10-15,5
2023-10-16,6
2023-10-17,3
2023-10-18,4
2023-10-19,5
2023-10-20,5
2023-10-21,12
2023-10-22,4
2023-10-23,4
2023-10-24,5
2023-10-25,5
2023-10-26,6
2023-10-27,5
2023-10-28,7
2023-10-29,7
2023-10-30,7
2023-10-31,11
2023-11-01,7
2023-11-02,8
2023-11-03,6
2023-11-04,7
2023-11-05,7
2023-11-06,13
2023-11-07,31
2023-11-08,17
2023-11-09,23
2023-11-10,26
2023-11-11,100
2023-11-12,21
2023-11-13,22
2023-11-14,26
2023-11-15,17
2023-11-16,15
2023-11-17,20
2023-11-18,38
2023-11-19,21
2023-11-20,22
2023-11-21,13
2023-11-22,19
2023-11-23,86
2023-11-24,53
2023-11-25,22
2023-11-26,13
2023-11-27,12
2023-11-28,10
2023-11-29,11
2023-11-30,13
2023-12-01,10
2023-12-02,35
2023-12-03,24
2023-12-04,17
2023-12-05,16
2023-12-06,16
2023-12-07,19
2023-12-08,15
2023-12-09,66
2023-12-10,33
2023-12-11,14
2023-12-12,12
2023-12-13,13
2023-12-14,16
2023-12-15,15
2023-12-16,98
2023-12-17,37
2023-12-18,15
2023-12-19,11
2023-12-20,19
2023-12-21,65
2023-12-22,16
2023-12-23,71
2023-12-24,25
2023-12-25,11
2023-12-26,8
2023-12-27,8
2023-12-28,9
2023-12-29,24
2023-12-30,41
2023-12-31,35
2024-01-01,24
2024-01-02,10
2024-01-03,11
2024-01-04,18
2024-01-05,49
2024-01-06,27
2024-01-07,40
2024-01-08,9
2024-01-09,9
2024-01-10,11
2024-01-11,14
2024-01-12,19
2024-01-13,26
2024-01-14,30
2024-01-15,12
2024-01-16,8
2024-01-17,16
2024-01-18,51
2024-01-19,13
2024-01-20,52
