Time,rockauto
2023-04-26,77
2023-04-27,74
2023-04-28,72
2023-04-29,83
2023-04-30,80
2023-05-01,76
2023-05-02,74
2023-05-03,73
2023-05-04,75
2023-05-05,77
2023-05-06,87
2023-05-07,84
2023-05-08,83
2023-05-09,83
2023-05-10,83
2023-05-11,76
2023-05-12,76
2023-05-13,83
2023-05-14,84
2023-05-15,82
2023-05-16,85
2023-05-17,85
2023-05-18,80
2023-05-19,82
2023-05-20,86
2023-05-21,85
2023-05-22,80
2023-05-23,84
2023-05-24,78
2023-05-25,80
2023-05-26,80
2023-05-27,82
2023-05-28,73
2023-05-29,77
2023-05-30,79
2023-05-31,79
2023-06-01,79
2023-06-02,87
2023-06-03,88
2023-06-04,89
2023-06-05,84
2023-06-06,83
2023-06-07,83
2023-06-08,77
2023-06-09,82
2023-06-10,85
2023-06-11,85
2023-06-12,79
2023-06-13,84
2023-06-14,82
2023-06-15,82
2023-06-16,84
2023-06-17,85
2023-06-18,79
2023-06-19,85
2023-06-20,79
2023-06-21,86
2023-06-22,78
2023-06-23,84
2023-06-24,85
2023-06-25,85
2023-06-26,83
2023-06-27,87
2023-06-28,81
2023-06-29,79
2023-06-30,77
2023-07-01,80
2023-07-02,79
2023-07-03,81
2023-07-04,85
2023-07-05,79
2023-07-06,90
2023-07-07,83
2023-07-08,87
2023-07-09,84
2023-07-10,81
2023-07-11,80
2023-07-12,80
2023-07-13,79
2023-07-14,78
2023-07-15,82
2023-07-16,80
2023-07-17,82
2023-07-18,87
2023-07-19,88
2023-07-20,86
2023-07-21,80
2023-07-22,86
2023-07-23,78
2023-07-24,80
2023-07-25,83
2023-07-26,81
2023-07-27,75
2023-07-28,81
2023-07-29,81
2023-07-30,84
2023-07-31,84
2023-08-01,83
2023-08-02,78
2023-08-03,81
2023-08-04,86
2023-08-05,97
2023-08-06,90
2023-08-07,100
2023-08-08,91
2023-08-09,83
2023-08-10,77
2023-08-11,97
2023-08-12,92
2023-08-13,88
2023-08-14,83
2023-08-15,82
2023-08-16,82
2023-08-17,81
2023-08-18,82
2023-08-19,91
2023-08-20,86
2023-08-21,81
2023-08-22,90
2023-08-23,79
2023-08-24,80
2023-08-25,74
2023-08-26,82
2023-08-27,84
2023-08-28,81
2023-08-29,82
2023-08-30,75
2023-08-31,74
2023-09-01,76
2023-09-02,75
2023-09-03,75
2023-09-04,78
2023-09-05,80
2023-09-06,76
2023-09-07,76
2023-09-08,75
2023-09-09,78
2023-09-10,75
2023-09-11,76
2023-09-12,74
2023-09-13,73
2023-09-14,73
2023-09-15,73
2023-09-16,79
2023-09-17,76
2023-09-18,78
2023-09-19,76
2023-09-20,73
2023-09-21,75
2023-09-22,77
2023-09-23,77
2023-09-24,75
2023-09-25,79
2023-09-26,72
2023-09-27,73
2023-09-28,73
2023-09-29,73
2023-09-30,82
2023-10-01,68
2023-10-02,75
2023-10-03,78
2023-10-04,76
2023-10-05,75
2023-10-06,75
2023-10-07,72
2023-10-08,74
2023-10-09,74
2023-10-10,75
2023-10-11,73
2023-10-12,72
2023-10-13,71
2023-10-14,71
2023-10-15,68
2023-10-16,74
2023-10-17,72
2023-10-18,75
2023-10-19,76
2023-10-20,66
2023-10-21,77
2023-10-22,71
2023-10-23,72
2023-10-24,71
2023-10-25,75
2023-10-26,71
2023-10-27,68
2023-10-28,72
2023-10-29,64
2023-10-30,70
2023-10-31,68
2023-11-01,73
2023-11-02,74
2023-11-03,75
2023-11-04,79
2023-11-05,69
2023-11-06,78
2023-11-07,76
2023-11-08,72
2023-11-09,72
2023-11-10,73
2023-11-11,75
2023-11-12,70
2023-11-13,70
2023-11-14,71
2023-11-15,71
2023-11-16,70
2023-11-17,72
2023-11-18,74
2023-11-19,69
2023-11-20,69
2023-11-21,67
2023-11-22,66
2023-11-23,57
2023-11-24,70
2023-11-25,73
2023-11-26,65
2023-11-27,70
2023-11-28,69
2023-11-29,66
2023-11-30,68
2023-12-01,71
2023-12-02,71
2023-12-03,66
2023-12-04,66
2023-12-05,66
2023-12-06,61
2023-12-07,65
2023-12-08,69
2023-12-09,79
2023-12-10,74
2023-12-11,64
2023-12-12,70
2023-12-13,69
2023-12-14,64
2023-12-15,62
2023-12-16,68
2023-12-17,63
2023-12-18,59
2023-12-19,60
2023-12-20,61
2023-12-21,62
2023-12-22,64
2023-12-23,65
2023-12-24,51
2023-12-25,43
2023-12-26,64
2023-12-27,67
2023-12-28,70
2023-12-29,72
2023-12-30,71
2023-12-31,60
2024-01-01,55
2024-01-02,62
2024-01-03,70
2024-01-04,71
2024-01-05,67
2024-01-06,69
2024-01-07,66
2024-01-08,59
2024-01-09,57
2024-01-10,63
2024-01-11,62
2024-01-12,60
2024-01-13,65
2024-01-14,58
2024-01-15,56
2024-01-16,55
2024-01-17,56
2024-01-18,61
2024-01-19,55
2024-01-20,62
