Time,lark
2022-01-01,42
2022-01-02,50
2022-01-03,43
2022-01-04,47
2022-01-05,52
2022-01-06,41
2022-01-07,52
2022-01-08,60
2022-01-09,48
2022-01-10,51
2022-01-11,45
2022-01-12,46
2022-01-13,43
2022-01-14,35
2022-01-15,50
2022-01-16,43
2022-01-17,39
2022-01-18,43
2022-01-19,45
2022-01-20,42
2022-01-21,44
2022-01-22,48
2022-01-23,47
2022-01-24,55
2022-01-25,40
2022-01-26,41
2022-01-27,41
2022-01-28,52
2022-01-29,53
2022-01-30,53
2022-01-31,45
2022-02-01,47
2022-02-02,42
2022-02-03,50
2022-02-04,41
2022-02-05,46
2022-02-06,58
2022-02-07,47
2022-02-08,51
2022-02-09,49
2022-02-10,38
2022-02-11,51
2022-02-12,56
2022-02-13,52
2022-02-14,42
2022-02-15,53
2022-02-16,52
2022-02-17,47
2022-02-18,56
2022-02-19,52
2022-02-20,56
2022-02-21,47
2022-02-22,48
2022-02-23,47
2022-02-24,40
2022-02-25,51
2022-02-26,47
2022-02-27,50
2022-02-28,46
2022-03-01,50
2022-03-02,48
2022-03-03,49
2022-03-04,50
2022-03-05,56
2022-03-06,53
2022-03-07,44
2022-03-08,47
2022-03-09,44
2022-03-10,46
2022-03-11,43
2022-03-12,48
2022-03-13,50
2022-03-14,53
2022-03-15,50
2022-03-16,46
2022-03-17,41
2022-03-18,52
2022-03-19,65
2022-03-20,61
2022-03-21,57
2022-03-22,57
2022-03-23,49
2022-03-24,46
2022-03-25,49
2022-03-26,57
2022-03-27,51
2022-03-28,46
2022-03-29,48
2022-03-30,53
2022-03-31,49
2022-04-01,48
2022-04-02,49
2022-04-03,46
2022-04-04,46
2022-04-05,50
2022-04-06,44
2022-04-07,47
2022-04-08,50
2022-04-09,49
2022-04-10,54
2022-04-11,51
2022-04-12,55
2022-04-13,55
2022-04-14,49
2022-04-15,56
2022-04-16,51
2022-04-17,54
2022-04-18,50
2022-04-19,48
2022-04-20,52
2022-04-21,50
2022-04-22,47
2022-04-23,50
2022-04-24,57
2022-04-25,46
2022-04-26,51
2022-04-27,45
2022-04-28,49
2022-04-29,46
2022-04-30,61
2022-05-01,52
2022-05-02,50
2022-05-03,45
2022-05-04,47
2022-05-05,41
2022-05-06,47
2022-05-07,52
2022-05-08,50
2022-05-09,54
2022-05-10,51
2022-05-11,55
2022-05-12,52
2022-05-13,55
2022-05-14,49
2022-05-15,52
2022-05-16,46
2022-05-17,44
2022-05-18,49
2022-05-19,50
2022-05-20,48
2022-05-21,50
2022-05-22,44
2022-05-23,51
2022-05-24,50
2022-05-25,52
2022-05-26,46
2022-05-27,51
2022-05-28,54
2022-05-29,50
2022-05-30,53
2022-05-31,50
2022-06-01,48
2022-06-02,49
2022-06-03,44
2022-06-04,56
2022-06-05,53
2022-06-06,48
2022-06-07,48
2022-06-08,47
2022-06-09,51
2022-06-10,52
2022-06-11,54
2022-06-12,65
2022-06-13,46
2022-06-14,54
2022-06-15,54
2022-06-16,46
2022-06-17,45
2022-06-18,59
2022-06-19,58
2022-06-20,56
2022-06-21,47
2022-06-22,50
2022-06-23,52
2022-06-24,51
2022-06-25,53
2022-06-26,58
2022-06-27,48
2022-06-28,46
2022-06-29,51
2022-06-30,52
2022-07-01,48
2022-07-02,50
2022-07-03,55
2022-07-04,63
2022-07-05,55
2022-07-06,54
2022-07-07,50
2022-07-08,55
2022-07-09,52
2022-07-10,53
2022-07-11,47
2022-07-12,72
2022-07-13,55
2022-07-14,49
2022-07-15,50
2022-07-16,54
2022-07-17,66
2022-07-18,50
2022-07-19,72
2022-07-20,52
2022-07-21,53
2022-07-22,56
2022-07-23,57
2022-07-24,58
2022-07-25,58
2022-07-26,96
2022-07-27,66
2022-07-28,56
2022-07-29,59
2022-07-30,56
2022-07-31,58
2022-08-01,59
2022-08-02,67
2022-08-03,51
2022-08-04,51
2022-08-05,49
2022-08-06,56
2022-08-07,77
2022-08-08,53
2022-08-09,70
2022-08-10,57
2022-08-11,57
2022-08-12,58
2022-08-13,62
2022-08-14,58
2022-08-15,51
2022-08-16,91
2022-08-17,66
2022-08-18,55
2022-08-19,57
2022-08-20,64
2022-08-21,60
2022-08-22,42
2022-08-23,100
2022-08-24,58
2022-08-25,57
2022-08-26,54
2022-08-27,54
2022-08-28,54
2022-08-29,50
2022-08-30,84
2022-08-31,61
2022-09-01,50
2022-09-02,53
2022-09-03,48
2022-09-04,59
2022-09-05,49
2022-09-06,89
2022-09-07,60
2022-09-08,48
2022-09-09,45
2022-09-10,47
2022-09-11,45
2022-09-12,46
2022-09-13,48
2022-09-14,47
2022-09-15,46
2022-09-16,48
2022-09-17,45
2022-09-18,51
2022-09-19,44
2022-09-20,50
2022-09-21,47
2022-09-22,47
2022-09-23,45
2022-09-24,63
2022-09-25,50
2022-09-26,49
2022-09-27,48
