Time,election map 2024
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,13
2024-01-04,10
2024-01-05,9
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,12
2024-01-10,9
2024-01-11,8
2024-01-12,9
2024-01-13,0
2024-01-14,13
2024-01-15,0
2024-01-16,34
2024-01-17,16
2024-01-18,17
2024-01-19,11
2024-01-20,13
2024-01-21,17
2024-01-22,13
2024-01-23,19
2024-01-24,40
2024-01-25,22
2024-01-26,20
2024-01-27,15
2024-01-28,13
2024-01-29,7
2024-01-30,13
2024-01-31,12
2024-02-01,16
2024-02-02,15
2024-02-03,11
2024-02-04,15
2024-02-05,12
2024-02-06,12
2024-02-07,17
2024-02-08,12
2024-02-09,14
2024-02-10,14
2024-02-11,10
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,9
2024-02-17,11
2024-02-18,12
2024-02-19,14
2024-02-20,13
2024-02-21,10
2024-02-22,19
2024-02-23,0
2024-02-24,11
2024-02-25,23
2024-02-26,14
2024-02-27,18
2024-02-28,18
2024-02-29,16
2024-03-01,17
2024-03-02,12
2024-03-03,11
2024-03-04,19
2024-03-05,41
2024-03-06,100
2024-03-07,36
2024-03-08,34
2024-03-09,12
2024-03-10,19
2024-03-11,11
2024-03-12,16
2024-03-13,13
2024-03-14,19
2024-03-15,14
2024-03-16,10
2024-03-17,10
2024-03-18,22
2024-03-19,14
2024-03-20,25
2024-03-21,0
2024-03-22,11
2024-03-23,0
2024-03-24,11
2024-03-25,9
2024-03-26,16
2024-03-27,9
2024-03-28,10
2024-03-29,11
2024-03-30,0
2024-03-31,0
2024-04-01,13
2024-04-02,17
2024-04-03,19
2024-04-04,13
2024-04-05,12
2024-04-06,13
2024-04-07,12
2024-04-08,10
2024-04-09,11
2024-04-10,10
2024-04-11,15
2024-04-12,9
2024-04-13,14
2024-04-14,0
2024-04-15,20
2024-04-16,9
2024-04-17,8
2024-04-18,0
2024-04-19,12
2024-04-20,0
2024-04-21,0
2024-04-22,9
2024-04-23,8
2024-04-24,14
2024-04-25,12
2024-04-26,0
2024-04-27,10
2024-04-28,11
2024-04-29,0
2024-04-30,11
2024-05-01,0
2024-05-02,9
2024-05-03,13
2024-05-04,0
2024-05-05,16
2024-05-06,12
2024-05-07,0
2024-05-08,18
2024-05-09,10
2024-05-10,0
2024-05-11,12
2024-05-12,10
2024-05-13,20
2024-05-14,10
2024-05-15,23
2024-05-16,17
2024-05-17,13
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,13
2024-05-22,18
2024-05-23,8
2024-05-24,12
2024-05-25,11
2024-05-26,10
2024-05-27,0
2024-05-28,9
2024-05-29,11
2024-05-30,17
2024-05-31,15
2024-06-01,12
2024-06-02,18
2024-06-03,14
2024-06-04,50
2024-06-05,20
2024-06-06,19
2024-06-07,11
2024-06-08,0
2024-06-09,13
2024-06-10,20
2024-06-11,12
2024-06-12,14
2024-06-13,17
2024-06-14,21
2024-06-15,0
2024-06-16,14
2024-06-17,16
2024-06-18,19
2024-06-19,16
2024-06-20,19
2024-06-21,15
2024-06-22,13
2024-06-23,0
2024-06-24,14
2024-06-25,12
2024-06-26,21
2024-06-27,25
2024-06-28,49
2024-06-29,28
2024-06-30,26
2024-07-01,32
2024-07-02,30
2024-07-03,27
2024-07-04,27
2024-07-05,38
2024-07-06,23
2024-07-07,23
2024-07-08,32
2024-07-09,20
2024-07-10,23
2024-07-11,23
2024-07-12,22
2024-07-13,19
2024-07-14,39
2024-07-15,41
2024-07-16,47
2024-07-17,62
2024-07-18,48
2024-07-19,44
2024-07-20,35
2024-07-21,53
2024-07-22,56
2024-07-23,61
2024-07-24,42
2024-07-25,42
2024-07-26,45
2024-07-27,39
2024-07-28,28
2024-07-29,37
2024-07-30,33
2024-07-31,46
2024-08-01,33
2024-08-02,32
2024-08-03,34
2024-08-04,29
2024-08-05,24
2024-08-06,50
2024-08-07,56
2024-08-08,52
2024-08-09,47
2024-08-10,50
2024-08-11,49
2024-08-12,46
2024-08-13,44
2024-08-14,48
2024-08-15,27
2024-08-16,24
2024-08-17,32
2024-08-18,35
2024-08-19,27
2024-08-20,42
2024-08-21,43
2024-08-22,41
2024-08-23,54
2024-08-24,44
2024-08-25,31
2024-08-26,23
2024-08-27,34
2024-08-28,26
2024-08-29,35
2024-08-30,29
2024-08-31,33
2024-09-01,26
2024-09-02,24
2024-09-03,24
2024-09-04,36
2024-09-05,26
2024-09-06,33
2024-09-07,29
2024-09-08,23
2024-09-09,29
2024-09-10,36
2024-09-11,67
2024-09-12,49
2024-09-13,50
2024-09-14,40
2024-09-15,35
2024-09-16,33
