Time,youtube
2023-04-26,84
2023-04-27,86
2023-04-28,88
2023-04-29,79
2023-04-30,83
2023-05-01,85
2023-05-02,83
2023-05-03,88
2023-05-04,89
2023-05-05,87
2023-05-06,78
2023-05-07,79
2023-05-08,83
2023-05-09,83
2023-05-10,86
2023-05-11,87
2023-05-12,90
2023-05-13,83
2023-05-14,75
2023-05-15,85
2023-05-16,84
2023-05-17,88
2023-05-18,89
2023-05-19,93
2023-05-20,77
2023-05-21,78
2023-05-22,85
2023-05-23,88
2023-05-24,85
2023-05-25,85
2023-05-26,85
2023-05-27,79
2023-05-28,78
2023-05-29,72
2023-05-30,78
2023-05-31,78
2023-06-01,81
2023-06-02,83
2023-06-03,79
2023-06-04,78
2023-06-05,81
2023-06-06,78
2023-06-07,80
2023-06-08,82
2023-06-09,79
2023-06-10,79
2023-06-11,76
2023-06-12,80
2023-06-13,78
2023-06-14,77
2023-06-15,79
2023-06-16,76
2023-06-17,74
2023-06-18,74
2023-06-19,73
2023-06-20,76
2023-06-21,76
2023-06-22,74
2023-06-23,78
2023-06-24,74
2023-06-25,74
2023-06-26,70
2023-06-27,79
2023-06-28,73
2023-06-29,78
2023-06-30,71
2023-07-01,73
2023-07-02,74
2023-07-03,73
2023-07-04,75
2023-07-05,72
2023-07-06,75
2023-07-07,74
2023-07-08,73
2023-07-09,74
2023-07-10,72
2023-07-11,77
2023-07-12,73
2023-07-13,82
2023-07-14,80
2023-07-15,77
2023-07-16,72
2023-07-17,71
2023-07-18,76
2023-07-19,79
2023-07-20,77
2023-07-21,78
2023-07-22,73
2023-07-23,74
2023-07-24,75
2023-07-25,76
2023-07-26,72
2023-07-27,78
2023-07-28,77
2023-07-29,75
2023-07-30,76
2023-07-31,74
2023-08-01,75
2023-08-02,76
2023-08-03,79
2023-08-04,79
2023-08-05,76
2023-08-06,77
2023-08-07,77
2023-08-08,82
2023-08-09,81
2023-08-10,80
2023-08-11,82
2023-08-12,77
2023-08-13,77
2023-08-14,80
2023-08-15,80
2023-08-16,88
2023-08-17,88
2023-08-18,84
2023-08-19,80
2023-08-20,82
2023-08-21,82
2023-08-22,89
2023-08-23,89
2023-08-24,86
2023-08-25,91
2023-08-26,83
2023-08-27,83
2023-08-28,82
2023-08-29,88
2023-08-30,89
2023-08-31,92
2023-09-01,94
2023-09-02,81
2023-09-03,85
2023-09-04,81
2023-09-05,84
2023-09-06,86
2023-09-07,89
2023-09-08,94
2023-09-09,87
2023-09-10,94
2023-09-11,91
2023-09-12,93
2023-09-13,93
2023-09-14,92
2023-09-15,89
2023-09-16,83
2023-09-17,87
2023-09-18,85
2023-09-19,90
2023-09-20,88
2023-09-21,93
2023-09-22,92
2023-09-23,79
2023-09-24,83
2023-09-25,84
2023-09-26,86
2023-09-27,87
2023-09-28,93
2023-09-29,88
2023-09-30,81
2023-10-01,80
2023-10-02,85
2023-10-03,86
2023-10-04,90
2023-10-05,91
2023-10-06,92
2023-10-07,80
2023-10-08,78
2023-10-09,84
2023-10-10,88
2023-10-11,87
2023-10-12,86
2023-10-13,90
2023-10-14,82
2023-10-15,83
2023-10-16,87
2023-10-17,89
2023-10-18,93
2023-10-19,93
2023-10-20,94
2023-10-21,82
2023-10-22,87
2023-10-23,89
2023-10-24,89
2023-10-25,93
2023-10-26,94
2023-10-27,93
2023-10-28,85
2023-10-29,78
2023-10-30,86
2023-10-31,89
2023-11-01,88
2023-11-02,93
2023-11-03,92
2023-11-04,81
2023-11-05,80
2023-11-06,87
2023-11-07,91
2023-11-08,96
2023-11-09,94
2023-11-10,86
2023-11-11,83
2023-11-12,80
2023-11-13,85
2023-11-14,84
2023-11-15,96
2023-11-16,95
2023-11-17,83
2023-11-18,82
2023-11-19,80
2023-11-20,82
2023-11-21,86
2023-11-22,79
2023-11-23,79
2023-11-24,75
2023-11-25,74
2023-11-26,80
2023-11-27,82
2023-11-28,89
2023-11-29,91
2023-11-30,93
2023-12-01,94
2023-12-02,79
2023-12-03,77
2023-12-04,83
2023-12-05,96
2023-12-06,100
2023-12-07,94
2023-12-08,91
2023-12-09,80
2023-12-10,82
2023-12-11,87
2023-12-12,93
2023-12-13,92
2023-12-14,88
2023-12-15,94
2023-12-16,82
2023-12-17,82
2023-12-18,83
2023-12-19,91
2023-12-20,92
2023-12-21,90
2023-12-22,81
2023-12-23,79
2023-12-24,80
2023-12-25,78
2023-12-26,75
2023-12-27,71
2023-12-28,73
2023-12-29,73
2023-12-30,73
2023-12-31,74
2024-01-01,78
2024-01-02,75
2024-01-03,79
2024-01-04,80
2024-01-05,80
2024-01-06,76
2024-01-07,75
2024-01-08,78
2024-01-09,84
2024-01-10,88
2024-01-11,86
2024-01-12,88
2024-01-13,79
2024-01-14,80
2024-01-15,80
2024-01-16,83
2024-01-17,89
2024-01-18,85
2024-01-19,89
2024-01-20,78
