Time,little caesars
2025-04-15,59
2025-04-16,60
2025-04-17,64
2025-04-18,78
2025-04-19,87
2025-04-20,96
2025-04-21,57
2025-04-22,52
2025-04-23,54
2025-04-24,58
2025-04-25,69
2025-04-26,83
2025-04-27,78
2025-04-28,55
2025-04-29,53
2025-04-30,57
2025-05-01,61
2025-05-02,72
2025-05-03,85
2025-05-04,80
2025-05-05,54
2025-05-06,55
2025-05-07,54
2025-05-08,60
2025-05-09,67
2025-05-10,84
2025-05-11,76
2025-05-12,55
2025-05-13,52
2025-05-14,54
2025-05-15,55
2025-05-16,65
2025-05-17,83
2025-05-18,86
2025-05-19,57
2025-05-20,54
2025-05-21,60
2025-05-22,62
2025-05-23,74
2025-05-24,78
2025-05-25,81
2025-05-26,77
2025-05-27,57
2025-05-28,62
2025-05-29,67
2025-05-30,78
2025-05-31,88
2025-06-01,80
2025-06-02,61
2025-06-03,60
2025-06-04,60
2025-06-05,66
2025-06-06,91
2025-06-07,83
2025-06-08,73
2025-06-09,58
2025-06-10,56
2025-06-11,61
2025-06-12,65
2025-06-13,69
2025-06-14,80
2025-06-15,74
2025-06-16,55
2025-06-17,58
2025-06-18,63
2025-06-19,71
2025-06-20,69
2025-06-21,81
2025-06-22,81
2025-06-23,62
2025-06-24,69
2025-06-25,61
2025-06-26,63
2025-06-27,73
2025-06-28,84
2025-06-29,83
2025-06-30,64
2025-07-01,62
2025-07-02,65
2025-07-03,70
2025-07-04,87
2025-07-05,83
2025-07-06,80
2025-07-07,64
2025-07-08,62
2025-07-09,64
2025-07-10,62
2025-07-11,76
2025-07-12,80
2025-07-13,88
2025-07-14,59
2025-07-15,58
2025-07-16,62
2025-07-17,64
2025-07-18,74
2025-07-19,88
2025-07-20,75
2025-07-21,60
2025-07-22,62
2025-07-23,68
2025-07-24,71
2025-07-25,80
2025-07-26,94
2025-07-27,77
2025-07-28,63
2025-07-29,61
2025-07-30,62
2025-07-31,64
2025-08-01,73
2025-08-02,87
2025-08-03,82
2025-08-04,57
2025-08-05,56
2025-08-06,58
2025-08-07,58
2025-08-08,70
2025-08-09,90
2025-08-10,81
2025-08-11,56
2025-08-12,56
2025-08-13,58
2025-08-14,61
2025-08-15,69
2025-08-16,82
2025-08-17,78
2025-08-18,50
2025-08-19,51
2025-08-20,53
2025-08-21,57
2025-08-22,69
2025-08-23,80
2025-08-24,79
2025-08-25,55
2025-08-26,55
2025-08-27,63
2025-08-28,61
2025-08-29,69
2025-08-30,86
2025-08-31,84
2025-09-01,83
2025-09-02,56
2025-09-03,56
2025-09-04,56
2025-09-05,77
2025-09-06,86
2025-09-07,83
2025-09-08,54
2025-09-09,53
2025-09-10,53
2025-09-11,58
2025-09-12,68
2025-09-13,83
2025-09-14,89
2025-09-15,52
2025-09-16,51
2025-09-17,54
2025-09-18,56
2025-09-19,72
2025-09-20,89
2025-09-21,78
2025-09-22,53
2025-09-23,54
2025-09-24,58
2025-09-25,56
2025-09-26,70
2025-09-27,90
2025-09-28,81
2025-09-29,54
2025-09-30,53
2025-10-01,59
2025-10-02,58
2025-10-03,71
2025-10-04,83
2025-10-05,80
2025-10-06,46
2025-10-07,50
2025-10-08,52
2025-10-09,61
2025-10-10,70
2025-10-11,88
2025-10-12,75
2025-10-13,58
2025-10-14,52
2025-10-15,56
2025-10-16,57
2025-10-17,71
2025-10-18,82
2025-10-19,81
2025-10-20,54
2025-10-21,48
2025-10-22,53
2025-10-23,56
2025-10-24,77
2025-10-25,84
2025-10-26,84
2025-10-27,50
2025-10-28,53
2025-10-29,58
2025-10-30,58
2025-10-31,89
2025-11-01,100
2025-11-02,76
2025-11-03,52
2025-11-04,49
2025-11-05,52
2025-11-06,56
2025-11-07,67
2025-11-08,88
2025-11-09,75
2025-11-10,54
2025-11-11,87
2025-11-12,55
2025-11-13,56
2025-11-14,63
2025-11-15,82
2025-11-16,85
2025-11-17,48
2025-11-18,51
2025-11-19,54
2025-11-20,58
2025-11-21,72
2025-11-22,83
2025-11-23,78
2025-11-24,61
2025-11-25,60
2025-11-26,83
2025-11-27,74
2025-11-28,53
2025-11-29,73
2025-11-30,86
2025-12-01,54
2025-12-02,57
2025-12-03,60
2025-12-04,61
2025-12-05,66
2025-12-06,82
2025-12-07,77
2025-12-08,54
2025-12-09,51
2025-12-10,59
2025-12-11,56
2025-12-12,65
2025-12-13,86
2025-12-14,79
2025-12-15,57
2025-12-16,61
2025-12-17,69
2025-12-18,70
2025-12-19,83
2025-12-20,88
2025-12-21,85
2025-12-22,72
2025-12-23,69
2025-12-24,98
2025-12-25,100
2025-12-26,81
2025-12-27,79
2025-12-28,80
2025-12-29,72
2025-12-30,74
2025-12-31,94
2026-01-01,98
2026-01-02,75
2026-01-03,83
2026-01-04,81
2026-01-05,58
2026-01-06,63
2026-01-07,70
2026-01-08,61
2026-01-09,74
