Time,little caesars
2023-04-26,46
2023-04-27,50
2023-04-28,55
2023-04-29,76
2023-04-30,60
2023-05-01,46
2023-05-02,41
2023-05-03,42
2023-05-04,47
2023-05-05,56
2023-05-06,75
2023-05-07,68
2023-05-08,44
2023-05-09,42
2023-05-10,42
2023-05-11,48
2023-05-12,58
2023-05-13,69
2023-05-14,59
2023-05-15,43
2023-05-16,44
2023-05-17,48
2023-05-18,47
2023-05-19,58
2023-05-20,75
2023-05-21,69
2023-05-22,47
2023-05-23,47
2023-05-24,49
2023-05-25,52
2023-05-26,67
2023-05-27,71
2023-05-28,63
2023-05-29,63
2023-05-30,50
2023-05-31,50
2023-06-01,63
2023-06-02,64
2023-06-03,68
2023-06-04,68
2023-06-05,49
2023-06-06,52
2023-06-07,52
2023-06-08,53
2023-06-09,60
2023-06-10,74
2023-06-11,68
2023-06-12,52
2023-06-13,48
2023-06-14,50
2023-06-15,52
2023-06-16,62
2023-06-17,71
2023-06-18,60
2023-06-19,51
2023-06-20,49
2023-06-21,48
2023-06-22,52
2023-06-23,62
2023-06-24,71
2023-06-25,67
2023-06-26,50
2023-06-27,52
2023-06-28,47
2023-06-29,53
2023-06-30,58
2023-07-01,66
2023-07-02,70
2023-07-03,58
2023-07-04,68
2023-07-05,53
2023-07-06,50
2023-07-07,58
2023-07-08,71
2023-07-09,67
2023-07-10,51
2023-07-11,49
2023-07-12,49
2023-07-13,50
2023-07-14,62
2023-07-15,74
2023-07-16,66
2023-07-17,52
2023-07-18,49
2023-07-19,55
2023-07-20,51
2023-07-21,71
2023-07-22,70
2023-07-23,69
2023-07-24,53
2023-07-25,51
2023-07-26,50
2023-07-27,53
2023-07-28,62
2023-07-29,75
2023-07-30,67
2023-07-31,55
2023-08-01,62
2023-08-02,52
2023-08-03,54
2023-08-04,63
2023-08-05,69
2023-08-06,66
2023-08-07,50
2023-08-08,47
2023-08-09,44
2023-08-10,47
2023-08-11,59
2023-08-12,67
2023-08-13,64
2023-08-14,44
2023-08-15,42
2023-08-16,47
2023-08-17,46
2023-08-18,50
2023-08-19,68
2023-08-20,64
2023-08-21,44
2023-08-22,41
2023-08-23,42
2023-08-24,46
2023-08-25,53
2023-08-26,68
2023-08-27,62
2023-08-28,42
2023-08-29,42
2023-08-30,44
2023-08-31,45
2023-09-01,57
2023-09-02,71
2023-09-03,55
2023-09-04,64
2023-09-05,39
2023-09-06,40
2023-09-07,45
2023-09-08,56
2023-09-09,66
2023-09-10,65
2023-09-11,41
2023-09-12,40
2023-09-13,46
2023-09-14,48
2023-09-15,61
2023-09-16,69
2023-09-17,70
2023-09-18,41
2023-09-19,42
2023-09-20,45
2023-09-21,46
2023-09-22,59
2023-09-23,71
2023-09-24,67
2023-09-25,47
2023-09-26,42
2023-09-27,43
2023-09-28,49
2023-09-29,59
2023-09-30,72
2023-10-01,71
2023-10-02,43
2023-10-03,47
2023-10-04,50
2023-10-05,49
2023-10-06,58
2023-10-07,70
2023-10-08,64
2023-10-09,49
2023-10-10,44
2023-10-11,50
2023-10-12,46
2023-10-13,53
2023-10-14,67
2023-10-15,68
2023-10-16,43
2023-10-17,42
2023-10-18,44
2023-10-19,46
2023-10-20,54
2023-10-21,72
2023-10-22,73
2023-10-23,44
2023-10-24,45
2023-10-25,50
2023-10-26,48
2023-10-27,58
2023-10-28,79
2023-10-29,68
2023-10-30,46
2023-10-31,69
2023-11-01,57
2023-11-02,49
2023-11-03,50
2023-11-04,71
2023-11-05,68
2023-11-06,44
2023-11-07,45
2023-11-08,45
2023-11-09,48
2023-11-10,64
2023-11-11,100
2023-11-12,73
2023-11-13,45
2023-11-14,47
2023-11-15,45
2023-11-16,47
2023-11-17,54
2023-11-18,70
2023-11-19,67
2023-11-20,49
2023-11-21,47
2023-11-22,55
2023-11-23,59
2023-11-24,46
2023-11-25,61
2023-11-26,65
2023-11-27,41
2023-11-28,49
2023-11-29,46
2023-11-30,47
2023-12-01,60
2023-12-02,77
2023-12-03,65
2023-12-04,44
2023-12-05,43
2023-12-06,47
2023-12-07,53
2023-12-08,54
2023-12-09,71
2023-12-10,70
2023-12-11,44
2023-12-12,46
2023-12-13,49
2023-12-14,51
2023-12-15,60
2023-12-16,70
2023-12-17,68
2023-12-18,47
2023-12-19,61
2023-12-20,50
2023-12-21,58
2023-12-22,62
2023-12-23,69
2023-12-24,83
2023-12-25,78
2023-12-26,61
2023-12-27,59
2023-12-28,57
2023-12-29,62
2023-12-30,65
2023-12-31,83
2024-01-01,76
2024-01-02,48
2024-01-03,46
2024-01-04,46
2024-01-05,54
2024-01-06,66
2024-01-07,54
2024-01-08,43
2024-01-09,46
2024-01-10,41
2024-01-11,42
2024-01-12,51
2024-01-13,63
2024-01-14,58
2024-01-15,47
2024-01-16,39
2024-01-17,46
2024-01-18,40
2024-01-19,47
2024-01-20,67
