Time,little caesars
2022-01-01,97
2022-01-02,76
2022-01-03,55
2022-01-04,84
2022-01-05,73
2022-01-06,54
2022-01-07,64
2022-01-08,82
2022-01-09,70
2022-01-10,54
2022-01-11,51
2022-01-12,57
2022-01-13,56
2022-01-14,59
2022-01-15,82
2022-01-16,69
2022-01-17,55
2022-01-18,44
2022-01-19,46
2022-01-20,51
2022-01-21,57
2022-01-22,83
2022-01-23,67
2022-01-24,68
2022-01-25,46
2022-01-26,52
2022-01-27,58
2022-01-28,66
2022-01-29,86
2022-01-30,88
2022-01-31,57
2022-02-01,60
2022-02-02,57
2022-02-03,61
2022-02-04,72
2022-02-05,90
2022-02-06,81
2022-02-07,55
2022-02-08,53
2022-02-09,58
2022-02-10,53
2022-02-11,73
2022-02-12,88
2022-02-13,100
2022-02-14,57
2022-02-15,58
2022-02-16,53
2022-02-17,50
2022-02-18,69
2022-02-19,95
2022-02-20,84
2022-02-21,60
2022-02-22,53
2022-02-23,52
2022-02-24,54
2022-02-25,62
2022-02-26,85
2022-02-27,79
2022-02-28,52
2022-03-01,58
2022-03-02,55
2022-03-03,56
2022-03-04,71
2022-03-05,96
2022-03-06,77
2022-03-07,52
2022-03-08,48
2022-03-09,49
2022-03-10,52
2022-03-11,65
2022-03-12,80
2022-03-13,72
2022-03-14,51
2022-03-15,50
2022-03-16,51
2022-03-17,53
2022-03-18,65
2022-03-19,76
2022-03-20,71
2022-03-21,50
2022-03-22,50
2022-03-23,48
2022-03-24,51
2022-03-25,66
2022-03-26,82
2022-03-27,75
2022-03-28,43
2022-03-29,47
2022-03-30,56
2022-03-31,52
2022-04-01,64
2022-04-02,91
2022-04-03,75
2022-04-04,49
2022-04-05,46
2022-04-06,47
2022-04-07,46
2022-04-08,56
2022-04-09,82
2022-04-10,73
2022-04-11,53
2022-04-12,45
2022-04-13,51
2022-04-14,52
2022-04-15,70
2022-04-16,75
2022-04-17,82
2022-04-18,45
2022-04-19,45
2022-04-20,43
2022-04-21,48
2022-04-22,62
2022-04-23,82
2022-04-24,71
2022-04-25,47
2022-04-26,43
2022-04-27,46
2022-04-28,51
2022-04-29,64
2022-04-30,79
2022-05-01,76
2022-05-02,42
2022-05-03,46
2022-05-04,46
2022-05-05,47
2022-05-06,62
2022-05-07,75
2022-05-08,66
2022-05-09,45
2022-05-10,45
2022-05-11,45
2022-05-12,50
2022-05-13,64
2022-05-14,80
2022-05-15,78
2022-05-16,51
2022-05-17,50
2022-05-18,55
2022-05-19,55
2022-05-20,71
2022-05-21,84
2022-05-22,74
2022-05-23,56
2022-05-24,55
2022-05-25,54
2022-05-26,62
2022-05-27,73
2022-05-28,86
2022-05-29,78
2022-05-30,74
2022-05-31,59
2022-06-01,57
2022-06-02,60
2022-06-03,74
2022-06-04,86
2022-06-05,83
2022-06-06,53
2022-06-07,56
2022-06-08,57
2022-06-09,57
2022-06-10,65
2022-06-11,78
2022-06-12,72
2022-06-13,53
2022-06-14,57
2022-06-15,61
2022-06-16,59
2022-06-17,75
2022-06-18,87
2022-06-19,77
2022-06-20,58
2022-06-21,57
2022-06-22,57
2022-06-23,67
2022-06-24,75
2022-06-25,85
2022-06-26,83
2022-06-27,60
2022-06-28,59
2022-06-29,62
2022-06-30,67
2022-07-01,79
2022-07-02,90
2022-07-03,83
2022-07-04,94
2022-07-05,62
2022-07-06,58
2022-07-07,60
2022-07-08,71
2022-07-09,85
2022-07-10,82
2022-07-11,58
2022-07-12,53
2022-07-13,54
2022-07-14,58
2022-07-15,69
2022-07-16,77
2022-07-17,77
2022-07-18,56
2022-07-19,53
2022-07-20,58
2022-07-21,62
2022-07-22,71
2022-07-23,84
2022-07-24,78
2022-07-25,58
2022-07-26,65
2022-07-27,61
2022-07-28,65
2022-07-29,78
2022-07-30,85
2022-07-31,73
2022-08-01,59
2022-08-02,54
2022-08-03,55
2022-08-04,56
2022-08-05,68
2022-08-06,80
2022-08-07,76
2022-08-08,53
2022-08-09,48
2022-08-10,55
2022-08-11,63
2022-08-12,61
2022-08-13,77
2022-08-14,75
2022-08-15,54
2022-08-16,49
2022-08-17,54
2022-08-18,50
2022-08-19,64
2022-08-20,83
2022-08-21,67
2022-08-22,45
2022-08-23,51
2022-08-24,47
2022-08-25,48
2022-08-26,59
2022-08-27,83
2022-08-28,72
2022-08-29,47
2022-08-30,48
2022-08-31,47
2022-09-01,50
2022-09-02,63
2022-09-03,74
2022-09-04,76
2022-09-05,67
2022-09-06,45
2022-09-07,43
2022-09-08,48
2022-09-09,63
2022-09-10,77
2022-09-11,74
2022-09-12,48
2022-09-13,43
2022-09-14,48
2022-09-15,48
2022-09-16,59
2022-09-17,76
2022-09-18,77
2022-09-19,49
2022-09-20,45
2022-09-21,45
2022-09-22,51
2022-09-23,63
2022-09-24,81
2022-09-25,78
2022-09-26,50
2022-09-27,53
