Time,little caesars
2025-12-11,55
2025-12-12,64
2025-12-13,85
2025-12-14,77
2025-12-15,56
2025-12-16,60
2025-12-17,67
2025-12-18,68
2025-12-19,82
2025-12-20,86
2025-12-21,84
2025-12-22,70
2025-12-23,68
2025-12-24,97
2025-12-25,98
2025-12-26,79
2025-12-27,78
2025-12-28,79
2025-12-29,70
2025-12-30,72
2025-12-31,92
2026-01-01,97
2026-01-02,74
2026-01-03,81
2026-01-04,79
2026-01-05,57
2026-01-06,62
2026-01-07,69
2026-01-08,60
2026-01-09,72
2026-01-10,91
2026-01-11,95
2026-01-12,59
2026-01-13,62
2026-01-14,61
2026-01-15,70
2026-01-16,81
2026-01-17,94
2026-01-18,87
2026-01-19,74
2026-01-20,66
2026-01-21,65
2026-01-22,64
2026-01-23,78
2026-01-24,86
2026-01-25,79
2026-01-26,68
2026-01-27,62
2026-01-28,66
2026-01-29,64
2026-01-30,77
2026-01-31,89
2026-02-01,83
2026-02-02,62
2026-02-03,58
2026-02-04,60
2026-02-05,63
2026-02-06,73
2026-02-07,87
2026-02-08,97
2026-02-09,51
2026-02-10,52
2026-02-11,65
2026-02-12,63
2026-02-13,72
2026-02-14,83
2026-02-15,72
2026-02-16,63
2026-02-17,59
2026-02-18,64
2026-02-19,60
2026-02-20,68
2026-02-21,88
2026-02-22,79
2026-02-23,62
2026-02-24,62
2026-02-25,62
2026-02-26,65
2026-02-27,73
2026-02-28,88
2026-03-01,84
2026-03-02,63
2026-03-03,57
2026-03-04,61
2026-03-05,62
2026-03-06,66
2026-03-07,84
2026-03-08,78
2026-03-09,62
2026-03-10,58
2026-03-11,61
2026-03-12,62
2026-03-13,72
2026-03-14,100
2026-03-15,86
2026-03-16,67
2026-03-17,55
2026-03-18,58
2026-03-19,59
2026-03-20,69
2026-03-21,83
2026-03-22,78
2026-03-23,57
2026-03-24,58
2026-03-25,59
2026-03-26,66
2026-03-27,72
2026-03-28,94
2026-03-29,84
2026-03-30,56
2026-03-31,61
2026-04-01,62
2026-04-02,66
2026-04-03,77
2026-04-04,89
2026-04-05,88
2026-04-06,64
2026-04-07,56
2026-04-08,60
2026-04-09,60
2026-04-10,78
2026-04-11,84
2026-04-12,75
2026-04-13,53
2026-04-14,54
2026-04-15,56
2026-04-16,58
2026-04-17,69
2026-04-18,82
2026-04-19,77
2026-04-20,64
2026-04-21,56
2026-04-22,59
2026-04-23,59
2026-04-24,67
2026-04-25,84
2026-04-26,75
2026-04-27,56
2026-04-28,57
2026-04-29,61
2026-04-30,62
2026-05-01,71
2026-05-02,88
2026-05-03,80
2026-05-04,62
2026-05-05,55
2026-05-06,59
2026-05-07,58
2026-05-08,71
2026-05-09,86
2026-05-10,71
2026-05-11,55
2026-05-12,58
2026-05-13,65
2026-05-14,62
2026-05-15,73
2026-05-16,90
2026-05-17,84
2026-05-18,61
2026-05-19,56
2026-05-20,67
2026-05-21,74
2026-05-22,75
2026-05-23,85
2026-05-24,79
2026-05-25,83
2026-05-26,60
2026-05-27,64
2026-05-28,76
2026-05-29,78
2026-05-30,88
2026-05-31,74
