Time,little caesars
2024-08-18,80
2024-08-19,56
2024-08-20,57
2024-08-21,57
2024-08-22,62
2024-08-23,73
2024-08-24,86
2024-08-25,81
2024-08-26,60
2024-08-27,61
2024-08-28,60
2024-08-29,64
2024-08-30,79
2024-08-31,100
2024-09-01,94
2024-09-02,82
2024-09-03,57
2024-09-04,60
2024-09-05,67
2024-09-06,79
2024-09-07,96
2024-09-08,95
2024-09-09,59
2024-09-10,54
2024-09-11,55
2024-09-12,63
2024-09-13,74
2024-09-14,89
2024-09-15,86
2024-09-16,53
2024-09-17,55
2024-09-18,55
2024-09-19,63
2024-09-20,70
2024-09-21,86
2024-09-22,82
2024-09-23,53
2024-09-24,50
2024-09-25,54
2024-09-26,62
2024-09-27,73
2024-09-28,91
2024-09-29,96
2024-09-30,60
2024-10-01,52
2024-10-02,53
2024-10-03,59
2024-10-04,68
2024-10-05,87
2024-10-06,78
2024-10-07,53
2024-10-08,49
2024-10-09,53
2024-10-10,63
2024-10-11,72
2024-10-12,84
2024-10-13,82
2024-10-14,62
2024-10-15,52
2024-10-16,52
2024-10-17,53
2024-10-18,68
2024-10-19,78
2024-10-20,82
2024-10-21,51
2024-10-22,49
2024-10-23,53
2024-10-24,62
2024-10-25,70
2024-10-26,86
2024-10-27,81
2024-10-28,57
2024-10-29,55
2024-10-30,62
2024-10-31,87
2024-11-01,84
2024-11-02,78
2024-11-03,83
2024-11-04,53
2024-11-05,50
2024-11-06,39
2024-11-07,51
2024-11-08,63
2024-11-09,79
2024-11-10,78
2024-11-11,80
2024-11-12,52
2024-11-13,51
2024-11-14,55
2024-11-15,65
2024-11-16,76
2024-11-17,79
2024-11-18,50
2024-11-19,49
2024-11-20,53
2024-11-21,54
2024-11-22,69
2024-11-23,75
2024-11-24,69
2024-11-25,56
2024-11-26,55
2024-11-27,68
2024-11-28,66
2024-11-29,52
2024-11-30,69
2024-12-01,69
2024-12-02,46
2024-12-03,47
2024-12-04,51
2024-12-05,50
2024-12-06,62
2024-12-07,77
2024-12-08,77
2024-12-09,47
2024-12-10,50
2024-12-11,48
2024-12-12,54
2024-12-13,58
2024-12-14,79
2024-12-15,78
2024-12-16,50
2024-12-17,51
2024-12-18,58
2024-12-19,65
2024-12-20,75
2024-12-21,74
2024-12-22,77
2024-12-23,66
2024-12-24,86
2024-12-25,90
2024-12-26,69
2024-12-27,69
2024-12-28,74
2024-12-29,72
2024-12-30,62
2024-12-31,84
2025-01-01,86
2025-01-02,56
2025-01-03,59
2025-01-04,68
2025-01-05,69
2025-01-06,46
2025-01-07,44
2025-01-08,45
2025-01-09,48
2025-01-10,57
2025-01-11,65
2025-01-12,72
2025-01-13,46
2025-01-14,43
2025-01-15,44
2025-01-16,47
2025-01-17,56
2025-01-18,70
2025-01-19,64
2025-01-20,55
2025-01-21,50
2025-01-22,49
2025-01-23,50
2025-01-24,61
2025-01-25,71
2025-01-26,75
2025-01-27,49
2025-01-28,45
2025-01-29,48
2025-01-30,48
2025-01-31,61
2025-02-01,72
2025-02-02,67
2025-02-03,44
2025-02-04,46
2025-02-05,51
2025-02-06,50
2025-02-07,62
2025-02-08,75
2025-02-09,96
2025-02-10,56
2025-02-11,43
2025-02-12,48
2025-02-13,51
2025-02-14,68
2025-02-15,74
2025-02-16,66
2025-02-17,51
2025-02-18,44
2025-02-19,49
2025-02-20,49
2025-02-21,61
2025-02-22,69
2025-02-23,66
2025-02-24,46
2025-02-25,44
2025-02-26,49
2025-02-27,52
2025-02-28,60
2025-03-01,77
2025-03-02,67
2025-03-03,49
2025-03-04,47
2025-03-05,48
2025-03-06,46
2025-03-07,57
2025-03-08,73
2025-03-09,72
2025-03-10,48
2025-03-11,44
2025-03-12,50
2025-03-13,50
2025-03-14,64
2025-03-15,71
2025-03-16,73
2025-03-17,45
2025-03-18,47
2025-03-19,49
2025-03-20,54
2025-03-21,61
2025-03-22,70
2025-03-23,67
2025-03-24,46
2025-03-25,46
2025-03-26,52
2025-03-27,52
2025-03-28,69
2025-03-29,77
2025-03-30,72
2025-03-31,51
2025-04-01,51
2025-04-02,49
2025-04-03,54
2025-04-04,66
2025-04-05,76
2025-04-06,73
2025-04-07,50
2025-04-08,47
2025-04-09,50
2025-04-10,54
2025-04-11,63
2025-04-12,77
2025-04-13,71
2025-04-14,48
2025-04-15,53
2025-04-16,54
2025-04-17,58
2025-04-18,71
2025-04-19,79
2025-04-20,87
2025-04-21,52
2025-04-22,47
2025-04-23,49
2025-04-24,52
2025-04-25,63
2025-04-26,75
2025-04-27,71
2025-04-28,50
2025-04-29,49
2025-04-30,52
2025-05-01,56
2025-05-02,66
2025-05-03,78
2025-05-04,72
2025-05-05,49
2025-05-06,50
2025-05-07,49
2025-05-08,54
2025-05-09,61
2025-05-10,76
2025-05-11,69
2025-05-12,50
2025-05-13,48
2025-05-14,49
