Time,presidential results
2023-04-26,13
2023-04-27,12
2023-04-28,10
2023-04-29,7
2023-04-30,8
2023-05-01,12
2023-05-02,13
2023-05-03,9
2023-05-04,10
2023-05-05,10
2023-05-06,6
2023-05-07,5
2023-05-08,10
2023-05-09,9
2023-05-10,16
2023-05-11,10
2023-05-12,7
2023-05-13,0
2023-05-14,25
2023-05-15,17
2023-05-16,7
2023-05-17,12
2023-05-18,8
2023-05-19,7
2023-05-20,0
2023-05-21,5
2023-05-22,9
2023-05-23,7
2023-05-24,8
2023-05-25,7
2023-05-26,7
2023-05-27,5
2023-05-28,9
2023-05-29,8
2023-05-30,8
2023-05-31,9
2023-06-01,5
2023-06-02,5
2023-06-03,7
2023-06-04,8
2023-06-05,7
2023-06-06,8
2023-06-07,6
2023-06-08,6
2023-06-09,11
2023-06-10,8
2023-06-11,8
2023-06-12,11
2023-06-13,8
2023-06-14,9
2023-06-15,6
2023-06-16,7
2023-06-17,7
2023-06-18,8
2023-06-19,5
2023-06-20,8
2023-06-21,7
2023-06-22,5
2023-06-23,6
2023-06-24,5
2023-06-25,8
2023-06-26,7
2023-06-27,10
2023-06-28,5
2023-06-29,5
2023-06-30,9
2023-07-01,6
2023-07-02,5
2023-07-03,8
2023-07-04,0
2023-07-05,6
2023-07-06,8
2023-07-07,7
2023-07-08,5
2023-07-09,10
2023-07-10,7
2023-07-11,5
2023-07-12,9
2023-07-13,6
2023-07-14,6
2023-07-15,6
2023-07-16,7
2023-07-17,8
2023-07-18,10
2023-07-19,7
2023-07-20,7
2023-07-21,7
2023-07-22,8
2023-07-23,6
2023-07-24,6
2023-07-25,6
2023-07-26,6
2023-07-27,6
2023-07-28,5
2023-07-29,5
2023-07-30,7
2023-07-31,9
2023-08-01,6
2023-08-02,10
2023-08-03,13
2023-08-04,9
2023-08-05,9
2023-08-06,9
2023-08-07,9
2023-08-08,8
2023-08-09,18
2023-08-10,7
2023-08-11,9
2023-08-12,6
2023-08-13,7
2023-08-14,10
2023-08-15,15
2023-08-16,11
2023-08-17,11
2023-08-18,8
2023-08-19,7
2023-08-20,0
2023-08-21,13
2023-08-22,10
2023-08-23,11
2023-08-24,18
2023-08-25,12
2023-08-26,12
2023-08-27,12
2023-08-28,12
2023-08-29,9
2023-08-30,9
2023-08-31,8
2023-09-01,12
2023-09-02,6
2023-09-03,8
2023-09-04,8
2023-09-05,10
2023-09-06,8
2023-09-07,7
2023-09-08,9
2023-09-09,5
2023-09-10,8
2023-09-11,7
2023-09-12,13
2023-09-13,9
2023-09-14,6
2023-09-15,8
2023-09-16,7
2023-09-17,9
2023-09-18,5
2023-09-19,5
2023-09-20,8
2023-09-21,6
2023-09-22,14
2023-09-23,6
2023-09-24,6
2023-09-25,11
2023-09-26,10
2023-09-27,8
2023-09-28,12
2023-09-29,9
2023-09-30,6
2023-10-01,6
2023-10-02,8
2023-10-03,8
2023-10-04,10
2023-10-05,11
2023-10-06,8
2023-10-07,7
2023-10-08,6
2023-10-09,7
2023-10-10,8
2023-10-11,7
2023-10-12,11
2023-10-13,9
2023-10-14,8
2023-10-15,10
2023-10-16,11
2023-10-17,9
2023-10-18,5
2023-10-19,10
2023-10-20,8
2023-10-21,4
2023-10-22,10
2023-10-23,29
2023-10-24,11
2023-10-25,10
2023-10-26,13
2023-10-27,8
2023-10-28,6
2023-10-29,7
2023-10-30,11
2023-10-31,8
2023-11-01,7
2023-11-02,16
2023-11-03,9
2023-11-04,10
2023-11-05,13
2023-11-06,18
2023-11-07,31
2023-11-08,100
2023-11-09,51
2023-11-10,24
2023-11-11,22
2023-11-12,17
2023-11-13,16
2023-11-14,16
2023-11-15,13
2023-11-16,15
2023-11-17,13
2023-11-18,11
2023-11-19,14
2023-11-20,14
2023-11-21,11
2023-11-22,12
2023-11-23,7
2023-11-24,7
2023-11-25,5
2023-11-26,7
2023-11-27,9
2023-11-28,12
2023-11-29,10
2023-11-30,10
2023-12-01,7
2023-12-02,11
2023-12-03,9
2023-12-04,12
2023-12-05,11
2023-12-06,16
2023-12-07,8
2023-12-08,12
2023-12-09,11
2023-12-10,9
2023-12-11,13
2023-12-12,9
2023-12-13,9
2023-12-14,14
2023-12-15,10
2023-12-16,5
2023-12-17,5
2023-12-18,9
2023-12-19,16
2023-12-20,40
2023-12-21,10
2023-12-22,7
2023-12-23,7
2023-12-24,5
2023-12-25,0
2023-12-26,6
2023-12-27,0
2023-12-28,6
2023-12-29,20
2023-12-30,11
2023-12-31,0
2024-01-01,6
2024-01-02,7
2024-01-03,14
2024-01-04,10
2024-01-05,10
2024-01-06,4
2024-01-07,8
2024-01-08,10
2024-01-09,11
2024-01-10,13
2024-01-11,16
2024-01-12,11
2024-01-13,11
2024-01-14,9
2024-01-15,13
2024-01-16,68
2024-01-17,32
2024-01-18,19
2024-01-19,12
2024-01-20,17
