Time,presidential results
2023-12-22,3
2023-12-23,3
2023-12-24,2
2023-12-25,0
2023-12-26,3
2023-12-27,0
2023-12-28,3
2023-12-29,9
2023-12-30,5
2023-12-31,0
2024-01-01,3
2024-01-02,3
2024-01-03,6
2024-01-04,4
2024-01-05,4
2024-01-06,2
2024-01-07,3
2024-01-08,4
2024-01-09,5
2024-01-10,5
2024-01-11,7
2024-01-12,5
2024-01-13,4
2024-01-14,4
2024-01-15,6
2024-01-16,29
2024-01-17,13
2024-01-18,8
2024-01-19,5
2024-01-20,7
2024-01-21,7
2024-01-22,10
2024-01-23,15
2024-01-24,36
2024-01-25,11
2024-01-26,8
2024-01-27,4
2024-01-28,4
2024-01-29,6
2024-01-30,9
2024-01-31,7
2024-02-01,5
2024-02-02,7
2024-02-03,5
2024-02-04,8
2024-02-05,6
2024-02-06,7
2024-02-07,8
2024-02-08,7
2024-02-09,8
2024-02-10,8
2024-02-11,5
2024-02-12,8
2024-02-13,5
2024-02-14,8
2024-02-15,5
2024-02-16,6
2024-02-17,5
2024-02-18,6
2024-02-19,7
2024-02-20,6
2024-02-21,6
2024-02-22,6
2024-02-23,6
2024-02-24,9
2024-02-25,23
2024-02-26,8
2024-02-27,9
2024-02-28,23
2024-02-29,10
2024-03-01,8
2024-03-02,9
2024-03-03,8
2024-03-04,13
2024-03-05,21
2024-03-06,100
2024-03-07,23
2024-03-08,13
2024-03-09,7
2024-03-10,9
2024-03-11,7
2024-03-12,9
2024-03-13,20
2024-03-14,11
2024-03-15,8
2024-03-16,6
2024-03-17,7
2024-03-18,7
2024-03-19,9
2024-03-20,25
2024-03-21,8
2024-03-22,7
2024-03-23,4
2024-03-24,8
2024-03-25,6
2024-03-26,6
2024-03-27,8
2024-03-28,7
2024-03-29,5
2024-03-30,6
2024-03-31,4
2024-04-01,6
2024-04-02,7
2024-04-03,17
2024-04-04,8
2024-04-05,7
2024-04-06,6
2024-04-07,4
2024-04-08,5
2024-04-09,5
2024-04-10,8
2024-04-11,4
2024-04-12,4
2024-04-13,5
2024-04-14,4
2024-04-15,7
2024-04-16,6
2024-04-17,7
2024-04-18,5
2024-04-19,5
2024-04-20,4
2024-04-21,3
2024-04-22,6
2024-04-23,6
2024-04-24,10
2024-04-25,7
2024-04-26,5
2024-04-27,3
2024-04-28,4
2024-04-29,5
2024-04-30,6
2024-05-01,6
2024-05-02,8
2024-05-03,5
2024-05-04,4
2024-05-05,5
2024-05-06,6
2024-05-07,5
2024-05-08,9
2024-05-09,6
2024-05-10,5
2024-05-11,5
2024-05-12,6
2024-05-13,6
2024-05-14,7
2024-05-15,10
2024-05-16,7
2024-05-17,5
2024-05-18,5
2024-05-19,6
2024-05-20,6
2024-05-21,4
2024-05-22,9
2024-05-23,7
2024-05-24,6
2024-05-25,6
2024-05-26,4
2024-05-27,4
2024-05-28,4
2024-05-29,5
2024-05-30,8
2024-05-31,10
2024-06-01,5
2024-06-02,8
2024-06-03,17
2024-06-04,9
2024-06-05,11
2024-06-06,6
2024-06-07,5
2024-06-08,3
2024-06-09,6
2024-06-10,5
2024-06-11,5
2024-06-12,6
2024-06-13,5
2024-06-14,5
2024-06-15,3
2024-06-16,5
2024-06-17,6
2024-06-18,5
2024-06-19,6
2024-06-20,5
2024-06-21,5
2024-06-22,5
2024-06-23,5
2024-06-24,5
2024-06-25,5
2024-06-26,8
2024-06-27,9
2024-06-28,79
2024-06-29,18
2024-06-30,10
2024-07-01,13
2024-07-02,7
2024-07-03,9
2024-07-04,9
2024-07-05,7
2024-07-06,8
2024-07-07,7
2024-07-08,8
2024-07-09,6
2024-07-10,8
2024-07-11,6
2024-07-12,11
2024-07-13,7
2024-07-14,14
2024-07-15,12
2024-07-16,13
2024-07-17,11
2024-07-18,14
2024-07-19,14
2024-07-20,9
2024-07-21,25
2024-07-22,26
2024-07-23,24
2024-07-24,17
2024-07-25,16
2024-07-26,15
2024-07-27,15
2024-07-28,13
2024-07-29,16
2024-07-30,13
2024-07-31,9
2024-08-01,9
2024-08-02,9
2024-08-03,7
2024-08-04,8
2024-08-05,9
2024-08-06,17
2024-08-07,22
2024-08-08,16
2024-08-09,12
2024-08-10,9
2024-08-11,10
2024-08-12,9
2024-08-13,10
2024-08-14,12
2024-08-15,9
2024-08-16,8
2024-08-17,11
2024-08-18,9
2024-08-19,11
2024-08-20,10
2024-08-21,17
2024-08-22,13
2024-08-23,14
2024-08-24,12
2024-08-25,10
2024-08-26,12
2024-08-27,9
2024-08-28,10
2024-08-29,9
2024-08-30,9
2024-08-31,8
2024-09-01,11
2024-09-02,8
2024-09-03,8
2024-09-04,11
2024-09-05,9
2024-09-06,10
2024-09-07,10
2024-09-08,9
2024-09-09,10
2024-09-10,10
2024-09-11,96
2024-09-12,29
2024-09-13,20
2024-09-14,12
2024-09-15,13
2024-09-16,11
