Time,svb
2025-12-11,42
2025-12-12,54
2025-12-13,37
2025-12-14,0
2025-12-15,27
2025-12-16,51
2025-12-17,54
2025-12-18,50
2025-12-19,44
2025-12-20,24
2025-12-21,0
2025-12-22,50
2025-12-23,33
2025-12-24,25
2025-12-25,0
2025-12-26,25
2025-12-27,0
2025-12-28,22
2025-12-29,44
2025-12-30,37
2025-12-31,30
2026-01-01,23
2026-01-02,19
2026-01-03,24
2026-01-04,35
2026-01-05,31
2026-01-06,36
2026-01-07,37
2026-01-08,45
2026-01-09,39
2026-01-10,0
2026-01-11,0
2026-01-12,38
2026-01-13,51
2026-01-14,50
2026-01-15,74
2026-01-16,55
2026-01-17,36
2026-01-18,22
2026-01-19,33
2026-01-20,46
2026-01-21,64
2026-01-22,52
2026-01-23,31
2026-01-24,21
2026-01-25,24
2026-01-26,45
2026-01-27,50
2026-01-28,48
2026-01-29,50
2026-01-30,57
2026-01-31,36
2026-02-01,46
2026-02-02,55
2026-02-03,63
2026-02-04,64
2026-02-05,62
2026-02-06,67
2026-02-07,55
2026-02-08,59
2026-02-09,46
2026-02-10,56
2026-02-11,80
2026-02-12,68
2026-02-13,41
2026-02-14,46
2026-02-15,41
2026-02-16,25
2026-02-17,53
2026-02-18,54
2026-02-19,56
2026-02-20,48
2026-02-21,46
2026-02-22,34
2026-02-23,47
2026-02-24,69
2026-02-25,57
2026-02-26,70
2026-02-27,58
2026-02-28,22
2026-03-01,22
2026-03-02,72
2026-03-03,58
2026-03-04,72
2026-03-05,40
2026-03-06,76
2026-03-07,23
2026-03-08,36
2026-03-09,64
2026-03-10,60
2026-03-11,35
2026-03-12,63
2026-03-13,41
2026-03-14,43
2026-03-15,52
2026-03-16,52
2026-03-17,43
2026-03-18,79
2026-03-19,51
2026-03-20,67
2026-03-21,38
2026-03-22,40
2026-03-23,68
2026-03-24,64
2026-03-25,58
2026-03-26,46
2026-03-27,56
2026-03-28,35
2026-03-29,38
2026-03-30,48
2026-03-31,57
2026-04-01,65
2026-04-02,57
2026-04-03,59
2026-04-04,52
2026-04-05,47
2026-04-06,61
2026-04-07,66
2026-04-08,69
2026-04-09,77
2026-04-10,44
2026-04-11,42
2026-04-12,43
2026-04-13,52
2026-04-14,76
2026-04-15,88
2026-04-16,56
2026-04-17,62
2026-04-18,41
2026-04-19,42
2026-04-20,58
2026-04-21,71
2026-04-22,56
2026-04-23,72
2026-04-24,64
2026-04-25,33
2026-04-26,41
2026-04-27,51
2026-04-28,69
2026-04-29,79
2026-04-30,83
2026-05-01,76
2026-05-02,83
2026-05-03,76
2026-05-04,98
2026-05-05,74
2026-05-06,72
2026-05-07,72
2026-05-08,78
2026-05-09,62
2026-05-10,50
2026-05-11,65
2026-05-12,75
2026-05-13,87
2026-05-14,73
2026-05-15,76
2026-05-16,89
2026-05-17,84
2026-05-18,81
2026-05-19,100
2026-05-20,99
2026-05-21,91
2026-05-22,89
2026-05-23,69
2026-05-24,68
2026-05-25,70
2026-05-26,88
2026-05-27,93
2026-05-28,84
2026-05-29,71
2026-05-30,78
2026-05-31,90
