Time,svb
2024-08-18,78
2024-08-19,39
2024-08-20,58
2024-08-21,35
2024-08-22,36
2024-08-23,36
2024-08-24,48
2024-08-25,30
2024-08-26,39
2024-08-27,40
2024-08-28,48
2024-08-29,43
2024-08-30,54
2024-08-31,21
2024-09-01,0
2024-09-02,20
2024-09-03,47
2024-09-04,60
2024-09-05,52
2024-09-06,55
2024-09-07,28
2024-09-08,0
2024-09-09,56
2024-09-10,52
2024-09-11,46
2024-09-12,59
2024-09-13,69
2024-09-14,20
2024-09-15,0
2024-09-16,66
2024-09-17,45
2024-09-18,46
2024-09-19,64
2024-09-20,55
2024-09-21,0
2024-09-22,0
2024-09-23,56
2024-09-24,52
2024-09-25,60
2024-09-26,73
2024-09-27,49
2024-09-28,31
2024-09-29,23
2024-09-30,47
2024-10-01,57
2024-10-02,64
2024-10-03,60
2024-10-04,64
2024-10-05,0
2024-10-06,0
2024-10-07,56
2024-10-08,44
2024-10-09,35
2024-10-10,32
2024-10-11,50
2024-10-12,0
2024-10-13,0
2024-10-14,38
2024-10-15,54
2024-10-16,65
2024-10-17,51
2024-10-18,59
2024-10-19,0
2024-10-20,23
2024-10-21,47
2024-10-22,48
2024-10-23,53
2024-10-24,67
2024-10-25,44
2024-10-26,0
2024-10-27,26
2024-10-28,55
2024-10-29,63
2024-10-30,65
2024-10-31,54
2024-11-01,54
2024-11-02,22
2024-11-03,0
2024-11-04,54
2024-11-05,44
2024-11-06,34
2024-11-07,52
2024-11-08,49
2024-11-09,22
2024-11-10,21
2024-11-11,46
2024-11-12,66
2024-11-13,60
2024-11-14,47
2024-11-15,41
2024-11-16,0
2024-11-17,0
2024-11-18,55
2024-11-19,52
2024-11-20,57
2024-11-21,74
2024-11-22,53
2024-11-23,0
2024-11-24,0
2024-11-25,42
2024-11-26,55
2024-11-27,42
2024-11-28,0
2024-11-29,25
2024-11-30,24
2024-12-01,0
2024-12-02,44
2024-12-03,50
2024-12-04,51
2024-12-05,32
2024-12-06,62
2024-12-07,24
2024-12-08,0
2024-12-09,42
2024-12-10,42
2024-12-11,51
2024-12-12,42
2024-12-13,44
2024-12-14,24
2024-12-15,0
2024-12-16,45
2024-12-17,40
2024-12-18,53
2024-12-19,47
2024-12-20,48
2024-12-21,0
2024-12-22,0
2024-12-23,45
2024-12-24,21
2024-12-25,0
2024-12-26,24
2024-12-27,29
2024-12-28,34
2024-12-29,0
2024-12-30,34
2024-12-31,31
2025-01-01,0
2025-01-02,30
2025-01-03,40
2025-01-04,24
2025-01-05,0
2025-01-06,56
2025-01-07,35
2025-01-08,42
2025-01-09,63
2025-01-10,39
2025-01-11,0
2025-01-12,0
2025-01-13,55
2025-01-14,70
2025-01-15,55
2025-01-16,65
2025-01-17,49
2025-01-18,0
2025-01-19,0
2025-01-20,41
2025-01-21,41
2025-01-22,74
2025-01-23,55
2025-01-24,49
2025-01-25,23
2025-01-26,0
2025-01-27,50
2025-01-28,44
2025-01-29,49
2025-01-30,45
2025-01-31,45
2025-02-01,27
2025-02-02,28
2025-02-03,61
2025-02-04,60
2025-02-05,51
2025-02-06,58
2025-02-07,42
2025-02-08,36
2025-02-09,0
2025-02-10,40
2025-02-11,61
2025-02-12,50
2025-02-13,47
2025-02-14,41
2025-02-15,50
2025-02-16,23
2025-02-17,52
2025-02-18,55
2025-02-19,51
2025-02-20,66
2025-02-21,47
2025-02-22,36
2025-02-23,23
2025-02-24,62
2025-02-25,45
2025-02-26,45
2025-02-27,48
2025-02-28,49
2025-03-01,42
2025-03-02,0
2025-03-03,65
2025-03-04,63
2025-03-05,57
2025-03-06,52
2025-03-07,49
2025-03-08,28
2025-03-09,21
2025-03-10,54
2025-03-11,52
2025-03-12,49
2025-03-13,61
2025-03-14,59
2025-03-15,27
2025-03-16,0
2025-03-17,46
2025-03-18,72
2025-03-19,63
2025-03-20,57
2025-03-21,62
2025-03-22,31
2025-03-23,35
2025-03-24,60
2025-03-25,52
2025-03-26,73
2025-03-27,50
2025-03-28,43
2025-03-29,35
2025-03-30,23
2025-03-31,64
2025-04-01,100
2025-04-02,99
2025-04-03,45
2025-04-04,63
2025-04-05,0
2025-04-06,0
2025-04-07,50
2025-04-08,61
2025-04-09,40
2025-04-10,41
2025-04-11,59
2025-04-12,33
2025-04-13,33
2025-04-14,41
2025-04-15,76
2025-04-16,53
2025-04-17,41
2025-04-18,36
2025-04-19,0
2025-04-20,24
2025-04-21,42
2025-04-22,54
2025-04-23,60
2025-04-24,65
2025-04-25,46
2025-04-26,21
2025-04-27,20
2025-04-28,52
2025-04-29,79
2025-04-30,71
2025-05-01,58
2025-05-02,35
2025-05-03,24
2025-05-04,28
2025-05-05,55
2025-05-06,52
2025-05-07,39
2025-05-08,45
2025-05-09,44
2025-05-10,23
2025-05-11,30
2025-05-12,59
2025-05-13,51
2025-05-14,60
