Time,rangers game
2022-01-01,3
2022-01-02,4
2022-01-03,3
2022-01-04,4
2022-01-05,2
2022-01-06,1
2022-01-07,3
2022-01-08,2
2022-01-09,3
2022-01-10,2
2022-01-11,3
2022-01-12,2
2022-01-13,1
2022-01-14,2
2022-01-15,2
2022-01-16,3
2022-01-17,1
2022-01-18,2
2022-01-19,2
2022-01-20,6
2022-01-21,2
2022-01-22,6
2022-01-23,4
2022-01-24,3
2022-01-25,4
2022-01-26,1
2022-01-27,2
2022-01-28,5
2022-01-29,8
2022-01-30,5
2022-01-31,2
2022-02-01,3
2022-02-02,10
2022-02-03,2
2022-02-04,1
2022-02-05,2
2022-02-06,2
2022-02-07,1
2022-02-08,2
2022-02-09,1
2022-02-10,1
2022-02-11,1
2022-02-12,1
2022-02-13,1
2022-02-14,1
2022-02-15,2
2022-02-16,4
2022-02-17,3
2022-02-18,4
2022-02-19,2
2022-02-20,3
2022-02-21,2
2022-02-22,2
2022-02-23,1
2022-02-24,3
2022-02-25,5
2022-02-26,5
2022-02-27,3
2022-02-28,3
2022-03-01,2
2022-03-02,3
2022-03-03,6
2022-03-04,2
2022-03-05,4
2022-03-06,2
2022-03-07,2
2022-03-08,1
2022-03-09,2
2022-03-10,2
2022-03-11,3
2022-03-12,2
2022-03-13,4
2022-03-14,2
2022-03-15,3
2022-03-16,4
2022-03-17,3
2022-03-18,3
2022-03-19,3
2022-03-20,5
2022-03-21,3
2022-03-22,4
2022-03-23,4
2022-03-24,2
2022-03-25,3
2022-03-26,5
2022-03-27,5
2022-03-28,3
2022-03-29,2
2022-03-30,6
2022-03-31,3
2022-04-01,3
2022-04-02,4
2022-04-03,5
2022-04-04,4
2022-04-05,3
2022-04-06,3
2022-04-07,7
2022-04-08,10
2022-04-09,11
2022-04-10,8
2022-04-11,9
2022-04-12,8
2022-04-13,8
2022-04-14,5
2022-04-15,7
2022-04-16,12
2022-04-17,8
2022-04-18,3
2022-04-19,4
2022-04-20,5
2022-04-21,4
2022-04-22,5
2022-04-23,9
2022-04-24,5
2022-04-25,4
2022-04-26,6
2022-04-27,8
2022-04-28,8
2022-04-29,5
2022-04-30,10
2022-05-01,8
2022-05-02,4
2022-05-03,9
2022-05-04,38
2022-05-05,13
2022-05-06,18
2022-05-07,17
2022-05-08,26
2022-05-09,11
2022-05-10,14
2022-05-11,12
2022-05-12,26
2022-05-13,19
2022-05-14,59
2022-05-15,66
2022-05-16,80
2022-05-17,15
2022-05-18,22
2022-05-19,34
2022-05-20,19
2022-05-21,43
2022-05-22,44
2022-05-23,14
2022-05-24,19
2022-05-25,32
2022-05-26,22
2022-05-27,40
2022-05-28,34
2022-05-29,75
2022-05-30,54
2022-05-31,100
2022-06-01,30
2022-06-02,71
2022-06-03,31
2022-06-04,83
2022-06-05,82
2022-06-06,23
2022-06-07,35
2022-06-08,65
2022-06-09,32
2022-06-10,86
2022-06-11,44
2022-06-12,84
2022-06-13,9
2022-06-14,9
2022-06-15,8
2022-06-16,4
2022-06-17,3
2022-06-18,5
2022-06-19,5
2022-06-20,3
2022-06-21,4
2022-06-22,6
2022-06-23,3
2022-06-24,3
2022-06-25,8
2022-06-26,6
2022-06-27,4
2022-06-28,4
2022-06-29,3
2022-06-30,3
2022-07-01,3
2022-07-02,6
2022-07-03,3
2022-07-04,5
2022-07-05,2
2022-07-06,3
2022-07-07,4
2022-07-08,4
2022-07-09,8
2022-07-10,6
2022-07-11,3
2022-07-12,5
2022-07-13,5
2022-07-14,5
2022-07-15,6
2022-07-16,8
2022-07-17,7
2022-07-18,2
2022-07-19,2
2022-07-20,3
2022-07-21,2
2022-07-22,2
2022-07-23,6
2022-07-24,5
2022-07-25,2
2022-07-26,3
2022-07-27,3
2022-07-28,2
2022-07-29,3
2022-07-30,4
2022-07-31,4
2022-08-01,4
2022-08-02,4
2022-08-03,5
2022-08-04,3
2022-08-05,4
2022-08-06,5
2022-08-07,6
2022-08-08,2
2022-08-09,3
2022-08-10,3
2022-08-11,6
2022-08-12,3
2022-08-13,7
2022-08-14,7
2022-08-15,3
2022-08-16,3
2022-08-17,3
2022-08-18,4
2022-08-19,3
2022-08-20,4
2022-08-21,4
2022-08-22,2
2022-08-23,2
2022-08-24,4
2022-08-25,3
2022-08-26,3
2022-08-27,7
2022-08-28,6
2022-08-29,2
2022-08-30,2
2022-08-31,4
2022-09-01,2
2022-09-02,3
2022-09-03,3
2022-09-04,3
2022-09-05,2
2022-09-06,3
2022-09-07,3
2022-09-08,3
2022-09-09,3
2022-09-10,5
2022-09-11,5
2022-09-12,4
2022-09-13,3
2022-09-14,4
2022-09-15,3
2022-09-16,2
2022-09-17,4
2022-09-18,3
2022-09-19,2
2022-09-20,2
2022-09-21,3
2022-09-22,4
2022-09-23,4
2022-09-24,6
2022-09-25,6
2022-09-26,5
2022-09-27,5
