Time,hurricane
2023-12-22,2
2023-12-23,2
2023-12-24,2
2023-12-25,2
2023-12-26,2
2023-12-27,2
2023-12-28,3
2023-12-29,3
2023-12-30,3
2023-12-31,3
2024-01-01,3
2024-01-02,3
2024-01-03,3
2024-01-04,3
2024-01-05,3
2024-01-06,3
2024-01-07,3
2024-01-08,4
2024-01-09,5
2024-01-10,4
2024-01-11,3
2024-01-12,3
2024-01-13,3
2024-01-14,3
2024-01-15,3
2024-01-16,3
2024-01-17,3
2024-01-18,3
2024-01-19,3
2024-01-20,3
2024-01-21,3
2024-01-22,3
2024-01-23,3
2024-01-24,3
2024-01-25,3
2024-01-26,3
2024-01-27,3
2024-01-28,3
2024-01-29,3
2024-01-30,3
2024-01-31,3
2024-02-01,3
2024-02-02,3
2024-02-03,3
2024-02-04,3
2024-02-05,4
2024-02-06,4
2024-02-07,3
2024-02-08,4
2024-02-09,4
2024-02-10,3
2024-02-11,3
2024-02-12,3
2024-02-13,4
2024-02-14,3
2024-02-15,3
2024-02-16,3
2024-02-17,3
2024-02-18,3
2024-02-19,3
2024-02-20,4
2024-02-21,3
2024-02-22,4
2024-02-23,4
2024-02-24,3
2024-02-25,3
2024-02-26,4
2024-02-27,4
2024-02-28,4
2024-02-29,4
2024-03-01,4
2024-03-02,3
2024-03-03,3
2024-03-04,4
2024-03-05,4
2024-03-06,4
2024-03-07,4
2024-03-08,3
2024-03-09,3
2024-03-10,3
2024-03-11,3
2024-03-12,3
2024-03-13,4
2024-03-14,4
2024-03-15,3
2024-03-16,3
2024-03-17,3
2024-03-18,4
2024-03-19,3
2024-03-20,4
2024-03-21,4
2024-03-22,3
2024-03-23,3
2024-03-24,3
2024-03-25,4
2024-03-26,4
2024-03-27,4
2024-03-28,4
2024-03-29,3
2024-03-30,4
2024-03-31,3
2024-04-01,4
2024-04-02,4
2024-04-03,4
2024-04-04,5
2024-04-05,5
2024-04-06,4
2024-04-07,4
2024-04-08,3
2024-04-09,4
2024-04-10,4
2024-04-11,4
2024-04-12,4
2024-04-13,3
2024-04-14,4
2024-04-15,4
2024-04-16,4
2024-04-17,4
2024-04-18,4
2024-04-19,4
2024-04-20,4
2024-04-21,4
2024-04-22,4
2024-04-23,4
2024-04-24,4
2024-04-25,4
2024-04-26,4
2024-04-27,4
2024-04-28,4
2024-04-29,5
2024-04-30,4
2024-05-01,4
2024-05-02,4
2024-05-03,4
2024-05-04,4
2024-05-05,4
2024-05-06,4
2024-05-07,5
2024-05-08,4
2024-05-09,5
2024-05-10,5
2024-05-11,4
2024-05-12,4
2024-05-13,5
2024-05-14,5
2024-05-15,4
2024-05-16,5
2024-05-17,5
2024-05-18,5
2024-05-19,5
2024-05-20,5
2024-05-21,5
2024-05-22,5
2024-05-23,6
2024-05-24,6
2024-05-25,6
2024-05-26,6
2024-05-27,6
2024-05-28,6
2024-05-29,5
2024-05-30,5
2024-05-31,6
2024-06-01,7
2024-06-02,6
2024-06-03,6
2024-06-04,6
2024-06-05,5
2024-06-06,6
2024-06-07,5
2024-06-08,6
2024-06-09,6
2024-06-10,6
2024-06-11,6
2024-06-12,7
2024-06-13,7
2024-06-14,6
2024-06-15,7
2024-06-16,7
2024-06-17,9
2024-06-18,10
2024-06-19,11
2024-06-20,10
2024-06-21,7
2024-06-22,7
2024-06-23,6
2024-06-24,6
2024-06-25,5
2024-06-26,5
2024-06-27,6
2024-06-28,7
2024-06-29,18
2024-06-30,47
2024-07-01,58
2024-07-02,74
2024-07-03,74
2024-07-04,65
2024-07-05,64
2024-07-06,74
2024-07-07,80
2024-07-08,100
2024-07-09,45
2024-07-10,32
2024-07-11,23
2024-07-12,17
2024-07-13,12
2024-07-14,10
2024-07-15,9
2024-07-16,9
2024-07-17,8
2024-07-18,7
2024-07-19,6
2024-07-20,6
2024-07-21,6
2024-07-22,6
2024-07-23,6
2024-07-24,6
2024-07-25,6
2024-07-26,6
2024-07-27,7
2024-07-28,9
2024-07-29,12
2024-07-30,12
2024-07-31,13
2024-08-01,17
2024-08-02,32
2024-08-03,37
2024-08-04,58
2024-08-05,86
2024-08-06,45
2024-08-07,36
2024-08-08,28
2024-08-09,21
2024-08-10,14
2024-08-11,14
2024-08-12,13
2024-08-13,14
2024-08-14,15
2024-08-15,14
2024-08-16,13
2024-08-17,12
2024-08-18,11
2024-08-19,10
2024-08-20,7
2024-08-21,7
2024-08-22,8
2024-08-23,7
2024-08-24,8
2024-08-25,13
2024-08-26,11
2024-08-27,8
2024-08-28,8
2024-08-29,9
2024-08-30,9
2024-08-31,10
2024-09-01,8
2024-09-02,8
2024-09-03,8
2024-09-04,7
2024-09-05,7
2024-09-06,7
2024-09-07,7
2024-09-08,12
2024-09-09,36
2024-09-10,52
2024-09-11,60
2024-09-12,44
2024-09-13,15
2024-09-14,10
2024-09-15,9
2024-09-16,11
