Time,stacey abrams
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,11
2023-12-28,0
2023-12-29,11
2023-12-30,10
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,10
2024-01-04,0
2024-01-05,13
2024-01-06,12
2024-01-07,10
2024-01-08,11
2024-01-09,11
2024-01-10,9
2024-01-11,0
2024-01-12,12
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,11
2024-01-17,9
2024-01-18,14
2024-01-19,14
2024-01-20,20
2024-01-21,17
2024-01-22,14
2024-01-23,0
2024-01-24,15
2024-01-25,0
2024-01-26,0
2024-01-27,10
2024-01-28,12
2024-01-29,9
2024-01-30,12
2024-01-31,63
2024-02-01,36
2024-02-02,18
2024-02-03,0
2024-02-04,15
2024-02-05,32
2024-02-06,22
2024-02-07,12
2024-02-08,20
2024-02-09,24
2024-02-10,0
2024-02-11,15
2024-02-12,20
2024-02-13,29
2024-02-14,19
2024-02-15,18
2024-02-16,27
2024-02-17,12
2024-02-18,0
2024-02-19,0
2024-02-20,11
2024-02-21,13
2024-02-22,20
2024-02-23,16
2024-02-24,0
2024-02-25,0
2024-02-26,14
2024-02-27,20
2024-02-28,10
2024-02-29,13
2024-03-01,13
2024-03-02,11
2024-03-03,17
2024-03-04,11
2024-03-05,15
2024-03-06,13
2024-03-07,16
2024-03-08,18
2024-03-09,0
2024-03-10,29
2024-03-11,0
2024-03-12,12
2024-03-13,12
2024-03-14,13
2024-03-15,19
2024-03-16,11
2024-03-17,0
2024-03-18,22
2024-03-19,12
2024-03-20,18
2024-03-21,0
2024-03-22,11
2024-03-23,12
2024-03-24,0
2024-03-25,0
2024-03-26,15
2024-03-27,11
2024-03-28,20
2024-03-29,12
2024-03-30,15
2024-03-31,0
2024-04-01,20
2024-04-02,16
2024-04-03,16
2024-04-04,16
2024-04-05,20
2024-04-06,10
2024-04-07,0
2024-04-08,0
2024-04-09,17
2024-04-10,15
2024-04-11,9
2024-04-12,13
2024-04-13,0
2024-04-14,0
2024-04-15,0
2024-04-16,0
2024-04-17,10
2024-04-18,10
2024-04-19,9
2024-04-20,0
2024-04-21,0
2024-04-22,0
2024-04-23,0
2024-04-24,0
2024-04-25,14
2024-04-26,12
2024-04-27,0
2024-04-28,0
2024-04-29,0
2024-04-30,0
2024-05-01,0
2024-05-02,14
2024-05-03,0
2024-05-04,0
2024-05-05,0
2024-05-06,10
2024-05-07,0
2024-05-08,0
2024-05-09,0
2024-05-10,0
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,0
2024-05-15,10
2024-05-16,0
2024-05-17,0
2024-05-18,14
2024-05-19,17
2024-05-20,0
2024-05-21,16
2024-05-22,0
2024-05-23,0
2024-05-24,0
2024-05-25,0
2024-05-26,0
2024-05-27,0
2024-05-28,0
2024-05-29,10
2024-05-30,11
2024-05-31,0
2024-06-01,0
2024-06-02,0
2024-06-03,9
2024-06-04,11
2024-06-05,0
2024-06-06,0
2024-06-07,10
2024-06-08,0
2024-06-09,11
2024-06-10,12
2024-06-11,0
2024-06-12,11
2024-06-13,0
2024-06-14,0
2024-06-15,0
2024-06-16,13
2024-06-17,0
2024-06-18,0
2024-06-19,16
2024-06-20,10
2024-06-21,16
2024-06-22,0
2024-06-23,0
2024-06-24,0
2024-06-25,11
2024-06-26,47
2024-06-27,51
2024-06-28,48
2024-06-29,29
2024-06-30,13
2024-07-01,15
2024-07-02,22
2024-07-03,0
2024-07-04,13
2024-07-05,12
2024-07-06,0
2024-07-07,18
2024-07-08,13
2024-07-09,18
2024-07-10,11
2024-07-11,14
2024-07-12,21
2024-07-13,13
2024-07-14,0
2024-07-15,12
2024-07-16,15
2024-07-17,21
2024-07-18,23
2024-07-19,25
2024-07-20,15
2024-07-21,58
2024-07-22,66
2024-07-23,36
2024-07-24,30
2024-07-25,27
2024-07-26,24
2024-07-27,18
2024-07-28,25
2024-07-29,10
2024-07-30,33
2024-07-31,79
2024-08-01,100
2024-08-02,39
2024-08-03,26
2024-08-04,38
2024-08-05,26
2024-08-06,22
2024-08-07,25
2024-08-08,18
2024-08-09,18
2024-08-10,22
2024-08-11,25
2024-08-12,12
2024-08-13,0
2024-08-14,12
2024-08-15,16
2024-08-16,51
2024-08-17,17
2024-08-18,17
2024-08-19,26
2024-08-20,41
2024-08-21,48
2024-08-22,33
2024-08-23,54
2024-08-24,36
2024-08-25,39
2024-08-26,32
2024-08-27,25
2024-08-28,25
2024-08-29,27
2024-08-30,19
2024-08-31,19
2024-09-01,22
2024-09-02,11
2024-09-03,13
2024-09-04,20
2024-09-05,19
2024-09-06,15
2024-09-07,14
2024-09-08,12
2024-09-09,14
2024-09-10,12
2024-09-11,14
2024-09-12,24
2024-09-13,14
2024-09-14,12
2024-09-15,18
2024-09-16,15
